"
	JEDNOSTKA LEKCYJNA / TEMAT";;"
	CELE PODSTAWOWE";"
	CELE PONADPODSTAWOWE"
"
	97 - 98";"
 Mnożenie i dzielenie";"   zna zasadę ustalania znaku iloczynu i ilorazu (K)

   umie obliczyć iloczyn i iloraz liczb całkowitych (K)

   umie obliczyć kwadrat i sześcian liczb całkowitych (P - R)

   umie ustalić znak iloczynu i ilorazu kilku liczb wymiernych (P)";"   umie ustalić znak wyrażenia arytmetycznego zawierającego k ilka liczb wymiernych

	(R)

   umie obliczyć potęgę liczby wymiernej ( W )"
99;"
 Powtórzenie";;

"
  100 - 101";"
 Praca klasowa i jej omówienie";;
"
	DZIAŁ 8. WYRAŻENIA ALGEBRAICZNE I RÓWNANIA (1 9 h)";;;
"
  102 - 104";"
 Zapisywanie wyrażeń

 algebraicznych";"   zna zasady tworzenia wyrażeń algebraicznych (K - P)

   zna pojęcia: suma, różnica, iloczyn, iloraz, kwadrat nieznanych wielkości liczbowych

	(K - P)
   rozumie potrzebę tworzenia wyrażeń algebraicznych (P)

   umie stosować oznaczenia literowe nieznanych wielkości liczbowych (P - R)

   umie zapisać w postaci wyrażenia algebraicznego informacje osadzone w kontekście

	praktycznym z zadaną niewiadomą (K - R)
   umie zbudować wyrażenie algebraiczne na podstawie opisu lub rysunku (P - R)";"   umie zbudować wyrażenie algebraiczne (D)

   umie rozwiązać zadanie tekstowe związane z budowaniem wyrażeń algebraicznych

	(D- W)"
"
  105 - 106";"
 Obliczanie wartości wyrażeń

 algebraicznych";"   zna pojęcie wartości liczbowej wyrażenia algebraicznego (K)

   umie obliczyć wartość liczbową wyrażenia bez jego przekształcenia (K - R)";"   umie rozwiązać zadanie tekstowe związane z obliczaniem wartości wyrażeń (R)

   umie podać przykład wyrażenia algebraicznego przyjmującego określoną wartość dla

	danych wartości występujących w nim niewiadomych (R - W)"
"
  107 - 108";"
 Upraszczanie wyrażeń

 algebraicznych";"   zna i rozumie zasady krótszego zapisu wyrażeń algebraicznych będących sumą lub

	różnicą jednomianów (P)
   zna i rozumie zasady krótszego zapisu wyrażeń algebraicznych będących iloczynem

	lub ilorazem jednomianu i liczby wymiernej (P)
   umie zapisać krócej wyrażenia algebraiczne będące sumą lub różnicą jednomianów

	(P - R)

   umie zapisać krócej wyrażenia algebraiczne będące iloczynem lub ilorazem

	jednomianu i liczby wymiernej (P - R)
   umie obliczyć wartość liczbową wyrażenia po jego przekształceniu (P - R)";"   umie rozwiązać zadanie tekstowe związane z prostymi przekształceniami

	algebraicznymi (R - W )"
"
  109 - 110";"
 Zapisywanie równań";"   zna i rozumie pojęcie równania (K)

   umie zapisać w postaci równania informacje osadzone w kontekście praktycznym z

	zadaną niewiadomą (K - R)
   umie zapisać zadanie w postaci równania (K - R)";"   umie zapisać zadanie w postaci równania (D - W)

   umie przyporządkować równanie do podanego zdania (R - D)"
111;"
 Liczba spełniająca równanie";"   zna pojęcie rozwiązania równania (K)

   zna pojęcie liczby spełniającej równanie (K)

   umie odgadnąć rozwiązanie równania (K - P)

   umie podać rozwiązanie prostego równania (K - R)

   umie sprawdzić, czy liczba spełnia równanie (K - P)";"   umie uzupełnić równanie tak, aby spełniała je podana liczba (R)

   umie wskazać równanie, które nie ma roz wiązania (D)

   umie zapisać zadanie tekstowe za pomocą równania i odgadnąć jego rozwiązanie (D -

	W)"
"
  112 - 114";"
 Rozwiązywanie równań";"   umie rozwiązać proste równanie przez dopełnienie lub wykonanie działania

	odwrotnego (K - P)

   umie doprowadzić równanie do prostszej postaci (P - R)

   umie zapisać zadanie tekstowe za pomocą równania i rozwiązać je (P - R)";"   zna i rozumie metodę równań równoważnych (R)

   umie rozwiązać równanie z przekształcaniem wyrażeń (R - D)

   umie zapisać zadanie tekstowe za pomocą równania i rozwiązać to równa nie (D- W)"
"
  115 - 117";"
 Zadania tekstowe";"   umie wyrazić treść zadania za pomocą równania (P - R)

   umie sprawdzić poprawność rozwiązania zadania (K - P)

   umie rozwiązać zadanie tekstowe za pomocą równania (P - R)";   umie rozwiązać nietypowe zadanie tekstowe za pomocą równania (D - W)
118;"
 Powtórzenie";;
"
  119 - 120";"
 Praca klasowa i jej omówienie";;

"
	DZIAŁ 9. FIGURY PRZESTRZENNE ( 21h)";;;
"
  121 - 123";"
 Prostopadłościany i sześciany";"   zna cechy prostopadłościanu i sześcianu (K)

   zna pojęcie siatki bryły (K)

   umie wskazać na rysunku siatkę sześcianu i prostopadłościanu (K - P)

   umie narysować siatkę prostopadłościanu i sześcianu (K)

   umie obliczyć pole powierzchni sześcianu (K)

   umie obliczyć pole powierzchni prostopadłościanu (K)

   umie wskazać w prostopadłościanie ściany i krawędzie prostopadłe oraz równoległe

	(K)
   umie wskazać w prostopadłościan ie krawędzie o jednakowej długości (K)

   umie obliczać sum ę długości krawędzi prostopadłościan u oraz sześcianu (P)";"   umie rozwiązać zadanie tekstowe dotyczące długości krawędzi prostopadłościanu i

	sześcianu (R- D)

   umie rozwiązać zadanie tekstowe dotyczące pola powierzchni prostopadłościanu

	złożonego z kilku sześcianów (R - D)
   umie rozwiązać nietypowe zadanie tekstowe dotyczące prostopadłościanu i

	sześcianu (W)
   umie rozwiązywać zadania z treścią dotyczące ścian sześcianu (D – W)"
"
  124 - 125";"
 Graniastosłupy proste";"   zna cechy charakteryzujące graniastosłup prosty (K)

   zna nazwy graniastosłupów prostych w zależności od podstawy (K)

   umie wskazać graniastosłup prosty wśród innych brył (K)

   umie określić liczbę ścian, wierzchołków, krawędzi danego graniastosłupa (P)

   umie wskazać w graniastosłupie ściany i krawędzie prostopadłe lub równoległe (P)

   umie wskazać w graniastosłupie krawędzie o jednakowej długości (K)";"   rozumie, że podstawą graniastosłupa prostego nie zawsze jes t ten wielokąt, który

	leży na poziomej płaszczyźnie (R)

   umie określać cechy graniastosłupa znajdującego się na rysunku (D)

   umie oceniać możliwość zbudowania z prostopadłościanów zadanego

	graniastosłupa (W)

   umie wskazać w graniastosłupie ściany i krawędzie prostopadłe lub równoległe (R -

	W)"
"
  126 - 127";"
 Siatki graniastosłupów

 prostych";   zna pojęcie siatki graniastosłupa prostego (P);"   umie projektować siatki graniastosłupów w skali (R – D)

   umie rozpoznawać siatki graniastosłupów (W)"
"
  128 - 129";"
 Pole powierzchni

 graniastosłupa prostego*";"   zna i rozumie sposób obliczania pola powierzchni graniastosłupa prostego (P)

   zna i rozumie sposób obliczania pola powierzchni graniastosłupa prostego jako pola

	jego siatki (P)

   zna wzór na obliczanie pola powierzchni graniastosłupa prostego (P)

   umie obliczać pole powierzchni prostopad łościanu o wymiarach wyrażonych w tej

	samej jednostce (P)

   umie obliczać pola powierzchni graniastosłupów prostych (P – R)";"   umie obliczać pole powierzchni prostopad łościanu o wymiarach wyrażonych w

	różnych jednostkach (R)

   umie rozwiązywać zadania tekstowe z zastosowaniem pól powierzchni

	graniastosłupów prostych (R - W )
   umie obliczać pola powierzchni graniastosłupów złożonych z sześcianów (D)"
"
  130 - 131";"
 Objętość prostopadłościanu.

 Jednostki objętości";"   zna pojęcie objętości figury (K)

   zna wzór na obliczanie objętości prostopadłościanu i sześcianu (K)

   zna jednostki objętości (K)

   zna definicje litra i mililitra oraz zależności pomiędzy nimi (P)

   zna i rozumie różnicę między polem powierzchni a objętością (P)

   umie przyporządkować zadane objętości do obiektów z natury (P)

   umie obliczać objętości sześcianów (K)

   umie obliczać objętości prostopadłościanów (K – P)

   umie wyrażać w tych samych jednostkach tę samą objętość (P - R)";"   zna i rozumie zależności pomiędzy jednost kami objętości (R – D)

   zna i rozumie związek pomiędzy jednostkami długości a jednostkami objętości (R)

   umie obliczać objętość i pole powierzchni prostopadłościanu zbudowanego z

	określonej liczby sześcianów (R)
   umie rozwiązywać zadania tekstowe związane z objętościami prostopadłościanów

	(R)
   umie rozwiązywać zadania tekstowe związane z objętościami brył wyrażonymi w

	litrach lub mililitrach (R – D)

   umie zamieniać jednostki objętości (R – D)

   umie stosować zamianę jednostek objętości w zadaniach tekstowych (D – W)"
"
  132 - 134";"
 Objętość graniastosłupa

 prostego*";"   zna pojęcie objętości figury (K)

   zna jednostki objętości (K)

   zna i rozumie zależności pomiędzy jednostkami objętości (P - R)

   zna wzór na obliczanie objętości prostopadłościanu i sześcianu (K)

   zna wzór na obliczanie objętości graniastosłupa prostego (P)

   rozumie pojęcie miary objętości jako liczby sześcianów jednostkowych (K)";"   umie rozwiązać nietypowe zadanie tekstowe związane z objętością graniastosłupa

	prostego (D- W)
   umie obliczać objętości graniastosłupów prostych o podanych siatkach (R – D)"

;;"   rozumie różnicę między polem powierzchni a objętością (P)

   zna i rozumie zasadę zamiany jednostek objętości (P)

   umie podać objętość bryły na podstawie liczby sześcianów jednostkowych (K)

   umie obliczyć objętość sześcianu o danej krawędzi (K)

   umie obliczyć objętość prostopadłościanu o danych krawędziach (K)

   umie obliczyć objętość graniastosłupa prostego, którego dane są:

	- pole podstawy i w ysokość (K)

	- elementy podstawy i wysokość (P - R)
   umie zamienić jednostki objętości (P -R)

   umie rozwiązać zadanie tekstowe związane z objętością graniastosłupa (P -R)";
"
  135 - 136";"
 Ostrosłupy";"   zna pojęcie ostrosłupa (K)

   zna nazwy ostrosłupów w zależności od podstawy (K)

   zna cechy budowy ostrosłupa (K)

   zna pojęcie siatki ostrosłupa (K)

   umie wskazać ostrosłup wśród innych brył (K)

   umie określić liczbę poszczególnych ścian, wierzchołków, krawędzi ostrosłupa (P)

   umie wskazać siatkę ostrosłupa (K - D)

   umie rozwiązać zadanie tekstowe związane z ostrosłupem (P - R)

   umie obliczyć sumę długości krawędzi ostrosłupa (P)";"   zna i rozumie pojęcie czworościanu foremnego (R)

   umie rozwiązać nietypowe zadanie tekstowe związane z ostrosłupem (D - W)"
140;"
 Rozpoznawanie figur

 przestrzennych";"   zna pojęcia: graniastosłup, ostrosłup, walec, stożek, kula (K)

   zna i rozumie pojęcia charakteryzujące graniastosłup, ostros łup, walec, stożek, kulę

	(K)

   umie wskazać graniastosłup, ostrosłup, walec, stożek, kulę wśród innych brył (K)

   umie wskazać na modelach wielkości charakteryzujące bryłę (K)

   umie określić rodzaj bryły na podstawi e jej rzutu (P - R)

   umie rozwiązać zadanie tekstowe nawiązujące do eleme ntów budowy danej bryły

	(P - R)";"   umie określić cechy bryły powstałej ze sklejenia kilku znanych brył (R - D)

   umie rozwiązać nietypowe zadanie tekstowe nawiązujące do elementów budowy

	danej bryły (R- W)"
"
	13 9";"
 Powtórzenie";;
"
  140 - 141";"
 Praca klasowa i jej omówienie";;
