"
	JEDNOSTKA LEKCYJNA / TEMAT";;"
	CELE PODSTAWOWE";"
	CELE PONADPODSTAWOWE"

21;"
 Powtórzenie";;
"
	22 - 23";"
 P raca klasowa i jej omówienie";;
"
	DZIAŁ 2. FIGURY NA PŁASZCZYŹNIE (13 h)";;;
24;"
 Proste i odcinki";"   zna pojęcia: prosta, półprosta, odcinek (K)

   zna i rozumie wzajemne położenie prostych i odcinków (K)

   zna definicje odcinków prostopadłych i odcinków równoległych (P)

   zna i rozumie pojęcie odległości punktu od prostej (K - P)

   zna i rozumie pojęcie odległości między prostymi równoległymi (K -P)

   rozumie różnicę między prostą i odcinkiem, prostą i półprostą (K)

   rozumie konieczność stosowania odpowiednich przyrządów do rysowania figur

	geometrycznych (K)

   umie narysować za pomocą ekierki i linijki proste równoległe o danej odległości od

	siebie (P)

   umie narysow ać za pomocą ekierki i linijki proste i odcinki prostopadłe oraz proste i

	odcinki równoległe (K)
   umie rozwiązać zadania tekstowe związane z wzajemnym położeniem odcinków,

	prostych i półprostych (P - R)";"   zna konstrukcję prostej prostopadłej do danej, przechodzącej przez dany punkt (W)

   zna konstrukcję prostej równoległej do danej, przechodzącej przez dany punkt (W)

   umie skonstruować prostą prostopadłą do danej, przechodzącą przez dany punkt

	(W)

   umie skonstruować prostą równoległą do danej, przechodzącą przez dany punkt (W)

   umie rozwiązać zadania konstrukcyjne związane z kreśleniem prostych

	prostopadłych i prostych równoległych (D - W)"
25;"
	Okręgi i koła";"   zna pojęcia: koło i okrąg (k)

   zna elementy koła i okręgu (K - P)

   zna zależność między długością promienia i średnicy (K)

   rozumie różnicę między kołem i okręgiem (P)

   rozumie konieczność stosowania odpowiednich przyrządów do rysowania figur

	geometrycznych (K)

   umie wskazać poszczególne elementy w okręgu i w kole (K)

   umie kreślić koło i okrąg o danym promieniu lub o danej średnicy (K)

   umie rozwiązać zadania tekstowe związane z kołem, okręgiem i innymi figurami (P -

	R)";"   zna konstrukcyjny sposób wyznaczania środka odcinka (W)

   zna pojęcie symetralnej odcinka (W)

   um ie wyznaczyć środek narysowanego okręgu (W)

   umie rozwiązać nietypowe zadania tekstowe związane z kołem, okręgiem i innymi

	figurami (D- W)"
"
	26 - 27";"
 Trójkąty";"   zna rodzaje trójkątów (K - P)

   zna nazwy boków w trójkącie równoramiennym i w trójkącie prostokątnym (K)

   zna zależność między bokami w trójkącie równoramiennym (P)

   zna i rozumie zasady konstrukcji trójkąta o danych trzech bokach (P)

   zna i rozumie warunek zbudowania trójkąta – nierówność trójkąta (P)

   rozumie pochodzenie nazw poszczególnych rodzajów trójkątów (K)

   umie narysować poszczególne rodzaje trójkątów (K)

   umie narysować trójkąt w skali (P)

   umie obliczyć obwód trójkąta (K)

   umie obliczyć długość boku trójkąta równobocznego, znając jego obwód (P)

   umie obliczyć długość boku trójkąta, znając obwód i informacj e o pozostałych

	bokach (P - R)
   umie skonstruować trójkąt o danych trzech bokach (P)

   umie sprawdzić, czy z odcinków o danych długościach można zbudować trójkąt (P - R)

   umie rozwiązać zadanie konstrukcyjne związane z konstrukcją trójkąta o danych

	bokach (P - R)";"   umie rozwiązać nietypowe zadanie tekstowe związane z obwodem trójkąta (R - W)

   umie wykorzystać przenoszenie odcinków w zadaniach konstrukcyjnych (D - W)

   umie rozwiązać zadanie konstrukcyjne związane z konstrukcją trójkąta o danych

	bokach (R- W)
   umie wyznaczyć środek ciężkości trójkąta (W)"

"
	2 8 - 2 9";"
 Czworokąty

 i inne wielokąty";"   zna nazwy czworokątów (K)

   zna i rozumie własności czworokątów (K - P)

   zna definicję przekątnej oraz obwodu wielokąta (K)

   zna i rozumie zależność między liczbą boków, wierzchołków i kątów w wielokącie (K)

   umie sklasyfikować czworokąty (P - R)

   umie narysować czworokąt, mając informacje o:

	– bokach (K - R)

	– przekątnych (P - R)
   umie wskazać na rysunku wielokąt o określonych cechach (K - P)

   umie obliczyć obwód czworokąta (K - P)

   umie rozwiązać zadanie tekstowe związane z obwodem czworokąta (P - R)";"   umie skonstruować kopię czworokąta (R)

   umie skonstruować równoległobok, znając dwa boki i przekątną (R)

   umie skonstruować trapez równoramienny, znając jego podstawy i ramię (D - W)

   umie rozwiązać nietypowe zadanie tekstowe związane z obwodem wielokąta (R - W)"
"
	30 - 31";"
 Kąty";"   zna pojęcie kąta (K)

   zna pojęcie wierzchołka i ramion kąta (K)

   zna podział kątów ze względu na miarę:

	– prosty, ostry, rozwarty(K),

	– pełny, półpełny (P)
   zna podział kątów ze względu na położenie:

	– przyległe, wierzchołkowe (K)

   zna zapis symboliczny kąta i jego miary (K)

   rozumie związki miarowe poszczególnych rodzajów kątów (K - P)

   umie zmierzyć kąt (K)

   umie narysować kąt o określonej mierze (K - P)

   umie rozróżniać i nazywać poszc zególne rodzaje kątów (K - R)

   umie obliczyć brakujące miary kątów przyległych, wierzchołkowych (P)

   umie rozwiązać zadanie związane z zegarem (P)";"   zna podział kątów ze względu na miarę:

	– wypukły, wklęsły (R)
   zna podział kątów ze względu na położenie:

	– odpowiadające, naprzemianległe (R)
   umie obliczyć brakujące miary kątów odpowiadających, naprzemianległych (R)

   umie rozwiązać zadanie związane z zegarem (D -W)

   umie określić miarę kąta przyległego, wierzchołkowego, odpowiadającego,

	naprzemianległego na podstawie rysunku lub treści zadania (D- W)"
