"
	TEMAT";"
	WYMAGANIA SZCZEGÓŁOWE Z PODSTAWY PROGRAMOWEJ DLA KLASY IV -VI"
;"
  7) zaznacza i odczytuje ułamki zwykłe i dziesiętne na osi liczbowej oraz odczytuje ułamki zwykłe i dziesiętne zaznaczone na osi li czbowej;

  8) zapisuje ułamki dziesiętne skończone w postaci ułamków zwykłych;

  9) zamienia ułamki zwykłe o mianownikach będących dzielnikami liczb 10, 100, 1000 itd. na ułamki dziesiętne skończone dowolną metodą (przez

  rozszerzanie lub skracanie ułamków zwyk łych, dzielenie licznika przez mianownik w pamięci, pisemnie lub za pomocą kalkulatora);

  12) porównuje ułamki (zwykłe i dziesiętne);

  14) wyznacza liczbę, która powstaje po powiększeniu lub pomniejszeniu o pewną część innej liczby.

  V. Działania na ułamkach zwykłych i dziesiętnych. Uczeń:

  1) dodaje, odejmuje, mnoży i dzieli ułamki zwykłe o mianownikach jedno - lub dwucyfrowych, a także liczby mieszane;

  2) dodaje, odejmuje, mnoży i dzieli ułamki dziesiętne w pamięci ( w przykładach najp rostszych), pisemnie (w przypadku gdy ułamki mają razem co

  najwyżej 6 cyfr różnych od zera) i za pomocą kalkulatora (w przykładach trudniejszych);

  3) porównuje ułamki z wykorzystaniem ich różnicy ;

  4) oblicza ułamek danej liczby całkowitej;

  6) wykonuje dzia łania na ułamkach dziesiętnych, używając własnych, poprawnych strategii lub za pomocą kalkulatora;

  7) oblicza wartości wyrażeń arytmetycznych, wymagających stosowania działań arytmetycznych na liczbach całkowitych lub na lic zbach zapisanych za

  pomocą ułamk ów zwykłych, liczb mieszanych i ułamków dziesiętnych (…) z uwzględnieniem reguł dotyczących kolejności wykonywania działań ( …).

  XIV. Zadania tekstowe. Uczeń:

  5) do rozwiązywania zadań osadzonych w kontekście praktycznym stosuje poznaną wiedzę z zakresu ar ytmetyki (…) oraz nabyte umiejętności

  rachunkowe, a także własne poprawne metody."
"
  Rozwinięcia dziesiętne

  ułamków zwykłych";"
  IV. Ułamki zwykłe i dziesiętne. Uczeń:

  8) zapisuje ułamki dziesiętne skończone w postaci ułamków zwykłych;

  9) zamienia ułamki zwykłe o mianownikach będących dzielnikami liczb 10, 100, 1000 itd. na ułamki dziesiętne skończone dowolną metodą (przez

  rozszerzanie (…) ułamków zwykłych, dzielenie licznika przez mianownik w pamięci, pisemnie lub za pomocą kalkulatora);

  10) zapisuje ułamki zwyk łe o mianownikach innych niż wymienione w pkt 9 w postaci rozwinięcia dziesiętnego nieskończonego, uzyskane w wyniku

  dzielenia licznika przez mianownik w pamięci, pisemnie lub za pomocą kalkulatora.

  V. Działania na ułamkach zwykłych i dziesiętnych. Uczeń:

  3) porównuje ułamki z wykorzystaniem ich różnicy ."
"
  DZIAŁ 2. FIGURY NA PŁASZCZYŹNIE";
"
  Proste i odcinki";"
  VII. Proste i odcinki. Uczeń:

  1) rozpoznaje i nazywa figury: punkt, prosta, półprosta, odcinek;

  2) rozpoznaje proste, odcinki prostopadłe i równoległe;

  3) rysuje pary odcinków prostopadłych i równoległych;

  5) znajduje odległość punktu od prostej."
"
  Okręgi i koła";"
  IX. Wielokąty, koła i okręgi. Uczeń:

  6) wskazuje na rysunku cięciwę, średnicę oraz promień koła i okręgu;

  7) rysuje cięciwę koła i okręgu, a także, jeśli dany jest środek okręgu, promień i średnicę."
"
  Trójkąty";"
  IX. Wielokąty, koła i okręgi. Uczeń:

  1) rozpoznaje i nazywa trójkąty ostrokątne, prostokątne, rozwartokątne, równoboczne i równoramienne;"

;"
  2) konstruuje trójkąt o danych trzech bokach i ustala możliwość zbudowania trójkąta o zadanych bokach;

  8) w trójkącie równoramiennym wyznacza (…) przy danych obwodzie i długości jednego boku długości pozostałych boków.

  XI. Obliczenia w geometrii. Uczeń:

  2) oblicza obwód wielokąta o danych długościach boków."
"
  Czworokąty i inne wielokąty";"
  IX. Wielokąty, koła i okręgi. Uczeń:

  4) rozpoznaje i nazywa: kwadrat, prostokąt, romb, równoległobok i trapez;

  5) zna najważniejsze własności kwadratu, prostokąta, rombu, r ównoległoboku i trapezu. (…).

  XI. Obliczenia w geometrii . Uczeń:

  2) oblicza obwód wielokąta o danych długościach boków.

  XIV. Zadania tekstowe. Uczeń :

  2) wykonuje wstępne czynności ułatwiające rozwiązanie zadania, w tym rysunek pomocniczy lub wygodne dla niego zapisanie infor macji i danych z

  treści zadania;

  5) d o rozwiązywania zadań osadzonych w kontekście praktycznym stosuje poznaną wiedzę z zakresu (…) geometrii oraz nabyte umiejętności

  rachunkowe (…);

  6) weryfikuje wynik zadania tekstowego, oceniając sensowność rozwiązania (…)."
"
  Kąty";"
  VIII. Kąty. Uczeń:

  1) wskazuje w dowolnym kącie ramiona i wierzchołek;

  2) mierzy z dokładnością do 1° kąty mniejsze niż 180°;

  3) rysuje kąty mniejsze od 180°;

  4) rozpoznaje kąt prosty, ostry i rozwarty;

  5) porównuje kąty;

  6) rozpoznaje kąty wierzchołkowe i przyległe oraz korzys ta z ich własności.

  XI. Obliczenia w geometrii. Uczeń:

  7) oblicza miary kątów, stosując przy tym poznane własności kątów (…)."
