"
  JEDNOSTKA ORGANIZACYJNA / TEMAT";;"
	CELE PODSTAWOWE";"
	CELE PONADPODSTAWOWE"
67;"
  Prostokąty i kwadraty";"
  · zna pojęcia: prostokąt, kwadrat (K)

  · zna własności prostokąta i kwadratu (K)

  · zna własności przekątnych prostokąta i kwadratu (P)

  · umie rysować prostokąt, kwadrat:

  – o danych bokach (K)

  – o danym obwodzie (P)";"
  · umie obliczać obwody prostokątów i kwadratów (K – R)

  · umie obliczać długość łamanych, których odcinkami są części przekątnej

  prostokąta, mając długość tej przekątnej (P – R)

  · umie rysować kwadraty, mając dane jeden wierzchołek i punkt przecięcia

  przekątnych (W)"
"
	68 - 69";"
  Równoległoboki

  i romby";"
  · zna pojęcia: równoległobok, romb (K)

  · zna własności boków równoległoboku i rombu (K)

  · zna własności przekątnych równoległoboku i rombu (P)";"
  · umie rysować równoległoboki i romby, mając dane:

  – długości przekątnych (D)

  · umie obliczać brakujące miary kątów w równoległobokach (P – R)"

;;"
  · zna sumę miar kątów wewnętrznych równoleg łoboku (P)

  · zna własności miar kątów równoległoboku (P)

  · umie wyróżniać spośród czworokątów równoległoboki i romby (K)

  · umie rysować przekątne równoległoboków i rombów (K)

  · umie rysować równoległoboki i romby, mając dane:

  – długości boków (P)";"
  · umie obliczać miary kątów równoległoboku, znając zależności pomiędzy nimi

  (R – D)

  · umie rozwiązywać zadania tekstowe zw iązane z równoległobokami i rombami

  (W)

  · umie wyróżniać w narysowanych figurach równoległoboki i romby (D)

  · umie rozwiązywać zadania tekstowe związane z miarami kątów w

  równoległobokach i trójkątach (D – W)"
"
	70 - 71";"
  Trapezy";"
  · zna pojęcie trapezu (K)

  · zna nazwy boków w trapezie (P)

  · zna rodzaje trapezów (P)

  · zna sumę miar kątów trapezu (P)

  · zna własności miar kątów trapezu (P)

  · umie rysować trapez, mając dane długości dwóch boków (P)";"
  · zna własności miar kątów trapezu równoramiennego (R)

  · umie oblicza ć długości wyróżnionych odcinków trapezu równoramiennego (R

  – D)

  · umie obliczać brakujące miary kątów w trapezach (P – R)

  · umie obliczać miary kątów trapezu równoramiennego (prostokątnego),

  znając zależności pomiędzy nimi (R – D)

  · umie rysować trapez równoramienny, mając dane długości dwóch podstaw

  (D)

  · umie rozwiązywać zadania tekstowe związane z obwodami trapezów i

  trójkątów (W)

  · umie wyróżniać w narysowanych figurach trapezy (D)

  · umie rozwiązywać zadania tekstowe związane z miarami kątów trapezu (R )

  · umie rozwiązywać zadania tekstowe związane z miarami kątów trapezu,

  trójkąta i czworokąta (D – W)"
72;"
  Czworokąty –

  podsumowanie";"
  · zna nazwy czworokątów (K)";"
  · zna własności czworokątów (P – R)

  · rozumie klasyfikację czworokątów (R)

  · umie nazywać czworokąty, znając ich cechy (P – R)

  · umie określać zależności między czworokątami (R – D)

  · umie rysować czworokąty spełniające podane warunki (D – W)"
73;"
  Oś symetrii figury";"
  · zna pojęcie osi symetrii figury (P)

  · zna pojęcie figury osiowosymetrycznej (P)

  · umie wskazywać i rysować osie symetrii figury ( jeśli istnieją) (P)";"
  · umie rozpoznać figury osiowosymetryczne (P – R)

  · umie rysować figury osiowosymetryczne ( P – R)

  · umie uzupełniać rysunek tak, aby nowa figura miała oś symetrii (R – D)

  · umie rysowa ć figury osiowosymetryczne ( D – W)

  · umie uzupełniać rysunek tak, aby nowa figura miała oś symetrii (D – W)"
74;"
  Powtórzenie";;
"
	75 - 76";"
  Praca klasowa i jej

  omówienie";;
"
	DZIAŁ 5. UŁAMKI DZIESIĘTNE (23 h)";;;
"
	77 - 78";"
  Zapisywanie ułamków

  dziesiętnych";"
  · zna dwie postaci ułamka dziesiętnego (K)

  · rozumie pozycyjny układ dziesiątkowy z rozszerzeniem na części ułamkowe (P)

  · umie zapisywać i odczytywać ułamki dziesiętne (K – P)

  · umie zamieniać ułamki dziesiętne na zwykłe (K – P)

  · umie zapisywać ułamki dziesiętne z pomi nięciem nieistotnych zer (P)

  · zna nazwy rzędów po przecinku (K – P)";"
  · umie zamieniać ułamki zwykłe na dziesiętne poprzez rozszerzanie lub

  skracanie (P – R)

  · umie opisywać części figur za pomocą ułamka dziesiętnego (P – R)

  · umie odczytywać ułamki dziesiętne na osi liczbowej oraz je zaznaczać (P – R)

  · umie rozwiązywać zadania tekstowe związane z zapisem ułamka dziesiętnego

  (W)

  · umie odczytywać ułamki dziesiętne na osi liczbowej (D)"
79;"
  Porównywanie ułamków

  dziesiętnych";"
  · zna algorytm porównywania ułamkó w dziesiętnych (K – P)

  · umie porównywać dwa ułamki o takiej samej liczbie cyfr po przecinku (K)";"
  · umie porównywać ułamki o różnej liczbie cyfr po przecinku (P – R)

  · umie porównywać liczby przedstawione w postaci ułamka dziesiętnego oraz

  ułamka zwykłego (liczby mieszanej) (P – R)

  · umie rozwiązywać zadania tekstowe związane z porównywaniem ułamków

  (R)

  · umie znajdować liczbę wymierną dodatnią leżącą między dwiema danymi na

  osi liczbowej (P – R)"

;;;"
  · umie uzupełniać brakujące cyfry w ułamkach dziesiętnych tak , aby zachować

  poprawność nierówności (D – W)

  · umie rozwiązywać zadania tekstowe związane z porównywaniem ułamków (D

  – W)"
"
	80 - 81";"
  Różne sposoby

  zapisywania długości i

  masy";"
  · zna zależności pomiędzy jednostkami masy i jednostkami długości (K – P)

  · rozumie możliwość przedstawiania różnymi sposobami długości i masy (P)";"
  · umie wyrażać podane wielkości w różnych jednostkach (P – R)

  · umie stosować ułamki dziesiętne do zamiany wyrażeń dwumianowanych na

  jednomianowane i odwrotnie (P – R)

  · umie porównywać długości (masy) wyrażone w różnych jednostkach (R)

  · umie rozwiązywać zadania tekstowe związane z różnym sposobem

  zapisywania długości i masy (D – W)"
"
	82 - 83";"
  Dodawanie i odejmowanie

  ułamków dziesiętnych";"
  · zna algorytm dodawania i odejmowania pisemnego ułamków dzie siętnych (K)

  · zna interpretację dodawania i odejmowania ułamków dziesiętnych na osi liczbowej (P)

  · rozumie porównywanie różnicowe (P)

  · umie pamięciowo i pisemnie dodawać i odejmować ułamki dziesiętne:

  - o takiej samej liczbie cyfr po przecinku (K)";"
  · um ie pamięciowo i pisemnie dodawać i odejmować ułamki dziesiętne:

  - o różnej liczbie cyfr po przecinku (P – R)

  · umie uzupełniać brakujące liczby w sumach i różnicach tak, aby otrzymać

  ustalony wynik (R)

  · umie obliczać wartości prostych wyrażeń arytmetyczny ch zawierających

  dodawanie i odejmowanie ułamków dziesiętnych z uwzględnieniem kolejności

  działań i nawiasów (R – D)

  · umie rozwiązywać zadania tekstowe z zastosowaniem dodawania i

  odejmowania ułamków dziesiętnych (R)

  · umie rozwiązywać zadania tekstowe na porównywanie różnicowe (P – R)

  · umie wstawiać znaki „+” i „–” w wyrażeniach arytmetycznych tak, aby

  otrzymać ustalony wynik (D – W)"
84;"
  Mnożenie ułamków

  dziesiętnych przez 10,

  100, 1000...";"
  · zna algorytm mnożenia ułamków dziesiętnych przez 10, 100, 1000. .. (K)

  · umie mnożyć ułamki dziesiętne przez 10, 100, 1000... (K – P)";"
  · umie rozwiązywać zadania tekstowe z zastosowaniem mnożenia ułamków

  dziesiętnych przez 10, 100, 1000... (R)

  · umie stosować przy zamianie jednostek mnożenie ułamków dziesiętnych

  przez 10, 100, 1000,... (R – D)"
85;"
  Dzielenie ułamków

  dziesiętnych przez 10,

  100, 1000...";"
  · zna algorytm dzielenia ułamków dziesiętnych przez 10, 100, 1000... (K)

  · rozumie dzielenie jako działanie odwrotne do mnożenia (K)

  · umie mnożyć i dzielić ułamki dziesięt ne przez 10, 100, 1000… (K – P)";"
  · umie rozwiązywać zadania tekstowe z zastosowaniem mnożenia i dzielenia

  ułamków dziesiętnych przez 10, 100, 1000... (R)

  · umie stosować przy zamianie jednostek mnożenie i dzielenie ułamków

  dziesiętnych przez 10, 100, 1000. .. (R – D)

  · umie rozwiązywać zadania tekstowe z zastosowaniem mnożenia i dzielenia

  ułamków dziesiętnych przez 10, 100, 1000... (D – W)"
86;"
  Mnożenie ułamków

  dziesiętnych przez liczby

  naturalne";"
  · zna algorytm mnożenia ułamków dziesiętnych przez liczby natur alne (K)

  · rozumie porównywanie ilorazowe (P)";"
  · umie pamięciowo i pisemnie mnożyć ułamki dziesiętne przez liczby naturalne

  (K – R)

  · umie powiększać ułamki dziesiętne n razy (P – R)

  · umie rozwiązywać zadania tekstowe z zastosowaniem mnożenia ułamków

  dziesiętnych przez liczby naturalne (R)

  · umie rozwiązywać zadania tekstowe z zastosowaniem mnożenia ułamków

  dziesiętnych przez liczby naturalne (D – W)"
"
	87 - 88";"
  Mnożenie ułamków

  dziesiętnych";"
  · zna algorytm mnożenia ułamków dziesiętnych (K)

  · umie pamięciowo i pisemnie mnożyć:

  - dwa ułamki dziesiętne o dwóch lub jednej cyfrze różnej od zera (K)";"
  · rozumie obliczanie części liczby (R)

  · umie pamięciowo i pisemnie mnożyć:

  - kilka ułamków dziesiętnych (P – R)

  · umie obliczać ułamki z liczb wyrażonych ułamkami dzies iętnymi (R)

  · umie rozwiązywać zadania tekstowe z zastosowaniem mnożenia ułamków

  dziesiętnych (R)

  · umie obliczać wartości wyrażeń arytmetycznych zawierających dodawanie,

  odejmowanie i mnożenie ułamków dziesiętnych z uwzględnieniem kolejności

  działań i naw iasów (R – D)

  · umie wstawiać znaki działań, tak aby wyrażenie arytmetyczne miało

  maksymalną wartość (W)"

;;;"
  · umie rozwiązywać zadania tekstowe z zastosowaniem mnożenia ułamków

  dziesiętnych (D)"
89;"
  Dzielenie ułamków

  dziesiętnych przez liczby

  naturalne";"
  · zna algorytm dzielenia ułamków dziesiętnych przez liczby naturalne (K)

  · rozumie porównywanie ilorazowe (P)

  · umie pamięciowo i pisemnie dzielić ułamki dziesiętne przez liczby naturalne:

  - jednocyfrowe (K)";"
  · zna pojęcie średniej arytmetycznej kilku liczb (R – D)

  · umie pamięciowo i pisemnie dzielić ułamki dziesiętne przez liczby naturalne:

  - wielocyfrowe (P – R)

  · umie pomniejszać ułamki dziesiętne n razy (P – R)

  · umie rozwiązywać zadania tekstowe z zastosowaniem dzielenia ułamków

  dziesiętnych przez liczby naturalne (R)"
"
	90 - 91";"
  Dzielenie ułamków

  dziesiętnych";"
  · zna algorytm dzielenia ułamków dziesiętnych (P)";"
  · umie dzielić ułamki dziesiętne przez ułamki dziesiętne (P – R)

  · umie rozwiązywać zadania tekstowe z zastosowaniem dzielenia ułamków

  dziesiętnych (R)

  · umie rozwiązywać zadania tekstowe z zastosowaniem dzielenia ułamków

  dziesiętnych (D – W)"
"
	92 - 93";"
  Szacowanie wyników

  działań na ułamkach

  dziesiętnych";;"
  · umie szacować wyniki działań (R)

  · umie rozwiązywać zadania tekstowe związane z szacowaniem (R)

  · umie rozwiązywać zadania tekstowe związane z szacowaniem (D – W)"
"
	94 - 95";"
  Działania na ułamkach

  zwykłych i dziesiętnych";"
  · zna zasadę zamiany ułamków zwykłych na ułamki dziesiętne:

  – metodą rozszerzania ułamka (P)

  · zna zasadę zamiany ułamków dziesiętnych na ułamki zwy kłe (K)

  · umie zamieniać ułamki dziesiętne ułamki zwykłe (K)

  · umie zamieniać ułamki ½, ¼ na ułamki dziesiętne i odwrotnie (K)";"
  · zna zasadę zamiany ułamków zwykłych na ułamki dziesiętne:

  – metodą dzielenia licznika przez mianownik (R)

  · umie zamieniać ułamki zwykłe na ułamki dziesiętne i odwrotnie (P – R)

  · umie wykonywać działania na liczbach wymiernych dodatnich (P – R)

  · umie porównywać ułamki zwykłe z ułamkami dziesiętnymi (P – R)

  · umie rozwiązywać zadania związane z rozwinięciami nieskończonymi i

  okresowymi ułamków (W)

  · umie rozwiązywać zadania tekstowe związane z działaniami na ułamkach

  zwykłych i dziesiętnych (D)

  · umie obliczać wartości wyrażeń arytmetycznych zawierających działania na

  liczbach wymiernych dodatnich (R – W)"
96;"
  Procenty a ułamki";"
  · zna pojęcie procentu (K – P)

  · rozumie potrzebę stosowania procentów w życiu codziennym (K –P)

  · umie wskazać przykłady zastosowań procentów w życiu codziennym (K – P)

  · umie zamieniać procenty na:

  – ułamki dziesiętne (P)

  · umie zapisywać ułamki o mianowniku 100 w postaci procentów (P)

  · umie zapisywać 25%, 50% w postaci ułamków (K)";"
  · umie zamieniać procenty na:

  – ułamki zwykłe nieskracalne (P – R)

  · umie zamieniać ułamki na procenty (R – D)

  · umie określać procentowo zacieniowane części figur (P – R)

  · um ie odczytywać potrzebne informacje z diagramów procentowych (P – D)

  · umie rozwiązywać zadania tekstowe związane z procentami (R)

  · umie określać procentowo zacieniowane części figur (D)

  · umie rozwiązywać zadania tekstowe związane z procentami (D – W)"
97;"
  Powtórzenie";;
"
	98 - 99";"
  Praca klasowa i jej

  omówienie";;
"
	DZIAŁ 6. POLA FIGUR (17 h)";;;
"
  100 - 101";"
  Pole prostokąta i

  kwadratu";"
  · zna jednostki miary pola (K)

  · zna wzór na obliczanie pola prostokąta i kwadratu (K)

  · rozumie pojęcie miary pola jako liczby kwadratów jednostkowych (K)

  · umie obliczać pola prostokątów i kwadratów o długościach boków wyrażonych w:

  – tych samych jednostkach (K)";"
  · umie obliczać pola prostokątów i kwadratów o długościach boków

  wyrażonych w:

  – różnych jednostkach (P – R)

  · umie obliczać bok kwadratu, znając jego pole (R)

  · umie obliczać bok prostokąta, znając jego pole i długość drugiego boku (P – R)

  · umie obliczać pole kwadratu o danym obwodzie i odwrotnie (R)

  · umie rozwiązywać zadania tekstowe związane z polami prostokątów (R – D)

  · umie obliczać pola narysowanych figur jako sumy lub różnice pól prostokątów

  (R – D)

  · umie rozwiązywać zadania tekstowe związane z polami prostokątów w skali"

;;;"
  (D)

  · umie dzielić linią prostą figury złożone z prostokątów na dwie części o

  równych polach (W)"
"
  102 - 103";"
  Zależności między

  jednostkami pola";"
  · zna gruntowe jednostki pola i zależności między nimi (P)

  · rozumie związek pomiędzy jednostkami długości a jednostkami pola (P)";"
  · zna zależności między jednostkami pola (P – R)

  · umie zamieniać jednostki pola (P – R)

  · umie rozwiązywać zadania tekstowe związane z zamianą jednostek pola (P –

  D)

  · umie rozwiązywać zadania tekstowe związane z zamianą jednostek pola (D –

  W)"
"
  104 - 105";"
  Pole równoległoboku";"
  · zna pojęcie wysokości i podstawy równoległoboku (P)

  · zna wzór na ob liczanie pola równoległoboku (P)

  · umie obliczać pola równoległoboków (P)

  · umie obliczać pola i obwody rombu (P)";"
  · umie obliczać długość podstawy równoległoboku, znając jego pole

  i długość wysokości opuszczonej na tę podstawę (R)

  · umie obliczać wysokość równoległoboku, znając jego pole i długość podstawy

  (R)

  · umie obliczać wysokość rombu, znając jego obwód (R)

  · umie porównywać pola narysowanych równoległoboków (R)

  · umie rysować prostokąt o polu równym polu narysowanego równoległoboku

  i odwrotnie (R – D)

  · umie obliczać pola narysowanych figur jako sumy lub różnice pól

  równoległoboków (R – D)

  · umie rozwiązywać zadania tekstowe związane z polami równoległoboków

  (W)

  · umie obliczać wysokość równoległoboku, znając długości dwóch boków i

  drugiej wysokości (D)"
"
  106 - 107";"
  Pole rombu";"
  · zna wzór na obliczanie pola rombu wykorzystu jący długości przekątnych (P )

  · umie obliczać pole rombu o danych przekątny ch (P )

  · umie obliczać pole kwadratu o danej przekątnej (P)";"
  · rozumie kryteria doboru wzoru na obliczanie pol a rombu (R)

  · umie obliczać pole rombu, znając długość jednej przekątnej i związek między

  przekątnymi (R – D)

  · umie rysować romb o danym polu (R)

  · umie obliczać długość przekątnej rombu, znając jego pole i długość drugiej

  przekątnej (R – D)

  · umie rozwiązywać zadania tekstowe związane z polami rombów (D – W)"
"
  108 - 109";"
  Pole trójkąta";"
  · zna pojęcie wysokości i podstawy trójkąta (P)

  · zna wzór na obliczanie pola trójkąta (P)

  · umie obliczać pole trójkąta, znając długość podstawy i wysokości trójkąta (P)

  · umie obliczać pola narysowanych trójkątów:

  – ostrokątnych (P)";"
  · umie rysować trójkąty o danych polach (R)

  · umie obliczać pola narysowanych trójkątów:

  – rozwartokątnych (R – D)

  · umie obliczać wysokość trójkąta, znając długość podstawy i pole trójkąta (D)

  · umie obliczać długość podstawy trójkąta, znając wysokość i pole trójkąta (D)

  · umie obliczać pole trójkąta prostokątnego o danych długościach

  przyprostokątnych (R)

  · umie obliczać długość przyprostokątnej, znając pole trójkąta i długość drugiej

  przyprostokątnej (D)

  · umie obliczać pola trójkątów jako części prostokątów o znanych bokach (P –

  D)

  · umie obliczać pola narysowanych figur jako sumy lub różnicy pól trójkątów (R

  – D)

  · umie rysować prostokąty o polu równym polu narysowanego trójkąta i

  odwrotnie (D – W)

  · umie rozwiązywać zadania tekstowe związane z polami trójkątów (R – W)"
"
  110 - 111";"
  Pole trapezu";"
  · zna pojęcie wysokości i podstawy trapezu (P)

  · zna wzór na obliczanie pola trapezu (P)

  · umie obliczać pole trapezu, znając:

  – długość podstawy i wysokość ( P)";"
  · umie obliczać pole trapezu, znając:

  – sumę długości podstaw i wysokość (R)

  · umie obliczać wysokość trapezu, znając jego pole i długości podstaw (ich

  sumę) lub zależności między nimi (R – D)"

;;;"
  · umie rozwiązywać zadania tekstowe związane z polami trape zów (D – W)

  · umie dzielić trapezy na części o równych polach (W)

  · umie obliczać pola narysowanych figur jako sumy lub różnicy pól znanych

  wielokątów (R – D)"
"
  112 - 113";"
  Pola wielokątów –

  podsumowanie";;"
  · zna wzory na obliczanie pól poznanych wielokątów (K - R)

  · umie obliczać pola poznanych wielokątów (K – R)

  · umie obliczać pola narysowanych figur jako sumy lub różnice pól znanych

  wielokątów (R – D)

  · umie rysować wielokąty o danych polach (W)

  · umie rozwiązywać zadania tekstowe związane z polami wielokątów (D – W)"
114;"
  Powtórzenie";;
"
  115 - 116";"
  Praca klasowa i jej

  omówienie";;
"
	DZIAŁ 7. LICZBY CAŁKOWITE (11 h)";;;
"
  117 - 119";"
  Liczby ujemne";"
  · zna pojęcia: liczby ujemnej i liczby dodatniej (K)

  · zna pojęcie liczb przeciwnych (K)

  · zna pojęcie liczby całkowitej (P)

  · rozumie rozszerzenie osi liczbowej na liczby ujemne (K)

  · rozumie rozszerzenie zbioru liczb o zbiór liczb całkowitych (P)

  · umie podawać liczby całkowite większe lub mniejsze od danej (P)

  · umie porównywać liczby całkowite:

  – dodatnie (K)

  – dodatnie z ujemnymi (K)

  – ujemne (P)

  – ujemne z zerem (P)

  · umie porządkować liczby całkowite (P)

  · umie podawać liczby przeciwne do danych (K)";"
  · umie zaznaczać liczby całkowite na osi liczbowej (K – R)

  · umie odczytywać współrzędne liczb ujemnych (P – D)

  · umie rozwiązywać zadania związane z porównywaniem liczb całkowitych (P –

  D)

  · umie rozwiązywać zadania związane z liczbami całkowitymi (P – D)

  · umie rozwiązywać zadania związane z obliczaniem czasu lokalnego (W)"
120;"
  Dodawanie liczb

  całkowitych";"
  · zna zasadę dodawania liczb o jednakowych znakach (K)

  · zna zasadę dodawania liczb o różnych znakach (P)

  · umie obliczać sumy liczb o jednakowych znakach (K)

  · umie obliczać sumy liczb o różnych znakach (P)

  · umie dopełniać składniki do określonej sumy (P)

  · umie powiększać liczby ca łkowite (P)";"
  · umie obliczać sumy wieloskładnikowe (R)

  · umie korzystać z przemienności i łączności dodawania (R)

  · umie określać znak sumy (R)

  · umie rozwiązywać zadania tekstowe związane z dodawaniem liczb

  całkowitych (D – W)"
"
  121 - 122";"
  Odejmowanie liczb

  całkowitych";"
  · zna zasadę zastępowania odejmowania dodawaniem liczby przeciwnej (P)

  · umie zastępować odejmowanie dodawaniem (P)

  · umie odejmować liczby całkowite dodatnie, gdy odjemnik jest większy od odjemnej (K)";"
  · umie odejmować liczby całkowite (P – D)

  · umie pomniejszać liczby całkowite (R)

  · umie porównywać różnice liczb całkowitych (R – D)

  · umie uzupełniać brakujące liczby w różnicy, tak aby uzyskać ustalony wynik (R

  – D)

  · umie rozwiązywać zadania tekstowe związane z odejmowaniem liczb

  całkowitych (R – W)"
"
  123 - 124";"
  Mnożenie i dzielenie liczb

  całkowitych";"
  · umie mnożyć i dzielić liczby całkowite o jednakowych znakach (P)";"
  · zna zasadę mnożenia i dzielenia liczb całkowitych (P – R)

  · umie mnożyć i dzielić liczby całkowite o różnych znakach (R)

  · umie ustalać znaki iloczynów i ilorazów (R)

  · umie obliczać wartości wyrażeń arytmetycznych zawierających działania na

  liczbach całkowitych (R – D)

  · umie obliczać średnie arytmetyczne kilku liczb całkowitych (D)

  · umie ustalać znaki wyrażeń arytmetycznych (D)

  · um ie wstawiać znaki działań, tak aby wyrażenie arytmetyczne miało

  określoną wartość (W)"

125;"
  Powtórzenie";;
"
  126 - 127";"
  Praca klasowa i jej

  omówienie";;
"
	DZIAŁ 8. OBJĘTOŚĆ FIGURY ( 9 h)";;;
"
  128 - 129";"
  Jednostki objętości";"
  · zna pojęcie objętości figury (K)

  · zna jednost ki objętości (K)

  · rozumie różnicę między polem powierzchni a objętością (P)

  · umie obliczać objętości brył, znając liczbę mieszczących się w nich sześcianów

  jednostkowych (K – P)

  · umie przyporządkować zadane objętości do obiektów z natury (P)";"
  · umie obliczać objętość prostopadłościanu zbudowanego z określonej liczby

  sześcianów (R)

  · umie podawać liczbę sześcianów jednostkowych, z których składa się bryła na

  podstawie jej widoków z różnych stron (D – W)"
"
  130 - 131";"
  Objętość

  prostopadłościanu";"
  · zna wzór na obliczanie objętości prostopadłościanu i sześcianu (K)

  · umie obliczać objętości sześcianów (K)

  · umie obliczać objętości prostopadłościanów (K – P)";"
  · umie rozwiązywać zadania tekstowe związane z objętościami

  prostopadłościanów (R)

  · umie rozwiązywać nietypowe zadania tekstowe związane z objętościami

  prostopadłościanów (D – W)

  · umie obliczać pole powierzchni sześcianu znając jego objętość (D)"
"
  132 - 133";"
  Litry i mililitry";"
  · zna definicje litra i mililitra oraz zależności pomiędzy nimi (P)";"
  · zna zależności pomiędzy jednostkami objętości (R – D)

  · rozumie związek pomiędzy jednostkami długości a jednostkami objętości (R)

  · umie wyrażać w litrach i mililitrach podane objętości (P – R)

  · umie wyrażać w litrach i mililitrach objętość prostopadłościanu o danych

  wymiarach (P – R)

  · umie rozwiązywać zadania tekstowe związane z objętościami brył

  wyrażonymi w litrach lub mililitrach (R – D)

  · umie zamieniać jednostki objętości (R – D)

  · umie stosować zamianę jednostek objętości w zadaniach tekstowych (D – W)"
134;"
  Powtórzen ie";;
"
  135 - 136";"
  Praca klasowa i jej

  omówienie";;
