"
  JEDNOSTKA ORGANIZACYJNA / TEMAT";;"
	CELE PODSTAWOWE";"
	CELE PONADPODSTAWOWE"
"
	15 - 16";"
  Działania pisemne –

  mnożenie";"
  · zna algorytmy dzielenia pisemnego (K)

  · umie dzielić pisemnie liczby wielocyfrowe przez jednocyfro we (K)

  · umie dzielić pisemnie liczby wielocyfrowe przez dwucyfrowe (P)

  · umie dzielić liczby zakończone zerami (P)";"
  · umie pomniejszać liczby n razy (K – R)

  · umie obliczać dzielną (dzielnik), gdy dane są iloraz i dzielnik (dzielna) (R)

  · umie rozwiązywać zadania tekstowe z zastosowaniem dzielenia pisemnego (P

  – R)

  · umie odtwarzać brakujące cyfry w dzieleniu pisemnym (D – W)

  · umie rozwiązywać zadania tekstowe z zastosowaniem działań pisemnych (D)"
"
	17 - 19";"
  Zadania tekstowe";"
  · umie rozwiązywać zadania tekstow e:

  – jednodziałaniowe (P)";"
  · umie rozwiązywać zadania tekstowe:

  – wielodziałaniowe (R)

  · umie rozwiązywać zadania tekstowe dotyczące porównań różnicowych i

  ilorazowych (P – R)

  · umie rozwiązywać zadania tekstowe z zastosowaniem działań pamięciowych i

  pisem nych (P – R)

  · umie rozwiązywać nietypowe zadania tekstowe wielodziałaniowe (D – W)

  · umie rozwiązywać zadania tekstowe dotyczące porównań różnicowych i

  ilorazowych (W)"
20;"
  Powtórzenie";;
"
	21 - 22";"
  Praca klasowa i jej

  omówienie";;
"
	DZIAŁ 2. WŁASNOŚCI LICZB NATURALNYCH (12 h)";;;
23;"
  Wielokrotności";"
  · zna pojęcie wielokrotności liczby naturalnej (K)";"
  · zna algorytm znajdowania NWW dwóch liczb na podstawie ich rozkładu na"

;;"
  · rozumie pojęcie NWW liczb naturalnych (P)

  · umie wskazywać lub podawać wielokrotności liczb naturalnych (K)

  · umie wskazywać wielokrotności liczb naturalnych na osi licz bowej (K)";"
  czynniki pierwsze (P – R)

  · umie wskazywać wspólne wielokrotności liczb naturalnych (P – R)

  · umie znajdować NWW dwóch liczb naturalnych (P – R)

  · umie znajdować NWW trzech liczb naturalnych (R – D)

  · umie rozwiązywać zadania tekstowe z wykorzystaniem NWW (D – W)

  · umie rozwiązywać zadania tekstowe z wykorzystaniem NWW trzech liczb

  naturalnych (W)"
24;"
  Dzielniki";"
  · zna pojęcie dzielnika liczby naturalnej (K)

  · rozumie pojęcie NW D liczb naturalnych (P)

  · umie podawać dzielniki liczb naturalnych (K – P)

  · umie wskazywać wspólne dzielniki danych liczb naturalnych (K – P)";"
  · umie znajdować NWD dwóch liczb naturalnych (P – R)

  · umie znajdować liczbę, gdy dana jest suma jej dzielników o raz jeden z nich

  (W)

  · umie rozwiązywać zadania tekstowe związane z dzielnikami liczb naturalnych

  (W)"
"
	25 - 26";"
  Cechy podzielności liczb";"
  · zna cechy podzielności przez 2, 5, 10, 100 ( K ) oraz 3, 9, 4 (P)

  · rozumie korzyści płynące ze znajomości cech podzielnoś ci (P)

  · umie rozpoznawać liczby podzielne przez:

  - 2, 5, 10, 100 (K)

  - 3, 9 (P)

  - 4 (P)";"
  · zna cechy podzielności np. przez 12, 15 (D - W)

  · zna regułę obliczania lat przestępnych (D)

  · umie określać, czy dany rok jest przestępny (R – D)

  · umie rozwiązywać zadania tekstowe związane z cechami podzielności (P – R)

  · umie rozpoznawać liczby podzielne przez 12, 15 itp. (D – W)

  · umie rozwiązywać zadania tekstowe związane z cechami podzielności (D – W)"
27;"
  Liczby pierwsze i liczby

  złożone";"
  · zna pojęcia: liczby pierwszej i liczby złożonej (K)

  · rozumie, że liczby 0 i 1 nie zaliczają się ani do liczb pierwszych, ani do złożonych (P)

  · umie określać, czy dane liczby są pierwsze, czy złożone (P)

  · umie wskazywać liczby pierwsze i liczby złożone (P)";"
  · umie podawać NWD liczby pierwszej i liczby złożonej (P – D)

  · umie rozwiązywać zadania tekstowe związane z liczbami pierwszymi

  złożonymi (P – R)

  · umie obliczać liczbę dzielników potęgi liczby pierwszej (R - W)"
"
	28 - 29";"
  Rozkład liczby na czynniki

  pierwsze";"
  · zna sposób rozkładu liczb na czynniki pierwsze (K – P)

  · rozumie sposób rozkładu liczb na czynniki pierwsze (K – P)

  · umie rozkładać na czynniki pierwsze liczby:

  - dwucyfrowe (K)";"
  · umie rozkładać na czynniki pierwsze liczby:

  - wielocyfrowe (P – R)

  · umie zapisywać rozkład liczb na czynniki pierwsze za pomocą potęg (R – D)

  · umie zapisać liczbę, gdy znany jest jej rozkład na czynniki pierwsze (P – R)

  · umie rozkładać na czynniki pierwsze liczby zapisane w postaci iloczynu (D –

  W)"
"
	30 - 31";"
  Obliczanie NWD i NWW";"
  · rozkładać na czynniki pierwsze liczby:

  - dwucyfrowe (K)";"
  · zna algorytm znajdowania NWD dwóch liczb na podstawie ich rozkładu na

  czynniki pierwsze (P – D)

  · rozumie algorytm znajdowania NWD dwóch liczb na podstawie ich rozkładu

  na czynniki pierwsze (P – D)

  · umie rozkładać na czynniki pierwsze liczby:

  - wielocyfrowe (P – R)

  · umie znajdować NWD i NWW liczb korzystając z rozkładu liczb na czynniki

  pierwsze (R – D)"
32;"
  Powtórzenie";;
"
	33 - 34";"
  Praca klasowa i jej

  omówienie";;
"
	DZIAŁ 3. UŁAMKI ZWYKŁE (21 h)";;;
"
	35 - 36";"
  Ułamki zwykłe i liczby

  mieszane";"
  · zna pojęcie ułamka jako części całości lub zbiorowości (K)

  · zna budowę ułamka zwykłego (K)

  · zna pojęcie liczby mieszanej (K)

  · zna pojęcie ułamka właściwego i ułamka niewłaściwego (P)

  · zna algorytm zamiany liczby mieszanej na ułamek niewłaściwy (P)

  · rozumie pojęcie ułamka jako wynik podziału na równe części (K)

  · umie odróżniać ułamki właściwe od ułamków niewłaściwych (P)

  · umie zamieniać całości na ułamki niewłaściwe (K)";"
  · umie opisywać części figur lub zbiorów skończonych za pomoc ą ułamka (K –

  R)

  · umie odczytywać zaznaczone ułamki na osi liczbowej (K – R)

  · umie zamieniać liczby mieszane na ułamki niewłaściwe (P – R)

  · umie rozwiązywać zadania tekstowe związane z ułamkami zwykłymi (R)"
37;"
  Ułamek jako iloraz";"
  · zna pojęcie ułamka ja ko ilorazu dwóch liczb naturalnych (K)";"
  · zna algorytm wyłączania całości z ułamka (R)"

;;"
  · rozumie pojęcie ułamka jako ilorazu dwóch liczb naturalnych (K)

  · umie przedstawiać ułamek zwykły w postaci ilorazu liczb naturalnych i odwrotnie (K)

  · umie stosować odpowiedniości: dzielna – licznik, dzielnik – mianownik, znak dzielenia

  – kreska ułamkowa (K)";"
  · umie wyłączać całości z ułamka niewłaściwego (P – R)

  · umie przedstawiać ułamek niewłaściwy na osi liczbowej (R – D)

  · umie rozwiązywać zadania tekstowe związane z pojęciem ułamka jako ilorazu

  liczb naturalnych (R)"
"
	38 - 39";"
  Skracanie i rozszerzanie

  ułamków";"
  · zna zasadę skracania i rozszerzania ułamków zwykłych (K)

  · zna pojęcie ułamka nieskracalnego (P)

  · umie skracać (rozszerzać) ułamki (K – P)

  · umie sprowadzać uła mki do wspólnego mianownika (P)";"
  · umie zapisywać ułamki w postaci nieskracalnej (P – R)

  · umie sprowadzać ułamki do najmniejszego wspólnego mianownika (R – D)

  · umie rozwiązywać zadania tekstowe związane z rozszerzaniem

  i skracaniem ułamków (R)"
40;"
  Porówn ywanie ułamków";"
  · zna algorytm porównywania ułamków o równych mianownikach (K)

  · zna algorytm porównywania ułamków o równych licznikach (P)

  · zna algorytm porównywania ułamków o różnych mianownikach (P )

  · umie porównywać ułamki o równych mianownikach (K)

  · umie porównywać ułamki o równych licznikach (P)";"
  · zna algorytm porównywania ułamków do ½ (R)

  · zna algorytm porównywania ułamków poprzez ustalenie, który z nich na osi

  liczbowej leży bliżej 1 (R)

  · umie porównywać ułamki o różnych mianownikach (P – R)

  · umie porównywać liczby mieszane (P – R)

  · umie rozwiązywać zadania tekstowe z zastosowaniem porównywania

  ułamków (R)"
"
	41 - 42";"
  Dodawanie i odejmowanie

  ułamków o jednakowych

  mianownikach";"
  · zna algorytm dodawania i odejmowania ułamków zwykłych o jednakowych

  mianownikach (K)

  · umie dodawać i odejmować:

  – ułamki o tych samych mianownikach (K)

  – liczby mieszane o tych samych mianownikach (K – P)

  · umie odejmować ułamki od całości (K)";"
  · umie uzupełniać brakujące liczby w dodawaniu i odejmowaniu ułamków o

  jednakowych mianownikach, tak aby otrzymać ustalony wynik (P – R)

  · umie rozwiązywać zadania tekstowe z zastosowaniem dodawania i

  odejmowania ułamków (P – R)

  · umie rozwiązywać zadania tekstowe z zastosowaniem dodawania i

  odejmowania ułamków zwykłych (D – W)"
"
	43 - 44";"
  Dodawanie i odejmowanie

  ułamków o różnych

  m ianownikach";"
  · zna zasadę dodawania i odejmowania ułamków zwykłych o różnych mianownikach (K)

  · umie dodawać i odejmować:

  – dwa ułamki zwykłe o różnych mianownikach (P)

  – dwie liczby mieszane o różnych mianownikach ( P – R)

  · umie rozwiązywać zadania tekstowe z zastosowaniem dodawania i odejmowania

  ułamków (P – R)";"
  · umie dodawać i odejmować:

  – kilka ułamków i liczb mieszanych o różnych mianownikach (R – D)

  · umie uzupełniać brakujące liczby w dodawaniu i odejmowaniu uł amków o

  różnych mianownikach, tak aby otrzymać ustalony wynik (R – D)

  · umie rozwiązywać zadania tekstowe z zastosowaniem dodawania i

  odejmowania ułamków zwykłych (D – W)"
45;"
  Mnożenie ułamków przez

  liczby naturalne";"
  · zna algorytm mnożenia ułamków przez li czby naturalne (K)

  · zna algorytm mnożenia liczb mieszanych przez liczby naturalne (P)

  · rozumie porównywanie ilorazowe (P)

  · umie mnożyć ułamki przez liczby naturalne (K)

  · umie mnożyć liczby mieszane przez liczby naturalne (P)

  · umie powiększać ułamki n razy (P)";"
  · umie powiększać liczby mieszane n razy (R)

  · umie skracać ułamki przy mnożeniu ułamków przez liczby naturalne (P – R)

  · umie rozwiązywać zadania tekstowe z zastosowaniem mnożenia ułamków i

  liczb mieszanych przez liczby naturalne (P – R)

  · umie wykonywać działania łączne na ułamkach zwykłych (P – D)

  · umie rozwiązywać zadania tekstowe

  z zastosowaniem mnożenia ułamków zwykłych i liczb mieszanych przez liczby

  naturalne (D – W)

  · umie uzupełniać brakujące liczby w iloczynie ułamków tak, aby otrzyma ć

  ustalony wynik (R – D)"
"
	46 - 47";"
  Ułamek liczby naturalnej";"
  · zna algorytm obliczania ułamka danej liczby naturalnej (P)

  · zna algorytm obliczania liczby, której część jest podana ( wyznacza całość, której część

  określono za pomocą ułamka) (P)

  · umie obliczać ułamki liczb naturalnych (P)

  · umie obliczać liczbę, której część jest podana (wyznaczać całość, której część określono

  za pomocą ułamka) (P)";"
  · umie rozwiązywać zadania tekstowe z zastosowaniem obliczania ułamka

  liczby oraz obliczanie liczby, której część jest określona za pomocą ułamka (R –

  D)

  · umie rozwiązywać zadania tekstowe z zastosowaniem obliczania ułamka

  liczby (W)

  · umie rozwiązywać zadania tekstowe z zastosowaniem obliczania liczby, której

  część jest określona za pomocą ułamka (W )"
"
	48 - 49";"
  Mnożenie ułamków";"
  · zna algorytm mnożenia ułamków (K)

  · zna algorytm mnożenia liczb mieszanych (P)

  · zna pojęcie odwrotności liczby (K)

  · umie mnożyć dwa ułamki zwykłe (K)

  · umie mnożyć ułamki przez liczby mieszane lub liczby mieszane przez liczby mieszane

  (P)";"
  · rozumie pojęcie ułamka liczby (R)

  · umie skracać przy mnożeniu ułamków (P – R)

  · umie stosować prawa działań w mnożeniu ułamków (R)

  · umie obliczać potęgi ułamków lub liczb mieszanych (P – R)

  · umie obliczać ułamki liczb mieszanych (R)

  · umie rozwiązywać zadania tekstowe z zastosowaniem mnożenia ułamków i"

;;"
  · umie podawać odwrotności ułamków i liczb naturalnych (K)

  · umie podawać odwrotności liczb mieszanych (P)";"
  liczb mieszanych (R)

  · umie wykonywać działania łączne na ułamkach zwykłych (P – D)

  · umie rozwiązywać zadania tekstowe z zastosowaniem mnożenia ułamków

  zwykłych i liczb mieszanych (D – W)

  · umie uzupełniać brakujące liczby w mnożeniu ułamków lub liczb mieszanych

  tak, aby otrzymać ustalony wynik (R – W)"
50;"
  Dzielenie ułamków przez

  liczby naturalne";"
  · zna algorytm dzielenia ułamków zwykłych przez liczby naturalne (K)

  · zna algorytm dzielenia liczb mieszanych przez liczby naturalne (P)

  · rozumie porównywanie ilorazowe (P)

  · umie dzielić ułamki przez liczby naturalne (K)

  · umie dzielić liczby mieszane przez liczby naturalne (P)

  · umie pomniejszać ułamki zwykłe i liczby mieszane n razy (P)";"
  · umie rozwiązywać zadania tekstowe z zastosowaniem dzielenia ułamków i

  liczb mieszanych przez liczby naturalne (P – R)

  · umie wykonywać działania łączne na ułamkach zwykły ch (P – D)

  · umie rozwiązywać zadania tekstowe z zastosowaniem dzielenia ułamków

  zwykłych i liczb mieszanych przez liczby naturalne (D – W)

  · umie uzupełniać brakujące liczby w dzieleniu ułamków (liczb mieszanych)

  przez liczby naturalne tak, aby otrzymać u stalony wynik (R – W)"
"
	51 - 52";"
  Dzielenie ułamków";"
  · zna algorytm dzielenia ułamków zwykłych (K)

  · zna algorytm dzielenia liczb mieszanych (P)

  · umie dzielić ułamki zwykłe przez ułamki zwykłe (K)

  · umie dzielić ułamki zwykłe przez liczby mieszane i odwrotnie l ub liczby mieszane przez

  liczby mieszane (P)";"
  · umie wykonywać cztery działania na ułamkach zwykłych i liczbach

  mieszanych (P – R)

  · umie rozwiązywać zadania tekstowe z zastosowaniem dzielenia ułamków

  zwykłych i liczb mieszanych (P – R)

  · umie wykonywać działania łączne na ułamkach zwykłych (P – D)

  · umie uzupełniać brakujące liczby w dzieleniu i mnożeniu ułamków lub liczb

  mieszanych tak, aby otrzymać ustalony wynik (R – W)

  · umie rozwiązywać zadania tekstowe z zastosowaniem dzielenia ułamków

  zwykłych i liczb mieszanych (D – W)"
53;"
  Powtórzenie";;
"
	54 - 55";"
  Praca klasowa i jej

  omówienie";;
"
	DZIAŁ 4. FIGURY NA PŁASZCZYŹNIE (21 h)";;;
