"
	JEDNOSTKA ORGANIZACYJNA / TEMAT";;"
	CELE PODSTAWOWE";"
	CELE PONADPODSTAWOWE"
"
	23 - 24";"
 Proporcje";"  zna pojęcie proporcji i jej własności (P)

  umie rozwiązywać równania zapisane w postaci proporcji (P)

  umie wyrazić treść zadania za pomocą proporcji (P - R)";"  umie rozwiązać równanie, korzystając z proporcji (R - D)

  umie wyrazić treść zadania za pomocą proporcji (R - W)

  umie rozwiązać zadania tekstowe za pomocą proporcji (R- W)"
"
	25 - 26";"
 Wielkości wprost

 proporcjonalne";"  rozumie pojęcie proporcjonalności prostej (P)

  umie rozpoznawać wielkości wprost proporcjonalne (P)

  umie ułożyć odpowiednią proporcję (P - R)

  umie rozwiązywać zadania tekstowe związane z wielkościami wp rost proporcjonalnymi (P - R)";"  umie rozwiązywać zadania tekstowe związane z wielkościami wprost

	proporcjonalnymi (D - W)"
27;"
 Powtórzenie";;
"
	28 - 29";"
 Praca klasowa i jej omówienie";;
"
	DZIAŁ 3. FIGURY NA PŁASZCZYŹNIE (24 h)";;;
"
	30 - 32";"
 Trójkąty

 i czworokąty";"  zna pojęcie trójkąta (K)

  zna warunek istnienia trójkąta (P)

  wie, ile wynosi suma miar kątów wewnętrznych trójkąta i czworokąta (K)";"  umie wyznaczyć kąty trójkąta na podstawie danych z rysunku (R - D)

  umie obliczyć długość odcinka w ukł adzie współrzędnych (R)

  umie uzasadnić przystawanie trójkątów (R - D)"

;;"  zna wzór na pole dowolnego trójkąta (K)

  zna cechy przystawania trójkątów (P)

  zna definicję prostokąta, kwadratu, trapezu, równoległoboku i rombu (K)

  zna wzory na obliczanie pól powierzchni czworokątów (K)

  zna własności czworokątów (K)

  rozumie zasadę klasyfikacji trójkątów i czworokątów (P)

  umie sprawdzić, czy z odcinków o danych długościach można zbudować trójkąt (P)

  umie obliczyć miarę tr zeciego kąta trójkąta, mając dane dwa pozostałe (K)

  umie obliczyć pole trójkąta o danej podstawie i wysokości (K)

  umie rozpoznać trójkąty przystające (P)

  umie obliczyć pole i obwód czworokąta (K - P)

  umie obliczyć pole wielokąta (P)

  umie wyznaczyć kąty trójkąta i czworokąta na podstawie danych z rysunku (K - P)

  umie obliczyć wysokość (bok) równoległoboku lub trójkąta, mając dane jego pole oraz bok

	(wysokość) (P)";"  umie sprawdzić współliniowość trzech punktów (D)

  umie obliczyć pole czworokąta (R)

  umie obliczyć pole wielokąta (R)

  umie wyznaczyć kąty czworokąta na podstawie danych z rysunku (R - D)

  umie rozwiązać zadania tekstowe związane z wielokątami (R - W)"
"
	33 - 35";"
 Twierdzenie Pitagorasa";"  zna twierdzenie Pitagorasa (K)

  rozumie potrzebę stosowania twierdzenia Pitagorasa (K)

  umie obliczyć długość przeciwprostokątnej na podstawie twierdzenia Pitagorasa (K)

  um ie obliczyć długości przyprostokątnych na podstawie twierdzenia Pitagorasa (P)

  umie rozwiązać zadania tekstowe, w którym stosuje twierdzenie Pitagorasa (R)";"  rozumie konstrukcję odcinka o długości wyrażonej liczbą niewymierną (R)

  umie konstruować odcinek o d ługości wyrażonej liczbą niewymierną (R - D)

  umie konstruować kwadraty o polu równym sumie lub różnicy pól danych kwadratów

	(R- D)

  umie uzasadnić twierdzenie Pitagorasa (W)"
"
	36 - 39";"
 Zastosowania twierdzenia

 Pitagorasa";"  umie wskazać trójkąt prostokątny w innej fi gurze (K)

  umie stosować twierdzenie Pitagorasa w prostych zadaniach o trójkątach, prostokątach,

	trapezach, rombach (K - P)";"  umie stosować twierdzenie Pitagorasa w zadaniach o trójkątach, prostokątach,

	trapezach, rombach (R- D)

  umie stosować twierdzenie Pitagor asa w zadaniach tekstowych (R- D)"
