"
	TEMAT";"
	WYMAGANIA SZCZEGÓŁOWE Z PODSTAWY PROGRAMOWEJ DLA KLASY IV -VI"
"
  Dzielenie ułamków prze

  liczby naturalne";"
  V. Działania na ułamkach zwykłych i dziesiętnych. Uczeń:

  1) dodaje, odejmuje, mnoży i dzieli ułamki zwykłe o mianownikach jedno - lub dwucyfrowych, a także liczby mieszane ."
"
  Dzielenie ułamków";"
  V. Działania na ułamkach zwykłych i dziesiętnych. Uczeń:

  1) dodaje, odejmuje, mnoży i dzieli ułamki zwykłe o mianownikach jedno - lub dwucyfrowych, a także liczby mieszane;

  7) oblicza wartości wyrażeń arytmetycznych, wymagających stosowania działań arytmetycznych (…) na liczbach zapisanych za pomo cą

  ułamków zwykłych, liczb mieszanych (…), z uwzględnieniem reguł dotyczących kolejności wykonywania działań, (…) ."
"
  DZIAŁ 4. FIGURY NA PŁASZCZYŹNIE";
"
  Proste prostopadłe i proste

  równoległe";"
  VII. Proste i odcinki. Uczeń:

  1) rozpoznaje i nazywa figury: punkt, prosta, półprosta, odcinek;

  2) rozpoznaje proste i odcinki prostopadłe i równoległe;

  3) rysuje pary odcinków prostopadłych i równoległych;

  4) mierzy odcinek z dokładnością do 1 mm;

  5) znajduje odległość punktu od pros tej."
"
  Kąty";"
  VIII. Kąty. Uczeń:

  1) wskazuje w dowolnym kącie ramiona i wierzchołek;

  4) rozpoznaje kąt prosty, ostry i rozwarty ."
"
  Mierzenie kątów";"
  VIII. Kąty. Uczeń:

  2) mierzy z dokładnością do 1 stopnia kąty mniejsze niż 180 stopni;

  3) rysuje kąty mniejsze od 180 stopni;

  4) rozpoznaje kąt prosty, ostry i rozwarty;

  5) porównuje kąty ."

"
  Kąty przyległe, kąty

  wierzchołkowe. Katy

  utworzone przez trzy proste";"
  VIII. Kąty. Uczeń:

  6) rozpoznaje kąty wierzchołkowe i przyległe oraz korzysta z ich własności."
"
  Wielokąty";"
  IX. Wielokąty, koła i okręgi. Uczeń:

  4) rozpoznaje i nazywa: kwadrat, prostokąt, (…);

  XI. Obliczenia w geometrii. Uczeń:

  2) oblicza obwód wielokąta o danych długościach boków ."
"
  Rodzaje trójkątów";"
  IX. Wielokąty, koła i okręgi. Uczeń:

  1) rozpoznaje i nazywa trójkąty ostrokątne, prostokątne, rozwartokątne, równoboczne i równoramienne;

  8) w trójkącie równoramiennym wyznacza (…) przy danych obwodzie i długości jednego boku – długości pozostałych boków.

  XI. Obliczenia w geometrii. Uczeń:

  2) oblicza obwód wieloką ta o danych długościach boków ."
"
  Konstruowanie trójkąta o

  danych bokach";"
  IX. Wielokąty, koła i okręgi. Uczeń:

  2) konstruuje trójkąt o danych trzech bokach i ustala możliwość zbudowania trójkąta o z adanych bokach ."
"
  Miary kątów w trójkątach";"
  VIII. Kąty. Uczeń:

  6) rozpoznaje kąty wierzchołkowe i kąty przyległe oraz korzysta z ich własności.

  IX. Wielokąty, koła i okręgi. Uczeń:

  3) stosuje twierdzenie o sumie kątów wewnętrznych trójkąta;

  8) w trójkącie równoramiennym wyznacza przy danym jednym kącie: miary pozost ałych kątów; (…).

  XI. Obliczenia w geometrii. Uczeń:

  1) oblicza miary kątów, stosując przy tym poznane własności kątów i wielokątów ."
"
  Prostokąty i kwadraty";"
  VII. Proste i odcinki. Uczeń:

  2) rozpoznaje proste, odcinki prostopadłe i równoległe.

  IX. Wielokąty, koła i okręgi. Uczeń:

  4) rozpoznaje i nazywa: kwadrat, prostokąt, (…);

  5) zna najważniejsze włas ności kwadratu, prostokąta, (…).

  XI. Obliczenia w geometrii. Uczeń:

  2) oblicza obwód wielokąta o danych długościach boków ."
"
  Równoległoboki i rom by";"
  VII. Proste i odcinki. Uczeń:

  2) rozpoznaje proste, odcinki (…) równoległe;

  3) rysuje pary odcinków (…) równoległych .

  IX. Wielokąty, koła i okręgi. Uczeń:

  4) rozpoznaje i nazywa: kwadratu, prostokąta, romb, równoległobok (…);

  5) zna najważniejsze własności kwadratu, prostok ąta, rombu, równoległoboku (…).

  XI. Obliczenia w geometrii. Uczeń:

  1) oblicza miary kątów, stosując przy tym poznane własności kątów i wielokątów;

  2) oblicza obwód wielokąta o danych długościach boków ."

"
  Trapezy";"
  VII. Proste i odcinki. Uczeń:

  2) rozpoznaje proste, odcinki (…) równoległe;

  3) rysuje pary odcinków (…) równoległych .

  IX. Wielokąty, koła i okręgi. Uczeń:

  4) rozpoznaje i nazywa: kwadratu, prostokąta, romb, równoległobok , trapez;

  5) zna najważniejsze własności kwadratu, prostokąta, romb u , równoległobok u, trapezu, (…).

  XI. Obliczenia w geometrii. Uczeń:

  1) oblicza miary kątów, stosując przy tym poznane własności kątów i wielokątów;

  2) oblicza obwód wielokąta o danych długościach boków ."
"
  Czworokąty –

  podsumowanie";"
  IX. Wielokąty, koła i okręgi. Uczeń:

  4) rozpoznaje i nazywa: kwadrat, prostokąt, romb, równoległobok i trapez;

  5) zna najważniejsze własności kwadratu, prostokąta, rombu, równoległoboku i trapezu, (…) ."
"
  Oś symetrii figury";"
  IX. Wielokąty, koła i okręgi. Uczeń:

  5) (…) rozpoznaje figury osiowosymetryczne i wskazuje osie symetrii figur ."
"
  DZIAŁ 5. UŁAMKI DZIESIĘTNE";
"
  Zapisywanie ułamków

  dziesiętnych";"
  IV. Ułamki zwykłe i dziesiętne. Uczeń:

  1) opisuje część danej całości za pomocą ułamka;

  7) zaznacza ułamki (…) dziesiętne na osi liczbowej oraz odczytuje ułamki (…) dziesiętne zaznaczone na osi liczbowej;

  8) zapisuje ułamki dziesiętne skończone w postaci ułamków zwykłych;

  9) zamienia ułamki zwykłe o mianownikach będących dzielnikami l iczb 10, 100, 1000 itd. na ułamki dziesiętne skończone dowolną metodą

  (przez rozszerzanie lub skracanie ułamków zwykłych, dzielenie licznika przez mianownik w pamięci, pisemnie lub za pomocą kalk ulatora) ."
"
  Porównywanie ułamków

  dziesiętnych";"
  IV. Ułamki zwykłe i dziesiętne. Uczeń:

  12) por ównuje ułamki ( (…) dziesiętne).

  XIV. Zadania tekstowe. Uczeń:

  1) czyta ze zrozumieniem tekst zawierający informacje liczbowe;

  5) do rozwiązywania zadań osadzonych w kontekście praktycznym stosuje poznaną wiedzę z zakresu arytmetyki (…) oraz nabyte

  umiejętności rachunkowe, a także własne poprawne metody ."
"
  Różne sposoby zapisywania

  długości i masy";"
  IV. Ułamki zwykłe i dziesiętne. Uczeń:

  6) zapisuje wyrażenia dwumianowane w postaci ułamka dziesiętnego i odwrot nie.

  XII. Obliczenia praktyczne. Uczeń:

  6) zamienia i prawidłowo stosuje jednostki długości: milimetr, centymetr, decymetr, metr, kilometr;

  7) zamienia i prawidłowo stosuje jednostki masy: gram, dekagram, kilogram, tona ."
"
  Dodawanie i odejmowanie

  ułamków dziesiętnych";"
  V. Działania na ułamkach zwykłych i dziesiętnych. Uczeń:

  2) dodaje, odejmuje (…) ułamki dziesiętne w pamięci (w przykładach najprostszych), pisemnie (w przypadku gdy ułamki mają raze m co

  najwyżej 6 cyfr różnych od zera) i za pomocą kalkulatora (w przykładach trudnych);

  3) porównuje ułam ki z wykorzystaniem ich różnicy.

  XIV. Zadania tekstowe. Uczeń:"

;"
  1) czyta ze zrozumieniem tekst zawierający informacje liczbowe;

  5) do rozwiązywania zadań osadzonych w kontekście praktycznym stosuje poznaną wiedzę z zakresu arytmetyki (…) oraz nabyte

  umiejętności rachunkowe, a także własne poprawne metody ."
"
  Mnożenie ułamków

  dziesiętnych przez 10, 100,

  1000 …";"
  V. Działania na ułamkach zwykłych i dziesiętnych. Uczeń:

  2) (…) mnoży (…) ułamki dziesiętne w pamięci (w przykładach najprostszych), (…).

  XIV. Zadania tekstowe. Uczeń:

  1) czyta ze zrozumieniem tekst zawierający informacje liczbowe;

  5) do rozwiązywania zadań osadzonych w kontekście praktycznym stosuje poznaną wiedzę z zakresu arytmetyki (…) oraz nabyte

  umiejętności rachunkowe, a także własne poprawne metody ."
"
  Dzielenie ułamków

  dziesiętnych przez 10, 100,

  1000 …";"
  V. Działania na ułamkach zwykłych i dziesiętnych. Uczeń:

  2) (…) dzieli ułamki dziesiętne w pamięci ( w przykładach najprostszych), (…).

  XIV. Zadania tekstowe. Uczeń:

  1) czyta ze zrozumieniem tekst zawierający informacje liczbowe;

  5) do rozwiązywania zadań osadzonych w kontekście praktycznym stosuje poznaną wiedzę z zakresu arytmetyki (…) oraz nabyte

  umiejętności rachunkowe, a także własne poprawne metody ."
"
  Mnożenie ułamków

  dziesiętnych przez liczby

  naturalne";"
  V. Działania na ułamkach zwykłych i dziesiętnych. Uczeń:

  2) (…) mnoży (…) ułamki dziesiętne w pamięci (w przykładach najprostszych), pisemnie (w przypadku gdy ułamki mają razem co najwyżej 6

  cyfr różnych od zera) i za pomocą kalkulatora (w przykładach trudnych) .

  XIV. Zadania tekstowe. Uczeń:

  1) czyta ze zrozumieniem tekst zawierający informacje liczbowe;

  5) do rozwiązywania zadań osadzonych w kontekście praktycznym stosuje poznaną wiedzę z zakresu arytmetyki (…) oraz nabyte

  umiejętności rachunkowe, a także własne poprawne metody ."
"
  Mnożenie ułamków

  dziesiętnych";"
  V. Działania na ułamkach zwykłych i dziesiętnych. Uczeń:

  2) dodaje, odejmuje, mnoży (…) ułamki dziesiętne w pamięci (w przykładach najprostszych), pisemnie (w przypadku gdy ułamki mają

  razem co najwyżej 6 cyfr różnych od zera) i za pomocą kalkulatora (w przykładach trudniejszych);

  4) oblicza ułamek danej liczby całkowitej;

  5) oblicza kwadraty i sześcia ny ułamków (…) dziesiętnych (…).

  XIV. Zadania tekstowe. Uczeń:

  1) czyta ze zrozumieniem tekst zawierający informacje liczbowe;

  5) do rozwiązywania zadań osadzonych w kontekście praktycznym stosuje poznaną wiedzę z zakresu arytmetyki (… ) oraz nabyte

  umiejętności rachunkowe, a także własne poprawne metody ."
"
  Dzielenie ułamków

  dziesiętnych przez liczby

  naturalne";"
  V. Działania na ułamkach zwykłych i dziesiętnych. Uczeń:

  2) (…) dzieli ułamki dziesiętne w pamięci (w przykładach najprostszych), pisemnie (w przypadku gdy ułamki mają razem co najwyżej 6 cyfr

  różnych od zera) i za pomocą kalkulatora (w przykładach trudnych) .

  XIV. Zadania tekstowe. Uczeń:

  1) czyta ze zrozumieniem tekst zawierający informacje liczbowe;"

;"
  5) do rozwiązywania zadań osadzonych w kontekście praktycznym stosuje poznaną wiedzę z zakresu arytmetyki (…) oraz nabyte

  umiejętności rachunkowe, a także własne poprawne metody ."
"
  Dzielenie ułamków

  dziesiętnych";"
  V. Działania na ułamkach zwykłych i dziesiętnych. Uczeń:

  2) dodaje, odejmuje mnoży i dzieli ułamki dziesiętne w pamięci (w przykładach najprostszych), pisemnie (w przypadku gdy ułamki mają

  razem co najwyżej 6 cyfr różnych od zera) i za pomocą kalkulator a (w przykładach trudniejszych).

  XIV. Zadania tekstowe. Uczeń:

  1) czyt a ze zrozumieniem tekst zawierający informacje liczbowe;

  5) do rozwiązywania zadań osadzonych w kontekście praktycznym stosuje poznaną wiedzę z zakresu arytmetyki (…) oraz nabyte

  umiejętności rachunkowe, a także własne poprawne metody ."
"
  Szacowanie wynikó w

  działań na ułamkach

  dziesiętnych";"
  II. Działania na liczbach naturalnych. Uczeń:

  10) szacuje wyniki działań.

  IV. Ułamki zwykłe i dziesiętne. Uczeń:

  11) w sytuacjach praktycznych zaokrągla ułamki dziesiętne do co najwyżej drugiego miejsca po prz ecinku (zł, gr, m, cm, mm itp.).

  V. Działania na ułamkach zwykłych i dziesiętnych. Uczeń:

  6) wykonuje działania na ułamkach dziesiętnych, używając własnych, poprawnych strategii lub za pomocą kalkulatora ."
"
  Działania na ułamkach

  zwykłych i dziesiętnych";"
  IV. Ułamki zwykłe i dziesiętne. Uczeń:

  8) zapisuje ułamki dziesiętne skończone w postaci ułamków zwykłych;

  9) zamienia ułamki zwykłe o mianownikach będących dzielnikami liczb 10, 100, 1000 itd. na ułamki dziesiętne skończone dowolna metodą

  (przez rozszerza nie lub skracanie ułamków zwykłych, dzielenie licznika przez mianownik w pamięci, pise mnie lub za pomocą kalkulatora).

  V. Działania na ułamkach zwykłych i dziesiętnych. Uczeń:

  3) porównuje ułamki z wykorzystaniem ich różnicy;

  6) wykonuje działania na ułamkach dziesiętnych, używając własnych, poprawnych strategii lub za pomocą kalkulatora;

  7) oblicza wartości wyrażeń arytmetycznych, wymagających stosowania działań arytmetycznych (…) liczbach zapisanych za pomocą

  ułamków zwykłych, liczb mieszanych i ułam ków dziesiętnych (…) z uwzględnieniem reguł dotyczących kolejności wykonywania działań, (…) ."
"
  Procenty a ułamki*";"
  XII. Obliczenia praktyczne. Uczeń:

  1) interpretuje 100% danej wielkości jako całość, 50% - jako połowę, 25% - jako jedną czwartą, 10% - jako jedną dziesiątą, a 1% - jako jedną

  setną część danej wielkości liczbowej.

  2) w przypadkach osadzonych w kontekście praktycznym oblicza procent danej wielkości w stopniu trudności typu 50%, 20%,10% ."
"
  DZIAŁ 6. POLA FIGUR";
"
  Pole prostokąta i kwadratu.";"
  XI. Obliczenia w geometrii. Uczeń:

  3) oblicza pola: (…) kwadratu, prostokąta (…) przedstawionych na rysunku oraz w sytuacjach praktycznych, w tym także dla dany ch

  wymagających zamiany jednostek;

  4) stosuje jednostki pola: mm 2, cm 2, dm2, m 2, km 2, ar, hektar (bez zamiany jednostek w trakcie obliczeń);

  5) oblicza pola wielokątów metodą podziału na mniejsze wielokąty lub uzupełniania do większych wielokątów (…) .

  XIV. Zadania tekstowe. Uczeń:

  2) wykonuje wstępne czynności ułatwiające rozwiązanie zadania, w tym rysunek pomocniczy lub wygodne dla niego zapisanie informacji i

  danych z treści zadania;"

;"
  5) do rozwiązywania zadań osadzonych w kontekście praktycznym stosuje poznaną wiedzę z zakresu arytmetyki i geometrii oraz n abyte

  umiejętności rachunkowe, a także własne poprawne metody ."
"
  Zależności między

  jednostkami pola";"
  XI. Obliczenia w geometrii. Uczeń:

  3) oblicza pola: (…) kwadratu, prostokąta (…) w sytuacjach praktycznych, w tym także dla danych wymagających zamiany jednoste k;

  4) stosuje jednostki pola: mm 2, cm 2, dm2, m 2, km 2, ar, hektar (bez zamian y jednostek w trakcie obliczeń).

  XIV. Zadania tekstowe. Uczeń:

  2) wykonuje wstępne czynności ułatwiające rozwiązanie zadania, w tym rysunek pomocniczy lub wygodne dla niego zapisanie info rmacji i

  danych z treści za dania;

  5) do rozwiązywania zadań osadzonych w kontekście praktycznym stosuje poznaną wiedzę z zakresu arytmetyki i geometrii oraz n abyte

  umiejętności rachunkowe, a także własne poprawne metody ."
"
  Pole równoległoboku";"
  XI. Obliczenia w geometrii. Uczeń:

  3) oblicza pola: (…) kwadratu, prostokąta, rombu, równoległoboku (…) przedstawionych na rysunku oraz w sytuacjach praktycznych, w tym

  także dla danych wymagających zamiany jednostek;

  4) stosuje jednostki pola: mm 2, cm 2, dm2, m 2, km 2, ar, hektar (bez zamiany j ednostek w trakcie obliczeń);

  5) oblicza pola wielokątów metodą podziału na mniejsze wielokąty lub uzupełniania do większych wielokątów (…) ."
"
  Pole rombu";"
  XI. Obliczenia w geometrii. Uczeń:

  3) oblicza pola: (…) kwadratu, prostokąta , rombu (…) przedstawionych na rysunku oraz w sytuacjach praktycznych, w tym także dla danych

  wymagających zamiany jednostek;

  4) stosuje jednostki pola: mm 2, cm 2, dm2, m 2, km 2, ar, hektar (bez zamiany jednostek w trakcie obliczeń) ."
"
  Pole trójkąta";"
  XI. Obliczenia w geometrii. Uczeń:

  3) oblicza pola: (…) trójkąta (…) przedstawionego na rysunku oraz w sytuacjach praktycznych, w tym także dla danych wymagający ch

  zamiany jednostek;

  4) stosuje jednostki pola: mm 2, cm 2, dm2, m 2, km 2, ar, hektar (bez zamiany jednostek w trakcie obliczeń);

  5) oblicza pola wielokątów metodą podziału na mniejsze wielokąty lub uzupełniania do większych wielokątów (… )."
"
  Pole trapezu";"
  XI. Obliczenia w geometrii. Uczeń:

  3) oblicza pola: trójkąta, kwadratu, prostokąta, rombu, równoległoboku trapezu, przedstawionego na rysunku oraz w sytuacjach

  praktycznych, w tym także dla danych wymagających zamiany jednostek;

  4) stosuje jednostki pola: mm 2, cm 2, dm2, m 2, km 2, ar, hektar (bez zamiany jednostek w trakcie obliczeń);

  5) oblicza pola wielokątów metodą podziału na mniejsze wielokąty lub uzupełniania do większych wielokątów (…) ."
"
  Pola wielokątów -

  podsumowanie";"
  XI. Obliczenia w geometrii . Uczeń:

  3) oblicza pola: trójkąta, kwadratu, prostokąta, rombu, równoległoboku, trapezu, przedstawionych na rysunku oraz w sytuacjach

  praktycznych, w tym także dla danych wymagających zamiany jednostek;

  4) stosuje jednostki pola: mm 2 , cm 2 , dm2 , m2 , km 2 , ar, hektar (bez zamiany jednostek w trakcie obliczeń);

  5) oblicza pola wielokątów metodą podziału na mniejsze wielokąty lub uzupełniania do większych wielokątów (…) ."
"
  DZIAŁ 7. LICZBY CAŁKOWITE";
"
  Liczby ujemne";"
  III. Liczby całkowite. Uczeń:

  1) podaje praktyczne przykłady stosowania liczb ujemnych;"

