"
	TEMAT";"
	WYMAGANIA SZCZEGÓŁOWE Z PODSTAWY PROGRAMOWEJ DLA KLASY IV -VI"
"
  DZIAŁ 1. LICZBY I DZIAŁANIA";
"
  Zapisywanie i

  porównywanie liczb";"
  I. Liczby naturalne w dziesiątkowym układzie pozycyjnym. Uczeń:

  1) zapisuje i odczytuje liczby naturalne wielocyfrowe;

  2) interpretuje liczby naturalne na osi liczbowej;

  3) porównuje liczby naturalne ."
"
  Dodawanie i odejmowanie

  w p amięci";"
  II. Działania na liczbach naturalnych. Uczeń:

  1) dodaje i odejmuje w pamięci liczby naturalne dwucyfrowe lub większe, liczbę jednocyfrową dodaje do dowolnej liczby natural nej i

  odejmuje od dowolnej liczby naturalnej;

  4) stosuje wygodne dla niego sposoby ułatwiające obliczenia, w tym przemienność i łączność dodawania (…);

  5) porównuje liczby naturalne z wykorzystaniem ich różnicy (…) ."
"
  Mnożenie i dzielenie w

  pamięci";"
  II. Działania na liczbach naturalnych. Uczeń:

  3) mnoży i dzieli liczbę naturalną przez liczbę naturalną jednocyfrową, dwucyfrową lub trzycyfrową (…), w pamięci (w najprostszych

  przykładach) (…);

  4) stosuje wygodne dla niego sposoby ułatwiające obliczenia, w tym przemienność i łączność dodawania i mnożenia oraz rozdzielność

  mnożenia względem dodawania;

  5) porównuje liczby naturalne z wykorzystaniem ich różnicy lub ilorazu;

  8) oblicza kwadraty i sześciany liczb naturalnych;

  15) wyznacza wynik dzielenia z resztą liczby a przez liczbę b i zapisuje liczbę a w postaci	=	∙	+  , gdzie 0 ≤	<  ."
"
  Kolejność działań";"
  II. Działania na liczbach naturalnych. Uczeń:

  4) stosuje wygodne dla siebie sposoby ułatwiające obliczenia, w tym przemienność i łączność dodawania i mnożenia oraz rozdzie lność

  mnożenia względem dodawania;

  9) stosuje reguły dotyczące kolejności wykonywania działań ."
"
  Szacowanie wyników

  działań";"
  II. Działania na liczbach naturalnych. Uczeń:

  10) szacuje wyniki działań ."
"
  Działania pisemne –

  dodawanie i odejmowanie";"
  II. Działania na liczbach naturalnych. Uczeń:

  2) dodaje i odejmuje liczby naturalne wielocyfrowe sposobem pisemnym i za pomocą kalkulatora ."
"
  Działania pisemne –

  mnożenie";"
  II. Działania na liczbach naturalnych. Uczeń:

  3) mnoży (…) liczbę naturalną przez liczbę naturalną jednocyfrową, dwucyfrową lub trzycyfrową sposobem pisemnym, w pamięci (w

  najprostszych przykładach) i za pomocą kalkulatora (w trudniejszych przykładach) ."
"
  Działania pisemne –

  dzielenie";"
  II. Działania na liczbach naturalnych. Uczeń:

  3) mno ży i dzieli liczbę naturalną przez liczbę naturalną jednocyfrową, dwucyfrową lub trzycyfrową sposobem pisemnym, w pamięci (w

  najprostszych przykładach) i za pomocą kalkulatora (w trudniejszych przykładach) ."

"
  Zadania tekstowe";"
  II. Działania na liczbach naturalnych. Uczeń:

  1 dodaje i odejmuje w pamięci liczby naturalne dwucyfrowe lub większe, liczbę jednocyfrową dodaje do dowolnej liczby naturaln ej i

  odejmuje od dowolnej liczby naturalnej;

  2) dodaje i odejmuje liczby naturalne wielocyfrowe sposobem pisemnym i za pomocą kalkulatora;

  3) mnoży i dzieli liczbę naturalną przez liczbę naturalną jednocyfrową, dwucyfrową lub trzycyfrową sposobem pisemnym, w pamię ci (w

  najprostszych przykładach) i za pomocą kalkulatora (w trudniejszych p rzykładach);

  6) porównuje liczby naturalne z wykorzystaniem ich różnicy lu b ilorazu.

  XIV. Zadania tekstowe. Uczeń:

  1) czyta ze zrozumieniem tekst zawierający informacje liczbowe;

  2) wykonuje wstępne czynności ułatwiające rozwiązanie zadania, w tym rysunek pomocniczy lub wygodne dla niego zapisanie informacji i

  danych z treści zadania;

  3) dostrzega zależności między podanymi informacjami;

  4) dzieli rozwiązanie zadania na etapy, stosując własne, poprawne, wygodne dla niego strategie rozwiązania;

  5) do rozwiązywania zadań osadzonych w kontekście praktycznym stosuje poznaną wiedzę z zakresu arytmetyki i geometrii oraz nabyte

  umiejętności rachunkowe, a także własne poprawne metody;

  6)weryfikuje wynik zadania tekstowego, oceniając sensowność rozwiązania np. poprzez szacowanie, sprawdzanie wszystkich warunków

  zadania, ocenianie rzędu wielkości otrzymanego wyniku;

  7) układa zadania i łamigłówki, rozwiązuje je; stawia nowe pytania związane z sytuacją w rozwiązanym zadaniu."
"
  DZIAŁ 2. WŁASNOŚCI LICZB NATURALNYCH";
"
  Wielokrotności";"
  II. Działania na liczbach naturalnych. Uczeń:

  3) mnoży i dzieli liczbę naturalną przez liczbę naturalną jednocyfrową, dwucyfrową lub trzycyfrową sposobem pisemnym, w pamię ci (w

  najprostszych przykładach) i za pomocą kalkulatora (w trudniejszych przykładach);

  11) znajduje (…) najmniejszą wspólną wielokrotność (NWW) dwóch liczb naturalnych co najwyżej trzycyfrowych (…);

  12) rozpoznaje wielokrotności danej liczby (…);

  13) odpowiada na pytania dotyczące liczebno ści zbiorów różnych rodzajów liczb z pewnego niewielkiego zakresu ( np. od 1 do 200 czy od

  100 do 1000 ), o ile liczba w odpowiedzi jest na tyle mała, że wszystkie rozważane liczby uczeń może wypisać ."
"
  Dzielniki";"
  II. Działania na liczbach naturalnych. Uczeń:

  3) mnoży i dzieli liczbę naturalną przez liczbę naturalną jednocyfrową, dwucyfrową lub trzycyfrową w pamięci (w najprostszych

  przykładach) i za pomocą kalkulatora (w trudniejszych przykładach);

  11) znajduje największy wspólny dzielnik (NWD) (…) dwóch licz b naturalnych co najwyżej trzycyfrowych;

  13) odpowiada na pytania dotyczące liczebności zbiorów różnych rodzajów liczb z pewnego niewielkiego zakresu (np. od 1 do 200 czy od

  100 do 1000), o ile liczba w odpowiedzi jest na tyle mała, że wszystkie rozważane liczby uczeń może wypisać ."
"
  Cechy podzielności liczb";"
  II. Działania na liczbach naturalnych. Uczeń:

  6) rozpoznaje liczby podzielne przez 2, 3, 4, 5, 9, 10, 100;

  13) odpowiada na pytania dotyczące liczebności zbiorów różnych rodzajów liczb wśród liczb z pewnego niewielkiego zakresu ( np. od 1 do

  200 czy od 100 do 1000 ), o ile liczba w odpowiedzi jest na tyle mała, że wszystkie rozważane liczby uczeń może wypisać ."

"
  Liczby pierwsze i liczby

  złożone";"
  II. Działania na liczbach naturalnych. Uczeń:

  6) rozpoznaje liczby podzielne przez 2, 3, 4, 5, 9, 10, 100;

  7) rozpo z naje liczbę złożoną, gdy jest ona jednocyfrowa lub dwucyfrowa, a także gdy na istnienie dzielnika właściwego wskazuje cecha

  podzielności;

  12) rozpoznaje wielokrotności danej liczby, kwadraty, sześcian y, liczby pierwsze, liczby złożone ."
"
  Rozkład liczby na czynniki

  pierwsze";"
  II. Działania na liczbach naturalnych. Uczeń:

  14) rozkłada liczby naturalne na czynniki pierwsze, co najwyżej trzycyfrowe, w przypadku gdy co najwyżej jeden z tych czynnik ów jest

  liczbą większą niż 10 ."
"
  Obliczanie NWD i NWW";"
  II. Działania na liczbach naturalnych. Uczeń:

  11) znajduje największy wspólny dzielnik (NWD) i najmniejszą wspólną wielokrotność (NWW) dwóch liczb naturalnych co najwyżej

  trzycyfrowych metodą rozkładu na czynnik i."
"
  DZIAŁ 3. UŁAMKI ZWYKLE";
"
  Ułamki zwykłe i liczby

  mieszane";"
  IV. Ułamki zwykłe i dziesiętne. Uczeń:

  1) opisuje część danej całości za pomocą ułamka;

  5) przedstawia ułamki niewłaściwe w postaci liczby mieszanej, a liczbę mieszaną w postaci ułamka niewłaściwego;

  7) zaznacza ułamki zwykłe (…) na osi liczbowej oraz odczytuje ułamki zwykłe (…) zaznaczone na osi liczbowej ."
"
  Ułamek jako iloraz";"
  IV. Ułamki zwykłe i dziesiętne. Uczeń:

  2) przedstawia ułamek jako iloraz liczb naturalnych, a iloraz liczb naturalnych jako ułamek zwykły ."
"
  Skracanie i rozszerzanie

  ułamków";"
  IV. Ułamki zwykłe i dziesiętne. Uczeń:

  3) skraca i rozszerza ułamki zwykłe;

  4) sprowadza ułamki zwykłe do wspólnego mianownika ."
"
  Porównywanie ułamków";"
  IV. Ułamki zwykłe i dziesiętne. Uczeń:

  4) sprowadza ułamki zwykłe do wspólnego mianownika;

  12) porównuje ułamki ( zwykłe (…)) ."
"
  Dodawanie i odejmowanie

  ułamków o jednakowych

  mianownikach";"
  V. Działania na ułamkach zwykłych i dziesiętnych. Uczeń:

  1) dodaje, odejmuje (…) ułamki zwykłe o mianownikach jedno - lub dwucyfrowych, a także liczby mieszane ."
"
  Dodawanie i odejmowanie

  ułamków o różnych

  mianownikach";"
  IV. Ułamki zwykłe i dziesiętne. Uczeń:

  4) sprowadza ułamki zwykłe do wspólnego mianownika.

  V. Działania na ułamkach zwykłych i dziesiętnych. Uczeń:

  1) dodaje, odejmuje (…) ułamki zwykłe o mianownikach jedno - lub dwucyfrowych, a także liczby mieszane ."
"
  Mnożenie ułamków przez

  liczby naturalne";"
  IV. Ułamki zwykłe i dziesiętne. Uczeń:

  5) przedstawia ułamki niewłaściwe w postaci liczby mieszanej, a liczbę mieszaną w postaci ułamka niewłaściwego.

  V. Działania na ułamkach zwykłych i dziesiętnych. Uczeń:

  1) dodaje, odejmuje, mnoży (…) ułamki zwykłe o mianownikach jedno - lub dwucyfrowych, a także liczby mieszane ."

"
  Ułamek liczby naturalnej";"
  IV. Ułamki zwykłe i dziesiętne. Uczeń:

  13) oblicza liczbę, której część jest podana (wyznacza całość, której część określono za pomocą ułamka) .

  V. Działania na ułamkach zwykłych i dziesiętnych. Uczeń:

  4) oblicza ułamek danej liczby całkowitej.

  XIV. Zadania tekstowe. Uczeń:

  1) czyta ze zrozumieniem tekst zawierający informacje liczbowe;

  2) wykonuje wstępne czynności ułatwiające rozwiązanie zadania, w tym rysunek pomocniczy lub wygodne dla niego zapisanie info rmacji i

  danych z treści zadania;

  3) dostrzega zależności między podanymi informacjami;

  5) do rozwiązywania zadań osadzonych w kontekście praktycznym stosuje poznaną wiedzę z zakresu arytmetyki (…) oraz nabyte

  umiejętności rachunkowe, a także własne poprawne metody ."
"
  Mnożenie ułamków";"
  V. Działania na ułamkach zwykłych i dziesiętnych. Uczeń:

  1) dodaje, odejmuje, mnoży (…) ułamki zwykłe o mianownikach jedno - lub dwucyfrowych, a także liczby mieszane;

  5) oblicza kwadraty i sześciany ułamków zwykłych (…) oraz liczb mieszanych;

  7) oblicza wartości wyrażeń arytmetycznych, wymagających stosowania działań arytmetycznych (…) na liczbach zapisanych za pomocą

  ułamków zwykłych, liczb mieszanych (…), z uwzględnieniem reguł dotyczących kolejności wykonywania działań, (…) ."
