"
  JEDNOSTKA ORGANIZACYJNA / TEMAT";;"
	CELE PODSTAWOWE";"
	CELE PONADPODSTAWOWE"
15;"
  Kwadraty i sześciany liczb";"
  · zna pojęcie potęgi (P)

  · zna zapis potęgi (K)";"
  · zna związek potęgi z iloczynem (R)

  · umie obliczać kwadraty i sześciany liczb (R)

  · umie zapisywać liczby w postaci potęg (D)

  · umie rozwiązywać zadania tekstowe z zastosowaniem potęg (D–W )"
"
	16 - 17";"
  Zadania tekstowe, cz. 1";"
  · umie rozwiązywać jednodziałaniowe zadania tekstowe (P)";"
  · umie rozwiązywać trudniejsze zadania tekstowe (R–W )"
"
	1 8";"
  Czytanie tekstów.

  Analizowanie informacji,

  cz. 1";"
  · umie czytać ze zrozumieniem zadania tekstowe (P)

  · umie odpowiadać na pytania zawarte w prostym zadaniu tekstowym (P)";"
  · umie odpowiadać na pytania zawarte w trudniejszym zadaniu tekstowym (R)"
"
	1 9 - 20";"
  Czytanie tekstów.

  Analizowanie informacji,

  cz. 2";"
  · umie czytać tekst ze zrozumieniem (P)

  · umie odpowiadać na pytania zawarte w tekście (P)";"
  · umie układać pytania do podanych informacji (R)

  · umie ustalać na podstawie podanych informacji, na które pytania nie można

  odpowiedzieć (R)"
"
	21 - 22";"
  Zadania tekstowe, cz. 2";"
  · umie porządkować podane w zadaniu informacje (P)

  · umie zapisać rozwiązanie zadania tekstowego (P)

  · rozumie potrzebę porządkowania podanych informacji (P)";"
  · umie rozwiązywać wielodziałaniowe zadania tekstowe (R)

  · umie rozwiązywać nietypowe zadania tekstowe (D –W)"
"
	2 3 - 2 4";"
  Kolejność wykonywania

  działań";"
  · zna kolejność wykonywania działań, gdy nie występują nawiasy (K)

  · zna kolejność wykonywania działań, gdy występują nawiasy (P)

  · umie obliczać wartości dwudziałaniowych wyrażeń arytmetycznych zapisanych bez

  użycia nawiasów (K)

  · umie obliczać wartości dwudziałaniowych wyrażeń arytmetycznych zapisanych z

  użyciem nawiasów (K)";"
  · zna kolejność wykonywania działań, gdy występują nawiasy i potęgi (R)

  · umie obliczać wartości wielodziałaniowych wyrażeń arytmetycznych z

  uwzględnieniem kolejności działań, nawiasów i potęg (R)

  · umie zapisywać jednocyfrowe liczby za pomocą danej cyf ry, znaków działań

  i nawiasów (W)

  · umie tworzyć wyrażenia arytmetyczne na podstawie opisu i obliczać ich

  wartości (R –D)"
"
	2 5";"
  Oś liczbowa";"
  · zna pojęcie osi liczbowej (K)

  · rozumie potrzebę dostosowania jednostki osi liczbowej do zaznaczanych liczb (K)

  · umie przedstawiać liczby naturalne na osi liczbowej (K)

  · umie odczytywać współrzędne punktów na osi liczbowej z zaznaczoną jednostką (K –P)";"
  · umie odczytywać współrzędne punktów na osi liczbowej (R –D)

  · umie ustalać jednostkę osi liczbowej na podstawie dan ych o współrzędnych

  punktów (R–D)"
26;"
  Powtórzenie";;
"
	2 7 - 2 8";"
  P raca klasowa i jej

  omówienie";;
"
	DZIAŁ 2. SYSTEMY ZAPISYWANIA LICZB ( 20 h)";;;
"
	2 9 -- 30";"
  System dziesiątkowy";"
  · zna dziesiątkowy system pozycyjny (K)

  · zna pojęcie cyfry (K)

  · zna różnicę między cyfrą a liczbą (K)

  · umie zapisywać liczbę za pomocą cyfr (K)

  · umie czytać liczby zapisane cyframi (K)

  · umie zapisywać liczby słowami (K –P)";"
  · umie zapisywać liczby, których cyfry spełniają podane warunki (R –W )

  · umie określać liczebność zbioru spełniającego po dane warunki (R–W)"
31;"
  Porównywanie liczb

  naturalnych";"
  · zna symbole nierówności < i > (K)

  · rozumie znaczenie położenia cyfry w liczbie (P)

  · zna związek pomiędzy liczbą cyfr a wielkością liczby (P)

  · umie porównywać liczby (K)

  · umie porządkować liczby w skończonym zbiorze (P)";"
  · umie zapisywać liczby, których cyfry spełniają podane warunki (W)

  · umie określać liczebność zbioru spełniającego podane warunki (R –W)"
"
	3 2 - 3 3";"
  Rachunki pamięciowe na

  dużych liczbach";"
  · zna algorytm dodawania i odejmowania dziesiątkami, setkami, tysiącami (K - P)

  · zna algorytm mnożenia i dzielenia liczb z zerami na końcu (P)

  · rozumie jakie są korzyści płynące z umiejętności pamięciowego wykonywania działań

  na dużych liczbach (P)

  · umie dodawać i odejmować liczby z zerami na końcu o jednakowej liczbie zer (K) oraz

  o różnej liczbie zer (P)

  · umie mnożyć i dzielić przez 10,100,1000 (K)

  · umie mnożyć i dzielić przez liczby z zerami na końcu (P)";"
  · umie porównywać sumy i różnice, nie wykonując działań (R)"
"
	3 4 - 3 5";"
  Jednostki monetarne –

  złote i grosze";"
  · zna zależność pomiędzy złotym a groszem (K)

  · zna nominały monet i banknotów używanych w Polsce (K)";"
  · umie rozwiązywać trudniejsze zadania dotyczące obliczeń pieniężnych (R –W)"

;;"
  · rozumie możliwość stosowania monet i banknotów o różnych nominałach do

  uzyskania jednakowych kwot (P)

  · umie zamieniać złote na grosze i odwrotnie (K)

  · umie zamieniać grosze na złote i grosze (P)

  · umie porównywać i porządkować kwoty podane w tych samych jednostkach (K) lub

  w różnych jednostkach (P)

  · umie obliczać, ile złotych wynosi kwota złożona z kilku monet lub banknotów

  o jednakow ych nominałach (P)

  · umie obliczać koszt kilku kilogramów lub połowy kilograma produktu o podanej cenie

  (P)

  · umie obliczać łączny koszt kilu produktów o różnych cenach (P)

  · umie obliczać resztę (P)";
"
	3 6 - 3 7";"
  Jednostki długości";"
  · zna zależności pomiędzy podstawowymi jednostkami długości (K)

  · zna możliwość stosowania różnorodnych jednostek długości (P)

  · umie zamieniać długości wyrażane w różnych jednostkach (K)

  · umie zapisywać wyrażenia dwumianowane przy pomocy jednej jednostki (P)

  · umie rozwiązywać zadania tekstowe związane z jednostkami długości (P)";"
  · umie porównywać odległości wyrażane w różnych jednostkach (R)

  · umie obliczać sumy i różnice odległości zapisanych w postaci wyrażeń

  dwumianowanych (R)

  · umie rozwiązywać zadania tekstowe związane z jednostkami długości

  w trudniejszych sytuacjach (R–W)"
"
	3 8 - 3 9";"
  Jednostki masy";"
  · zna zależności pomiędzy podstawowymi jednostkami masy (K)

  · zna możliwość stosowania różnorodnych jednostek masy (P)

  · umie zamieniać masy wyrażane w różnych jednostkach (K)

  · umie rozwiązywać zadania tekstowe związane z jednostkami masy (P)";"
  · zna pojęcia: masa brutto, netto, tara (R)

  · umie obliczać łączną masę produktów wyrażoną w różnych jednostkach (R–D)

  · umie porównywać masy produktów wyrażane w różnych jednostkach (R)

  · umie zapisywać wyrażenia dwumianowane przy pomocy jednej jednostki (R –

  D)

  · umie rozwiązywać zadania tekstowe związane pojęciami masa brutto, netto

  i tara (R)

  · umie rozwiązywać zadania tekstowe związane z zastosowaniem jednostek

  masy (W)"
"
	40 - 41";"
  System rzymski";"
  · zna cyfry rzymskie pozwalające zapisać liczby nie większe niż 30 (K)

  · zna rzymski system zapisywania liczb (P)

  · umie przedstawiać za pomocą znaków rzymskich liczby nie w iększe niż 30 (K)

  · umie odczytywać liczby zapisane za pomocą znaków rzymskich nie większe niż 30 (K)";"
  · zna cyfry rzymskie pozwalające zapisać liczby większe niż 30 (D - W)

  · umie przedstawiać za pomocą znaków rzymskich liczby większe niż 30 (D –W)

  · umie odczytywać liczby większe niż 30 zapisane za pomocą znaków rzymskich

  (D–W)

  · umie zapisywać w systemie rzymskim liczby największe lub najmniejsze,

  używając podanych znaków (W)"
"
	42 - 43";"
  Z kalendarzem za pan brat";"
  · zna podział roku na kwartały, miesiące i dni (K - P)

  · zna liczby dni w miesiącach (P)

  · zna pojęcie wieku (P)

  · zna pojęcie roku zwykłego i roku przestępnego oraz różnice między nimi (P)

  · zna nazwy dni tygodnia (K)

  · zna różne sposoby zapisywania dat (P)

  · umie zapisywać daty (K)

  · umie stosować liczby rzymskie do 30 do zapisywania dat (K –P)

  · umie obliczać upływu czasu związany z kalendarzem (P)

  · umie zapisywać daty po upływie określonego czasu (P)";"
  · umie obliczać upływu czasu związany z kalendarzem w trudniejszych

  sytuacjach (R)

  · umie zapisywać daty po upływie określonego czasu w trudniejszych

  sytuacjach (R)

  · umie wykorzystywa ć obliczenia upływu czasu w praktycznych sytuacjach np.:

  wyznaczanie dnia tygodnia po upływie określonego czasu (R –W)"
"
	44 - 45";"
  Godziny na zegarach";"
  · zna zależności pomiędzy jednostkami czasu (P)

  · zna różne sposoby przedstawiania upływu czasu (P)

  · umie posługiwać się zegarami wskazówkowymi i elektronicznymi (K)

  · umie zapisywać cyframi podane słownie godziny (K –P)

  · umie wyrażać upływ czasu w różnych jednostkach (K –P)

  · umie obliczać upływ czasu związany z zegarem (P)";"
  · umie rozwiązywać nietypowe zadania tekstowe związane z upływem czasu

  (R–W )"
46;"
  Powtórzenie";;
"
	4 7 - 4 8";"
  P raca klasowa i jej

  omówienie";;

"
	DZIAŁ 3. DZIAŁANIA PISEMNE (16 h)";;;
"
	4 9 - 50";"
  Dodawanie pisemne";"
  · zna algorytm dodawania pisemnego (K)

  · umie dodawać pisemnie liczby bez przekraczania progu dziesiątkowego

  i z przekraczaniem jednego progu dziesiątkowego (K)

  · umie dodawać pisemnie liczby z przekraczaniem kolejnych progów dziesiątkowych (P)

  · umie obliczać sumy liczb opisanych słownie (P)

  · umie rozwiązywać zadania tekstowe z zastosowaniem dodawania pisemnego (P)";"
  · umie rozwiązywać kryptarytmy (W)

  · umie rozwiązywać trudniejsze zadania tekstowe z zastosowaniem dodawania

  pisemnego (D–W)"
"
	51 - 52";"
  Odejmowanie pisemne";"
  · zna algorytm odejmowania pisemnego (K)

  · umie porównywać różnicowo (P)

  · umie odejmować pisemnie liczby bez przekraczania progu dziesiątkowego

  i z przekraczaniem jednego progu dziesiątkowego (K)

  · umie odejmować pisemnie liczby z przekraczaniem kolejnych progów dziesiątkowych

  (P)

  · umie sprawdzać poprawność odejmowania pisemnego (P)

  · umie obliczać różnice liczb opisanych słownie (P)

  · umie obliczać odjemnik, mając dane różnicę i odjemną (P)

  · umie obliczać jeden ze składników, maj ąc dane sumę i drugi składnik (P)

  · umie rozwiązywać zadania tekstowe z zastosowaniem odejmowania pisemnego (P)";"
  · umie rozwiązywać kryptarytmy (W)

  · umie rozwiązywać trudniejsze zadania tekstowe z zastosowaniem

  odejmowania pisemnego (D –W)"
"
	53 - 54";"
  Mnożenie pisemne przez

  liczby jednocyfrowe";"
  · zna algorytm mnożenia pisemnego przez liczby jednocyfrowe (K)

  · umie porównywać ilorazowo (P)

  · umie mnożyć pisemnie liczby dwucyfrowe przez jednocyfrowe (K)

  · umie mnożyć pisemnie liczby wielocyfrowe przez jednocyfrowe (P)

  · umie powiększać liczby n razy (K –P)

  · umie rozwiązywać zadania tekstowe z zastosowaniem mnożenia pisemnego (P)";"
  · umie rozwiązywać zadania tekstowe z zastosowaniem mnożenia pisemnego

  (D–W)"
55;"
  Mnożenie przez liczby

  z zerami na końcu";"
  · zna algorytm mnożenia pisemnego przez liczby zakończone zerami (P)

  · umie mnożyć pisemnie przez liczby zakończone zerami (P),

  · umie rozwiązywać zadania tekstowe z zastosowaniem mnożenia pisemnego (P)";"
  · umie rozwiązywać trudniejsze zadania tekstowe z zastosowaniem mnożenia

  pisemnego (D–W)"
"
	56 - 57";"
  Mnożenie pisemne przez

  liczby wielocyfrowe";"
  · zna algorytm mnożenia pisemnego liczb wielocyfrowych (P)

  · umie mnożyć pisemnie przez liczby dwucyfrowe (P)

  · umie rozwiązywać zadania tekstowe z zastosowaniem mnożenia pisemnego (P)";"
  · umie mnożyć pisemnie liczby wielocyfrowe (R)

  · umie powiększać liczbę n razy (R)

  · umie rozwiązywać trudniejsze zadania tekstowe z zastosowaniem mnożenia

  pisemnego przez liczby wielocyfrowe (D –W),

  · umie rozwiązywać kryptarytmy (W)"
"
	5 8 - 5 9";"
  Dzielenie pisemne przez

  liczby jednocyfrowe";"
  · zna algorytm dzielenia pisemnego przez liczby jednocyfrowe (K)

  · umie porównywać ilorazowo (P)

  · umie dzielić pisemnie liczby wielocyfrowe przez jednocyfrowe (K –P)

  · umie sprawdzać poprawność dzielenia pisemnego (P)

  · um ie wykonywać dzielenie pisemne z resztą (P)

  · umie pomniejszać liczbę n razy (K –P)";"
  · umie rozwiązywać trudniejsze zadania tekstowe z zastosowaniem dzielenia

  pisemnego (R–W)

  · umie rozwiązywać kryptarytmy (W)"
"
	60 - 61";"
  Działania pisemne.

  Zadania tekstowe";;"
  · umie rozwiązywać zadania tekstowe z zastosowaniem działań pisemnych (D)

  · umie rozwiązywać wielodziałaniowe zadania tekstowe z zastosowaniem

  działań pisemnych (R–W)"
62;"
  Powtórzenie";;
"
	63 - 64";"
  P raca klasowa i jej

  omówienie";;
"
	DZIAŁ 4. FIGURY GEOMETRYCZNE (23 h)";;;
"
	6 5 - 6 6";"
  Proste, półproste, odcinki";"
  · zna podstawowe figury geometryczne (K)

  · zna pojęcia: prosta, półprosta, odcinek (K)

  · umie rozpoznawać podstawowe figury geometryczne (K)

  · umie kreślić podstawowe figury geometryczne (K)";"
  · zna pojęcie łamanej (R)

  · umie kreślić łamane spełniające dane warunki (R- W )

  · umie rozwiązywać zadania tekstowe związane z podstawowymi figurami

  geometrycznymi (R–W)"
"
	67 - 68";"
  Wzajemne położenie

  prostych";"
  · zna zapis symboliczny prostych prostopadłych i prostych równoległych (P)

  · zna poj ęcie prostych prostopadłych (K) i prostych równoległych (K)";"
  · umie rozwiązywać zadania tekstowe związane z prostopadłością

  i równoległością prostych (W)"

;;"
  · umie rozpoznawać proste prostopadłe oraz proste równoległe (K)

  · umie kreślić proste prostopadłe oraz proste równoległe na papierze w kratkę (K) oraz

  na papierze gładkim (P)

  · umie kreślić proste prostopadłe oraz proste równoległe przechodzące prze dany punkt

  (P)

  · umie określać wzajemne położenia prostych na płaszczyźnie (P)";
"
	6 9";"
  Odcinki prostopadłe

  i odcinki równoległe";"
  · zna definicje odcinków prostopadłych i odcinków równoległych (P)

  · umie rozpoznawać odcinki prostopadłe oraz odcinki równoległe (K)";"
  · umie rozwiązywać zadania tekstowe związane z prostopadłością

  i równoległością odcinków (W)"
"
	70 - 71";"
  Mierzenie długości";"
  · zna jednostki długości (K)

  · zna zależności pomiędzy jednostkami długości (K –P)

  · rozumie możliwość stosowania różnorodnych jednostek długości (K)

  · umie zamieniać jednostki długości (K –P)

  · umie mierzyć długości odcinków (K)

  · umie kreślić odcinki danej długości (K)

  · umie kreślić odcinki, których długość spełnia określone warunki (P)

  · umie rozwiązywać zadania tekstowe związane z mierzeniem odcinków (P)";"
  · umie mierzyć długość łamanej (R)

  · umie kreślić łamane danej długości (R)

  · umie rozwiązywać zadania tekstowe związane z mierzeniem odcinków

  w trudniejszych sytuacjach (R)

  · umie kreślić łamane spełniające dane warunki (R–W)"
72;"
  Kąty";"
  · zna pojęcie kąta (K)

  · zna elementy kąta (P)

  · zna rodzaje kątów : prosty, ostr y, rozwarty (K)

  · zna symbol kąta prostego (P)

  · umie klasyfikować kąty: prosty, ostry, rozwarty (K –P )

  · umie kreślić poszczególne rodzaje kątów : prosty, ostry, rozwarty (K –P )";"
  · zna rodzaje kątów : pełny, półpełny (R), wklęsł y (D)

  · umie klasyfikować kąty: pełny, półpełny, wklęsły (R)

  · umie kreślić poszczególne rodzaje kątów : pełny, półpełny, wklęsły (R)

  · umie rysować wielokąt o określonych kątach (R)

  · umie rozwiązywać zadania związane z położeniem wskazówek zegara (D –W)

  · umie rozwiązywać zadania tekstowe związane z kątami (R)"
"
	73 - 74";"
  Mierzenie kątów";"
  · zna jednostkę miary kąta (K)

  · umie mierzyć kąty (K)

  · umie kreślić kąty o danej mierze (P)

  · umie określać miarę poszczególnych rodzajów kątów (P)";"
  · umie obliczać miary kątów przyległych (D)

  · umie rozwiązywać zadania związane z położeniem wskazówek zegara (D –W)"
75;"
  Wielokąty";"
  · zna pojęcie wielokąta (K)

  · zna elementy wielokątów oraz ich nazwy (K)

  · umie nazwać wielokąt na podstawie jego cech (K)

  · na podstawie rysunku umie określać punkty należące i nienależące do wielokąta (P)";"
  · umie rysować wielokąt o określonych cechach (R)

  · umie rozwiązywać zadania związane z podziałem wielokąta na części będące

  innymi wielokątami (D–W)"
76;"
  Prostokąty i kwadraty";"
  · zna pojęcia: prostokąt, kwadrat (K)

  · zna własności prostokąta i kwadratu (K)

  · zna różnice pomiędzy dowolnym prostokątem a kwadratem (P)

  · umie kreślić prostokąt, kwadrat o danych wymiarach lub przystający do danego na

  papierze w kratkę (K) oraz na papierze gładkim (P)

  · umie wyróżniać spośród czworokątów prostokąty i kwadraty (P )";"
  · umie rozwiązywać nietypowe zadania tekstowe dotyczące prostokątów (W)"
"
	7 7 - 7 8";"
  Obwody prostokątów

  i kwadratów";"
  · zna sposób obliczania obwodów prostokątów i kwadratów (K)

  · umie obliczać obwody prostokąta i kwadratu (K –P)

  · umie obliczać długość boku kwadratu przy danym obwodzie (P)";"
  · umie obliczać długość boku prostokąta przy danym obwodzie i długości

  drugiego boku (R–D)

  · umie rozwiązywać zadania dotyczące obliczania obwodów prostokątów

  i kwadratów (R–D)

  · umie obliczać obwody wielokątów złożonych z kilku prostokątów (R–W)"
"
	7 9 - 80";"
  Koła i okręgi";"
  · zna pojęcia koła i okręgu (K)

  · zna elementy koła i okręgu (K - P)

  · zna zależność między długością promienia i średnicy (P)

  · zna różnicę między kołem i okręgiem (P)

  · umie wyróżniać spośród figur płaskich koła i okręgi (K)

  · umie kreślić koło i okrąg o danym promieniu (K)

  · umie kreślić promienie, cięciwy i średnice okręgów lub kół (P)";"
  · umie kreślić promienie, cięciwy i średnice okręgów lub kół spełniające

  podane warunki (R –D)

  · umie rozwiązywać zadania związane z kołem, okręgiem, prostokątem

  i kwadratem (D–W)

  · umie wykorzystywać cyrkiel do porównywania długości odcinków (R –W)"
"
	81 - 82";"
  Co to jest skala?";"
  · zna pojęcie skali (P)

  · umie kreślić odcinki w skali (P)";"
  · umie kreślić prostokąty i okręgi w skali (R)

  · umie obliczać długości odcinków w skali lub w rzeczywistości (R)

  · umie obliczać rzeczywiste wymiary obiektów narysowanych w skali (R–D)

  · umie rozwiązywać zadania tekstowe związane ze skalą (R –W)"

"
	83 - 84";"
  Skala na planach";"
  · zna zastosowanie skali na planie (P)

  · zna pojęcie skali na planie (P)";"
  · umie obliczać na podstawie skali długość odcinka na planie (mapie) lub

  w rzeczywistości (R)

  · umie określać skalę na podstawie słownego opisu (R)

  · umie stosować podziałkę liniową (R)

  · umie dobierać skalę planu stosownie do potrzeb (R –D)

  · umie przyporządkować fragment mapy do odpowiedniej skali (R)

  · umie obliczać skalę mapy na podstawie długości odpowiedniego odcinka

  podanego w innej skali (W)"
85;"
  Powtórzenie";;
"
	86 - 8 7";"
  P raca klasowa i jej

  omówienie";;
"
	DZIAŁ 5. UŁAMKI ZWYKŁE (18 h)";;;
"
	8 8 - 8 9";"
  Ułamek jako część całości";"
  · zna pojęcie ułamka jako części całości (K)

  · zna zapis ułamka zwykłego (K)

  · za pomocą ułamka umie opisywać część figury lub część zbioru skończonego (P)

  · umie zapisywać słownie ułamek zwykły (K)

  · umie zaznaczać część figury określoną ułamkiem (K –P) oraz część zbioru skończonego

  opisanego ułamkiem (P)

  · umie rozwiązywać zadania tekstowe, w których do opisu części skończonego zbioru

  zastosowano ułamki (P )";"
  · umie rozwiązywać zadania tekstowe z zastosowaniem ułamków do opisu

  części skończonego zbioru ( R–W)"
90;"
  Liczby mieszane";"
  · zna pojęcie liczby mieszanej, jako sumy części całkowitej i ułamkowej (P)

  · umie zapisywać słownie ułamek zwykły i liczbę mieszaną (K)

  · za pomocą liczb mieszanych umie opisywać liczebność zbioru skończonego (P)";"
  · umie obliczać upływ czasu podany przy pomocy ułamka lub liczby mieszanej

  (R)

  · umie zamieniać jednostki długości oraz jednostki masy wyrażone częścią

  innej jednostki (R)

  · umie rozwiązywać zadania tekstowe z zastosowaniem zamiany długości

  wyrażonych częścią innej jednostki (D –W)"
91;"
  Ułamki i liczby mieszane

  na osi liczbowej";"
  · rozumie, że ułamek, jak każdą liczbę można przedstawić na osi liczbowej (P)

  · umie przedstawiać ułamek zw ykły na osi liczbowej (P)

  · umie zaznaczać liczby mieszane na osi liczbowej (P )";"
  · umie odczytywać współrzędne ułamków i liczb mieszanych na osi liczbowej

  (R)

  · umie ustalać jednostkę na osi liczbowej na podstawie danych

  o współrzędnych punktów (R–D)

  · umie zaznaczać i odczytywać ułamki o różnych mianownikach na jednej osi

  liczbowej (D –W)"
"
	92 - 93";"
  Porównywanie ułamków";"
  · zna sposób porównywania ułamków o równych licznikach lub mianownikach (P)

  · umie porównywać ułamki zwykłe o równych mianownikach (K)

  · umie porównywać ułamki zwykłe o równych licznikach (P)";"
  · umie porównywać ułamki zwykłe o różnych licznikach i mianownikach (W)

  · umie rozwiązywać zadania tekstowe z zastosowaniem porównywania

  ułamków zwykłych (R–W)"
"
	94 - 95";"
  Rozszerzanie i skracanie

  ułamków";"
  · zna pojęcie ułamka nieskracalnego (P)

  · zna algorytm skracania i algorytm rozszerzania ułamków zwykłych (P)

  · rozumie, że ułamek można zapisać na wiele sposobów (P)

  · umie skracać (rozszerzać) ułamki zwykłe do danego licznika lub mianownika (P)";"
  · umie zapisywać ułamki zwykłe w postaci nieskracalnej (R)

  · umie porównywać ułamki zwykłe o różnych mianownikach (W)

  · umie rozwiązywać kryptarytmy (D– W)"
96;"
  Ułamki niewłaściwe";"
  · zna pojęcie ułamków właściwych i niewłaściwych (P)

  · umie odróżniać ułamki właściwe od niewłaściwych (P)

  · umie zamieniać całości na ułamki niewłaściwe (P)";"
  · zna algorytm zamiany liczb mieszanych na ułamki niewłaściwe (R)

  · umie zamieniać liczby mieszane na ułamki niewłaściwe (R –D)

  · umie porównywać liczby przedstawione w postaci ułamków (R–D)

  · umie rozwiązywać zadania tekstowe z zastosowaniem zamiany ułamków

  zwykłych (R–W)"
"
	9 7";"
  Ułamek jako wynik

  dzielenia";"
  · zna pojęcie ułamka jako ilorazu dwóch liczb naturalnych (K)

  · umie stosować odpowiedniości: dzielna – licznik, dzielnik – mianownik, znak dzielenia

  – kreska ułamkowa (P)

  · umie przedstawiać ułamki zwykłe w postaci ilorazu liczb naturalnych i odwrotnie (P)";"
  · zna sposób wyłączania całości z ułamka (R)

  · umie wyłączać całości z ułamków (R)

  · umie porządkować liczby przedstawione w postaci ułamków niewłaściwych

  i liczb mieszanych(R–D)

  · umie rozwiązywać zadania tekstowe nawiązujące do dzielenia mniejszej

  liczby przez większą (R–W)"

;;;"
  · umie odczytywać na osi liczbowej współrzędne ułamków niewłaściwych i liczb

  mieszanych o różnych mianownikach (D –W)"
"
	9 8 - 9 9";"
  Dodawanie ułamków

  zwykłych";"
  · zna algorytm dodawania ułamków zwykłych o jednakowych mianownikach (K)

  · umie dodawać dwa ułamki zwykłe o tych samych mianownikach (K)

  · umie dodawać liczby mieszane o tych samych mianownikach (P)

  · umie rozwiązywać zadania tekstowe z zastosowaniem dodawania ułamków zwykłych

  (P)";"
  · umie dopełniać ułamki do całości (R)

  · umie rozwiązywać zadania tekstowe z zastosowaniem dodawania ułamków

  zwykłych (D–W)"
