"
  JEDNOSTKA ORGANIZACYJNA / TEMAT";;"
	CELE PODSTAWOWE";"
	CELE PONADPODSTAWOWE"
1;"
  Lekcja organizacyjna.

  Zapoznanie uczniów

  z wymaganiami

  edukacyjnymi i PSO";;
"
	DZIAŁ 1. LICZBY I DZIAŁANIA (2 7 h)";;;
"
	2 - 3";"
  Rachunki pamięciowe –

  dodawanie i odejmowanie";"
  · zna pojęcie składnika i sumy (K)

  · zna pojęcie odjemnej, odjemnika i różnicy (K)

  · zna prawo przemienności dodawania (P)

  · umie pamięciowo dodawać i odejmować liczby w zakresie 200 bez przekraczania

  progu dziesiątkowego i z jego przekraczaniem (K)

  · umie dopełniać składniki do określonej wartości (P)

  · umie obliczać odjemną (lub odjemnik), znając różnicę i odjemnik (lub odjemną) (P)";"
  · umie dostrzegać zasady zapisu ciągu liczb naturalnych (D –W)"
"
	4 - 5";"
  O ile więcej, o ile mniej";"
  · umie porównywać różnicowo (P)

  · umie powiększać lub pomniejszać liczbę o daną liczbę naturalną (K –P)

  · umie obliczać, o ile większa (mniejsza) jest jedna liczba od drugiej (K –P)

  · umie obliczać liczbę wiedząc, o ile jest większa (mniejsza) od danej (P)

  · umie rozwiązywać jednodziałani owe zadania tekstowe (P)";"
  · umie rozwiązywać jednodziałaniowe trudniejsze zadania tekstowe (R)

  · umie rozwiązywać nietypowe zadania dotyczące własności liczb (D –W)"
"
	6 - 7";"
  Rachunki pamięciowe –

  mnożenie i dzielenie";"
  · zna pojęcie czynnika i iloczynu (K)

  · zna pojęcie dzielnej, dzielnika i ilorazu (K)

  · zna zasadę nie wykonywalności dzielenia przez 0 (K)

  · zna prawo przemienności mnożenia (P)

  · zna rolę liczb 0 i 1 w poznanych działaniach (K)

  · zna tabliczkę mnożenia (K)

  · umie pamięciowo dzielić liczby dwucyfro we przez jednocyfrowe w zakresie tabliczki

  mnożenia (K)

  · umie mnożyć liczby przez 0 (K)

  · umie posługiwać się liczbą 1 w mnożeniu i dzieleniu (K)

  · umie obliczać jeden z czynników, mając iloczyn i drugi czynnik (P)

  · umie rozwiązywać jednodziałaniowe zada nia tekstowe (P)";"
  · umie obliczać dzielną (lub dzielnik), mając iloraz i dzielnik (lub dzielną) (R)

  · umie rozwiązywać jednodziałaniowe trudniejsze zadania tekstowe (R)

  · umie dostrzegać zasady zapisu ciągu liczb naturalnych (D –W)"
8;"
  Mnożenie i dzielenie przez

  10, 100…";"
  · zna prawo przemienności mnożenia (K)

  · zna zasadę mnożenia i dzielenia przez 10, 100… (K)

  · umie pamięciowo mnożyć i dzielić liczby przez pełne dziesiątki, setki (P)

  · umie obliczać jeden z czynników, mając iloczyn i drugi czynnik (P)

  · um ie rozwiązywać jednodziałaniowe zadania tekstowe (P)";"
  · umie rozwiązywać jednodziałaniowe trudniejsze zadania tekstowe (R)

  · umie rozwiązywać nietypowe zadania wykorzystujące przemienność

  mnożenia (D–W)"
"
	9 - 10";"
  Mnożenie i dzielenie (cd.)";"
  · umie pamięciowo mnożyć liczby jednocyfrowe przez dwucyfrowe w zakresie 200 (K)

  · umie pamięciowo dzielić liczby dwucyfrowe przez jednocyfrowe lub dwucyfrowe w

  zakresie 100 (K)

  · umie sprawdzać poprawność wykonania działania (P)

  · umie rozwiązywać jednodziałaniowe zadania tekstowe (P)";"
  · umie rozwiązywać jednodziałaniowe trudniejsze zadania tekstowe (R)

  · umie dostrzegać zasady zapisu ciągu liczb naturalnych (W)"
"
	11 - 12";"
  Ile razy więcej, ile razy

  mniej";"
  · umie porównywać ilorazowo (P)

  · umie pomniejszać lub powiększać liczbę n razy (K –P)

  · umie obliczać liczbę, wiedząc, ile razy jest ona większa (mniejsza) od danej (P)

  · umie obliczać, ile razy większa (mniejsza) jest jedna liczba od drugiej (K – P)

  · umie rozwiązywać zadania tekstowe jednodziałaniowe (P)";"
  · umie rozwiązywać trudniejsze zadania tekstowe jednodziałaniowe (R)

  · umie rozwiązywać nietypowe zadania dotyczące własności liczb (W)"
"
	13 - 14";"
  Dzielenie z resztą";"
  · zna pojęcie reszty z dzielenia (K)

  · wie, że reszta jest mniejsza od dzielnika (P)

  · umie wykonywać dzielenie z resztą (P)

  · umie obliczać dzielną, mając iloraz, dzielnik oraz resztę z dzielenia (P)";"
  · umie rozwiązywać zadania tekstowe z zastosowaniem dzielenia z resztą (R–

  W )"

