"

  JEDNOSTKA ORGANIZACYJNA / TEMAT";;"
	CELE PODSTAWOWE";"
	CELE PONADPODSTAWOWE"
"
	110 - 111";"
 Siatki graniastosł upów.

 Pole powierzchni";"  zna pojęcie siatki graniastosłupa (K)

  zna pojęcie pola powierzchni graniastosłupa (K)

  zna wzór na obliczanie pola powierzchni graniastosłupa (K)

  rozumie pojęcie pola figury (K)

  rozumie sposób obliczania pola powierzchni jako pola si atki (P)

  rozumie zasadę kreślenia siatki (K)

  umie rozpoznać siatkę graniastosłupa prostego (K - P)

  umie kreślić siatkę graniastosłupa prostego o podstawie trójkąta lub czworokąta (K)

  umie obliczyć pole powierzchni graniastosłupa prostego (K - P)

  umie rozwiązać zadanie tekstowe związane z polem powierzchni graniastosłupa prostego (P)";"  umie kreślić siatkę graniastosłupa o podstawie dowolnego wielokąta (P - R)

  umie rozpoznać siatkę graniastosłupa (R - W)

  umie obliczyć pole powierzchni graniastosłupa (R)

  umie rozwiązać zadanie tekstowe związane z polem powierzchni graniastosłupa

	prostego (R- W)"
"
	112 - 113";"
 Objętość

 prostopadłościanu.

 Jednostki objętości";"  zna wzory na obliczanie objętości prostopadłościanu i sześcianu (K)

  zna jednostki objętości (K)

  rozumie zasady zamiany jedn ostek objętości (P)

  rozumie pojęcie objętości figury (K)

  umie zamieniać jednostki objętości (K - P)

  umie obliczyć objętość prostopadłościanu i sześcianu (K - P)

  umie rozwiązać zadanie tekstowe związane z objętością prostopadłościanu (P)";"  umie zamieniać jednostk i objętości (R - D)

  umie rozwiązać zadanie tekstowe związane z objętością prostopadłościanu

	(R- W)"
"
	114 - 115";"
 Objętość graniastosłupa";"  zna pojęcie wysokości graniastosłupa (K)

  zna wzór na obliczanie objętości graniastosłupa (K)

  umie obliczyć objętość graniastos łupa (K - P)";"  umie obliczyć objętość graniastosłupa (R)

  umie rozwiązać zadanie tekstowe związane z objętością graniastosłupa (R - W)"

;;  umie rozwiązać zadanie tekstowe związane z objętością graniastosłupa (P);
116;"
 Powtórzenie";;
"
	117 - 118";"
 Praca klasowa i jej

 omówienie";;
"
	STATYSTYKA ( 11 h)";;;
"
	119 - 120";"
 Czytanie danych

 statystycznych";"  zna pojęcie diagramu słupkowego i kołowego (K)

  zna pojęcie wykresu (K)

  rozumie potrzebę korzystania z różnych form prezentacji informacji (K)

  umie odczytać informacje z tabeli, wykresu, diagra mu (K -P)

  umie ułożyć pytania do prezentowanych danych (P)";"  umie interpretować prezentowane informacje (R - D)

  umie prezentować dane w korzystnej formie (D)"
"
	121 - 122";"
 Co to jest średnia?";"  zna pojęcie średniej arytmetycznej (K)

  umie obliczyć średnią arytmetyczną (K -P)

  umie rozwiązać zadanie tekstowe związane ze średnią (P)";"  umie obliczyć średnią arytmetyczną (R)

  umie rozwiązać zadanie tekstowe związane ze średnią arytmetyczną (R - W)"
"
	123 - 124";"
 Zbieranie i opracowywanie

 danych statystycznych";"  zna pojęcie danych statysty cznych (K)

  umie zebrać dane statystyczne (K)

  umie opracować dane statystyczne (P)

  umie prezentować dane statystyczne (P)";"  umie opracować dane statystyczne (R - D)

  umie prezentować dane statystyczne (R - D)"
"
	125 - 126";"
 Zdarzenia losowe";"  zna pojęcie zdarzenia losoweg o (K)

  umie określić zdarzenia losowe w doświadczeniu (K - P)

  umie obliczyć prawdopodobieństwo zdarzenia (P)";"  zna pojęcie prawdopodobieństwa zdarzenia losowego (R)

  umie określić zdarzenia losowe w doświadczeniu (R)

  umie obliczyć prawdopodobieństwo zdarzenia (R - W)"
127;"
 Powtórzenie";;
"
	128 - 129";"
 Praca klasowa i jej

 omówienie";;
