"

  JEDNOSTKA ORGANIZACYJNA / TEMAT";;"
	CELE PODSTAWOWE";"
	CELE PONADPODSTAWOWE"
"
	24 - 25";"
 Obliczanie procentu danej

 liczby";  umie obliczyć procent danej liczby (K - P);"  umie rozwiązać zadanie tekstowe dotyczące obliczania procentu danej liczby (R - W)

  umie wykorzystać diagramy do rozwiązyw ania zadań tekstowych (R- W)"
26;"
 Podwyżki i obniżki";"  rozumie pojęcia podwyżka (obniżka) o pewien procent (K)

  wie, jak obliczyć podwyżkę (obniżkę) o pewien procent (K)

  umie obliczyć podwyżkę (obniżkę) o pewien procent (K - P)";"  umie rozwiązać zadanie tekstowe dot yczące obliczania podwyżek i obniżek

	o pewien procent (R- W)"
"
	27 - 28.";"
 Obliczanie li czby, gdy dany

 jest jej procent";"  wie jak obliczyć liczbę na podstawie jej procentu (P)

  umie obliczyć liczbę na podstawie jej procentu (P)";"  umie obliczyć liczbę na podstawie jej procentu (R)

  umie rozwiązać zadanie tekstowe dotyczące obliczania liczby na podstawie jej

	procentu (R- W)"
"
	29 - 30";"
 O ile procent więcej, o ile

 mniej. Punkty procentowe";"  umie obliczyć, o ile procent jest większa (mniejsza) liczba od danej (K - P)

  zna i rozumie określenie punkty procentowe (P)";"  umie obliczyć, o ile procent jest większa (mniejsza) liczba od danej (R)

  umie zastosować powyższe obliczenia w zadaniach tekstowych (R - W)"
"
	31 - 33";"
 Obliczenia procentowe";  umie rozwiązywać zadania związane z procentami (P);"  umie odczytać z diagramu informacje potrzebne w zadaniu (R - D)

  umie rozwiązywać zadania związane z procentami (R - D)

  umie stosować własności procentów w sytuacji ogólnej (W)"
34;"
 Powtórzenie";;

"
	35 - 36";"
 Praca klasowa i jej

 omówienie";;
"
	DZIAŁ 3. FIGURY NA PŁASZCZYŹNIE (2 2 h)";;;
37;"
 Proste i odcinki";"  zna podstawowe pojęcia: punkt, prosta, odcinek (K)

  zna pojęcie prostych prostopadłych i równoległych (K)

  umie kreślić proste i odcinki prostopadłe przechodzące przez dany punkt (P)

  umie podzielić odcinek na połowy (P)

  wie, jak obliczyć odległość punktu od prostej i odległość pomiędzy prostymi (P)

  zna warunek współliniowości trzech punktów (P)";"  umie kreślić proste i odcinki równoległe przechodzące przez dany punkt (R)

  umie obliczyć odległość punktu od prostej i odległość pomiędzy prostymi (R)

  umie sprawdzić współliniowość trzech punktów (R)"
"
	38 - 39";"
 Kąty";"  zna pojęcie kąta (K)

  zna pojęcie miary kąta (K)

  zna rodzaje kątów (K - P)

  umie konstruować kąt przystający do danego (K)

  zna nazwy kątów utworzonych przez dwie przecinające się proste oraz kątów utworzonych

	pomiędzy dwiema prostymi równoległymi przeciętymi trzecią prostą i związki pomiędzy nimi

	(K - P)
  umie obliczyć miary katów przyległych, wierzchołkowych, odpowiadających,

	naprzemianległych , gdy dana jest miara jednego z nich (P)";"  umie obliczać na podstawie rysunku miary kątów (R)

  umie rozwiązywać zadania tekstowe dotyczące kątów (R - W)"
"
	40 - 42";"
 Trójkąty";"  zna pojęcie wielokąta (K)

  zna sumę miar kątów wewnętrznych trójkąta (K)

  umie kreślić poszczególne rodzaje trójkątów (K - P)

  umie obliczać na podstawie rysunku miary kątów w trójkącie (P - R)";"  rozumie zasadę klasyfikacji trójkątów (R)

  umie klasyfikować trójkąty ze względu na boki i kąty (R)

  umie wybrać z danego zbioru odcinki, z kt órych można zbudować trójkąt ( D)

  umie stosować zależności między bok ami (kątami) w trójkącie podczas

	rozwiązywania zadań tekstowych (R - W)

  zna nierówność trójkąta AB+BC≥AC (W)

  umie sprawdzić, czy z danych odcinków można zbudować trójkąt (R)"
"
	43 - 44";"
 Przystawanie trójkątów";"  zna definicję figur przystających (K)

  zna cechy przystawania trójkątów (P)

  umie wskazać figury przystające (K)

  umie konstruować trójkąt o danych trzech bokach (P)

  umie rozpoznawać trójkąty przystające (P - R)";"  umie konstruować trójkąt o danych dwóch bokach i kącie między nimi zawartym (R)

  umie konstruować trój kąt, gdy dany jest bok i dwa kąty do niego przyległe (D)

  umie rozwiązywać zadania konstrukcyjne (R - W)

  umie uzasadniać przystawanie trójkątów (R - D)"
"
	45 - 47";"
 Czworokąty";"  zna definicję prostokąta i kwadratu (K)

  zna definicję trapezu, równoległoboku i rombu (P)

  umie rozróżniać poszczególne rodzaje czworokątów (K)

  umie podać własności czworokątów (P)

  umie rysować przekątne czworokątów (K)

  umie rysować wysokości czworokątów (K – P)

  umie obliczać miary katów w poznanych czworokątach (P)

  umie obliczać obwody narysowan ych czworokątów (P)";"  rozumie zasadę klasyfikacji czworokątów (R)

  umie klasyfikować czworokąty ze względu na boki i kąty (R)

  umie stosować własności czworokątów do rozwiązywania zadań (R - W)"
48;"
 Wielokąty foremne";"  zna pojęcie wielokąta foremnego (K)

  rozumie w łasności wielokątów foremnych (P)

  umie konstruować sześciokąt i ośmiokąt foremny (P)

  umie obliczyć miarę kąta wewnętrznego wielokąta foremnego (P)";  umie rozwiązać zadanie tekstowe związane z wielokątami foremnymi (D - W)
"
	49 - 50";"
 Pole prostokąta. Jednostki

 pola";"  zna jednostki miary pola (K)

  zna zależności pomiędzy jednostkami pola (K - P)

  umie zamieniać jednostki pola (P)

  zna wzór na pole prostokąta (K)";"  umie zamieniać jednostki pola (R)

  umie rozwiązywać trudniejsze zadania dotyczące pola prostokąta (R - D)"

;;"  zna wzór na pole kwadratu (K)

  umie obliczać pole prostokąta, którego boki są wyrażone w tych samych jednostkach ( K) i

	różnych jednostkach (P)";
"
	51 - 53";"
 Pola wielokątów";"  zna wzory na obliczanie pól wielokątów (K)

  umie obliczać pola wielokątów (K)";"  umie rozwiązywać zadania tekstowe związane z obliczaniem pól

	i obwodów wielokątów na płaszczyźnie (R - D)
  umie obliczać pola wielokątów (R - W)"
"
	54 - 55";"
 Układ współrzędnych";"  umie narysować układ współrzędnych (K)

  zna pojęcie układu współrzędnych (K)

  umie odczytać współrzędne punktów ( K)

  umie zaznaczyć punkty o danych współrzędnych (K)

  umie rysować odcinki w układzie współrzędnych (K)

  umie rysować wielokąty w układzie współrzędnych (P)

  umie obliczyć długość odcinka równoległego do jednej z osi układu (P)";"  umie rozwiązywać zadania tekstow e związane z obliczaniem pól

	i obwodów wielokątów w układzie współrzędnych (R- D)
  umie wyznaczyć współrzędne brakujących wierzchołków prostokąta, równoległoboku

	i trójkąta (R)"
56;"
 Powtórzenie";;
"
	57 - 58";"
 Praca klasowa i jej

 omówienie";;
"
	DZIAŁ 4. WYRAŻENIA ALG EBRAICZNE (1 5 h)";;;
"
	59 - 60";"
 Do czego służą wyrażenia

 algebraiczne?";"  zna pojęcie wyrażenia algebraicznego (K)

  rozumie zasadę nazywania wyrażeń algebraicznych (P)

  umie budować proste wyrażenia algebraiczne (K)

  umie rozróżnić pojęcia: suma, różnica, iloczyn, ilora z (K)

  umie budować i odczytywać wyrażenia algebraiczne (K - P)";  umie budować i odczytywać wyrażenia o konstrukcji wielodziałaniowej (R - D)
61;"
 Wartości liczbowe wyrażeń

 algebraicznych";"  umie obliczyć wartość liczbową wyrażenia bez jego przekształcenia dla jednej zmiennej

	wymiernej (K - P)";"  umie obliczyć wartość liczbową wyrażenia bez jego przekształcenia dla kilku

	zmiennych wymiernych (R- D)"
