"
	TEMAT";"
	WYMAGANIA SZCZEGÓŁOWE Z PODSTAWY PROGRAMOWEJ"
"
  Oś liczbowa";"
 I. Liczby naturalne w dziesiątkowym układzie pozycyjnym. Uczeń:

 2) interpretuje liczby naturalne na osi liczbowej ."
"
 DZIAŁ 2. SYSTEMY ZAPISYWANIA LICZB";
"
  System dziesiątkowy";"
 I. Liczby naturalne w dziesiątkowym układzie pozycyjnym. Uczeń:

 1) zapisuje i odczytuje liczby naturalne wielocyfrowe;

 2) interpretuje liczby naturalne na osi liczbowej.

 II. Działania na liczbach naturalnych. Uczeń:

 13) odpowiada na pytania dotyczące liczebności zbiorów r óżnych rodzajów liczb z pewnego niewielkiego zakresu ( np. od 1 do 200 czy od 100 do

	1000) o ile l iczba w odpowiedzi jest na t yle mała, że wszystkie rozważane liczby uczeń może wypisać ."
"
  Porównywanie liczb

  naturalnych";"
 I. Liczby naturalne w dziesiątkowym układzie pozycyjnym. Uczeń:

 3) porównuje liczby naturalne.

 II. Działania na liczbach naturalnych. Uczeń:

 13) odpowiada na pytania dotyczące liczebności zbiorów r óżnych rodzajów liczb z pewnego niewielkiego zakresu (np. od 1 do 200 czy od 100 do

	1000) o ile l iczba w odpowiedzi jest na tyle mała, że wszystkie rozważane liczby uczeń może wypisać ."
"
  Rachunki pamięciowe na

  dużych l iczbach";"
 II. Działania na liczbach naturalnych. Uczeń:

 1) dodaje i odejmuje w pamięci liczby naturalne dwucyfrowe l ub większe, liczbę jednocyfrową dodaje do dowolnej liczby naturalnej i odejmuje od

	dowolnej liczby naturalnej;

 3) mnoży i dzieli liczbę naturalną przez liczbę naturalną jednocyfr ową, dwucyfrową lub trzycyfrową (…) w pamięci (w najprostszych przykładach) i

	za pomo cą kalkulatora (w trudniejszych przykładach) ."
"
  Jednostki monetarne – złote i

  grosze";"
 I. Liczby naturalne w dziesiątkowym układzie pozycyjnym. Uczeń:

 1) zapisuje i odczytuje liczby naturalne wielocyfrowe;

 3) porównuje liczby naturalne;

 4) zaokrągla liczby naturalne ."
"
  Jednostki długości";"
 VII. Proste i odcinki. Uczeń:

 4) mierzy odcinek z dokładnością do 1 mm.

 XII. Obliczenia praktyczne. Uczeń:

 6) zamienia i prawidłowo stosuje jednostki długości: milim etr, centymetr, decymetr, metr, k ilometr ."

"
  Jednostki masy";"
 XII. Obliczenia praktyczne. Uczeń:

 7) zamienia i prawidłowo stosuje jednostki masy: gram, dekagram, kilogram, tona ."
"
  System rzymski";"
 I. Liczby naturalne w układzie pozycyjnym. Uczeń:

 5) liczby w zakresie do 3 000 zapisane w systemie rzymskim przedstawia w systemie d ziesiątkowym, a zapisane w systemie dziesiątkowym

	przedstawia w systemie rzymskim."
"
  Z kalendarzem za pan brat";"
 XII. Obliczenia praktyczne. Uczeń:

 4) wykonuje proste obliczenia kalendarzowe na dniach, tygodniach, miesiącach, latach ."
"
  Godziny na zegarach";"
 XII. Obliczenia praktyczne. Uczeń:

 3) wykonuje proste obliczenia zegarowe na godzinach, minutach i sekundach ."
"
 DZIAŁ 3. DZIAŁANIA PISEMNE";
"
  Dodawanie pisemne";"
 II. Działania na liczbach naturalnych. Uczeń:

 2) dodaje (…) liczby naturalne wielocyfrowe sposobem pisemnym i za pomocą kalkulatora ."
"
  Odejmowanie pisemne";"
 II. Działania na liczbach naturalnych. Uczeń:

 2) dodaje i odejmuje liczby naturalne wielocyfrowe sposobem pisemnym i za pomocą kalkulatora ."
"
  Mnożenie pisemne przez

  liczby jednocyfrowe";"
 II. Działania na liczbach naturalnych. Uczeń:

 3) mnoży (…) liczbę naturalną przez liczbę naturalną jednocyfr ową, dwucyfrową lub t rzycyfrową sposobem pisemnym, w pamięci (w

	najprostszych przykład ach) i za pomocą kalkulatora (w trudniejszych przykładach);

 10) szacuje wyniki działań ."
"
  Mnożenie przez liczby z

  zerami na końcu";"
 II. Działania na liczbach naturalnych. Uczeń:

 3) mnoży (…) liczbę naturalną przez liczbę naturalną jednocyfr ową, dwucyfrową lub trzycyfrową sposobem pisemnym, w pamięci (w

	najprostszych przykład ach) i za pomocą kalkulatora (w trudniejszych przykładach);

 10) szacuje wyniki działań ."
"
  Mnożenie pisemne przez

  liczby wielocyfrowe*";"
 II. Działania na liczbach naturalnych. Uczeń:

 3) mnoży (…) liczbę naturalną przez liczbę naturalną jednocyfr ową, dwucyfrową lub trzycyfrową sposobem pisemnym, w pamięci (w

	najprostszych przykład ach) i za pomocą kalkulatora (w trudniejszych przykładach);

 10) szacuje wyniki działań ."
"
  Dzielenie pisemne przez liczby

  jednocyfrowe";"
 II. Działania na liczbach naturalnych. Uczeń:

 3) mnoży i dzieli liczbę naturalną przez liczbę naturalną jednocyfr ową, dwucyfrową lub trzycyfrową sposobem pisemnym, w pamięci (w

	najprostszych przykład ach) i za pomocą kalkulatora (w trudniejszych przykładach);

 10) szacuje wyniki działań ."
