Temat,topic,skill,match_score,Cele podstawowe,Cele ponadpodstawowe,chapter_requirements
Co to jest średnia?,Co to jest średnia?,XIII. Odczytywanie danych i elementy statystyki opisowej. Uczeń: 3) oblicza średnią arytmetyczną kilku liczb .,100.0,"['zna pojęcie średniej arytmetycznej (K)', 'umie obliczyć średnią arytmetyczną (K -P)', 'umie rozwiązać zadanie tekstowe związane ze średnią (P)']","['umie obliczyć średnią arytmetyczną (R)', 'umie rozwiązać zadanie tekstowe związane ze średnią arytmetyczną (R - W)']","[(13, 3)]"
Czworokąty,Czworokąty,Powtórzenie i utrwalenie umiejętności z zakresu podstawy programowej dla kla s IV-VI oraz VIII. Własności figur geometrycznych na płaszczyźnie. Uczeń: 8) przeprowadza dowody geometryczne.,100.0,"['zna definicję prostokąta i kwadratu (K)', 'zna definicję trapezu, równoległoboku i rombu (P)', 'umie rozróżniać poszczególne rodzaje czworokątów (K)', 'umie podać własności czworokątów (P)', 'umie rysować przekątne czworokątów (K)', 'umie rysować wysokości czworokątów (K – P)', 'umie obliczać miary katów w poznanych czworokątach (P)', 'umie obliczać obwody narysowan ych czworokątów (P)']","['rozumie zasadę klasyfikacji czworokątów (R)', 'umie klasyfikować czworokąty ze względu na boki i kąty (R)', 'umie stosować własności czworokątów do rozwiązywania zadań (R - W)']","[(8, 8)]"
Czytanie danych statystycznych,Odczytywanie danych statystycznych,"XIII. Odczytywanie danych i elementy statystyki opisowej. Uczeń: 1) interpretuje dane przedstawione za pomocą tabel, diagramów słupkowych i kołowych, wykresów, w tym także wykresów w układzie współrzędnych .",90.625,"['zna pojęcie diagramu słupkowego i kołowego (K)', 'zna pojęcie wykresu (K)', 'rozumie potrzebę korzystania z różnych form prezentacji informacji (K)', 'umie odczytać informacje z tabeli, wykresu, diagra mu (K -P)', 'umie ułożyć pytania do prezentowanych danych (P)']","['umie interpretować prezentowane informacje (R - D)', 'umie prezentować dane w korzystnej formie (D)']","[(13, 1)]"
Diagramy procentowe,Diagramy procentowe,"V. Obliczenia procentowe. Uczeń: 1) przedstawia część wielkości jako procent tej wielkości. XIII. Odczytywanie danych i elementy statystyki opisowej. Uczeń: 1) interpretuje dane przedstawione za pomocą tabel, diagramów słupkowych i kołowych, wykresów, w tym także wykresów w układzi e współrzędnych.",100.0,"['zna pojęcie diagramu procentowego (K)', 'rozumie potrzebę stos owania diagramów do wizualizacji informacji (P)', 'umie z diagramów odczytać potrzebne informacje (K - P)']","['potrafi wybrać z diagramu informacje i je zinterpretować (R - D)', 'potrafi zobrazować dowolnym diagramem wybrane informacje (R - D)']","[(5, 1), (13, 1)]"
Do czego służą równania?,Do czego służą równania?,III. Tworzenie wyrażeń algebraicznych z jedną i z wieloma zmiennymi. Uczeń: 1) zapisuje wyniki podanych działań w postaci wyrażeń algebraicznych jednej lub kilku zmiennych; 3) zapisuje zależności przedstawione w zadaniach w postaci wyrażeń algebraicznych jednej lub kilku zmiennych; 4) zapisuje rozwiązania zadań w postaci wyrażeń algebraicznych.,100.0,"['zna pojęcie równania (K)', 'umie zapisać zadanie w postaci równania (K - P)']","['umie zapisać zadanie w postaci równania (R - D)', 'umie zapisać problem w postaci równania (W)']","[(3, 1), (3, 3), (3, 4)]"
Do czego służą wyrażenia algebraiczne?,Do czego służą wyrażenia algebraiczne?,III. Tworzenie wyrażeń algebraicznych z jedną i z wieloma zmiennymi. Uczeń: 1) zapisuje wyniki podanych działań w postaci wyrażeń algebraicznych jednej lub kilku zmiennych; 3) zapisuje zależności przedstawione w zadaniach w postaci wyrażeń algebraicznych jednej lub kilku zmiennych; 4) zapisuje rozwiązania zadań w postaci wyrażeń algebraicznych.,100.0,"['zna pojęcie wyrażenia algebraicznego (K)', 'rozumie zasadę nazywania wyrażeń algebraicznych (P)', 'umie budować proste wyrażenia algebraiczne (K)', 'umie rozróżnić pojęcia: suma, różnica, iloczyn, ilora z (K)', 'umie budować i odczytywać wyrażenia algebraiczne (K - P)']",['umie budować i odczytywać wyrażenia o konstrukcji wielodziałaniowej (R - D)'],"[(3, 1), (3, 3), (3, 4)]"
Dodawanie i odejmowanie liczb dodatnich,Dodawanie i odejmowanie liczb dodatnich,Powtórzenie i utrwalenie umiejętności z zakresu podstawy programowej dla klas IV -VI.,100.0,"['zna algorytm dodawania i odejmowania liczb wymiernych dodatnich (K)', 'umie dodawać i odejmować liczby wymierne dodatnie zapisane w jednakowej postaci (K)', 'umie dodawać i odejmować liczby wymierne dodatnie zapisane w różnych postaciach (P)']",['umie rozwiązywać nietypowe zadania na zastosowanie dodawania i odejmowania liczb wymiernych (R - D)'],[]
Dodawanie i odejmowanie sum algebraicznych,Dodawanie i odejmowanie sum algebraicznych,"IV. Przekształcanie wyrażeń algebraicznych. Sumy algebraiczne i działania na nich. Uczeń: 2) dodaje i odejmuje sumy algebraiczne, redukując wyrazy podobne .",100.0,"['umie opuścić nawiasy (P)', 'umie zredukować wyrazy podobne (K - P)', 'umie rozpoznawać sumy algebraiczne przeciwne (P)', 'umie obliczyć wartość liczbową wyrażenia dla zmiennych wymiernych po przekształceniu do postaci dogodnej do obliczeń (P)']","['umie obliczyć wartość liczbową wyrażenia dla zmiennych wymiernych po przekształceniu do postaci dogodnej do obliczeń (R - D)', 'umie wstawić nawiasy w sumie algebraicznej tak, by wyrażenie spełniało podany warunek (D)', 'umie stosować dodawanie i odejmowanie sum algebraicznych w zadaniach tekstowych (D- W)']","[(4, 2)]"
Działania na liczbach dodatnich i ujemnych,Działania na liczbach dodatnich i ujemnych,Powtórzenie i utrwalenie umiejętności z zakresu podstawy programowej dla klas IV -VI.,100.0,"['umie dodawać, odejmować, mnożyć i dzielić dwie liczby (K)', 'umie określić znak liczby będącej wynikiem dodawania lub odejmowania dwóch liczb wymiernych (P)', 'zna pojęcie liczb przeciwnych (K)', 'umie obliczać kwadraty i sześciany liczb wymiernych (P)', 'umie stosować prawa działań (P)']","['umie stosować prawa działań (R)', 'umie obliczać wartoś ci wyrażeń arytmetycznych (P - D)', 'umie uzupełniać brakujące liczby w dodawaniu, odejmowaniu, mnożeniu i dzieleniu tak, by otrzymać ustalony wynik (R)', 'umie wstawiać nawiasy tak, by otrzymać żądany wynik (D)', 'umie obliczać wartości ułamków piętrowych (W)']",[]
Działania na pierwiastkach,Działania na pierwiastkach,"II. Pierwiastki. Uczeń: 4) oblicza pierwiastek z iloczynu i ilorazu dwóch liczb, wyłącza liczbę przed znak pierwiastka i włącza liczbę pod znak pierw iastka; 5) mn oży i dzieli pierwiastki tego samego stopnia.",100.0,"['zna wzór na obliczanie pierwiastka z iloczynu i ilorazu (K)', 'umie wyłączyć czynnik przed znak pierwiastka oraz włączyć czynnik pod znak pierwiastka (K - P)', 'umie mnożyć i dzielić pierwiastki II stopnia oraz pierwiastki III stopnia (K)', 'umie stosować wzory na obliczanie pierw iastka z iloczynu i ilorazu do wyznaczania wartości liczbowej wyrażeń (P)']","['umie wyłączyć czynnik przed znak pierwiastka (R)', 'umie włączyć czynnik pod znak pierwiastka (R - D)', 'umie wykonywać działania na liczbach niewymiernych (R - D)', 'umie stosować wzór na oblicz anie pierwiastka z iloczynu i ilorazu do obliczania wartości liczbowej wyrażeń (P - D)', 'umie doprowadzić wyrażenie algebraiczne zawierające potęgi i pierwiastki do prostszej postaci (R- D)', 'umie rozwiązywać zadania tekstowe na zastosowanie działań na pierwiastk ach (R- W)', 'umie porównać liczby niewymierne (R - D)']","[(2, 4), (2, 5)]"
