Temat,topic,skill,match_score,Cele podstawowe,Cele ponadpodstawowe,chapter_requirements
Godziny na zegarach,Godziny na zegarach,"XII. Obliczenia praktyczne. Uczeń: 3) wykonuje proste obliczenia zegarowe na godzinach, minutach i sekundach .",100.0,"['zna zależności pomiędzy jednostkami czasu (P)', 'zna różne sposoby przedstawiania upływu czasu (P)', 'umie posługiwać się zegarami wskazówkowymi i elektronicznymi (K)', 'umie zapisywać cyframi podane słownie godziny (K –P)', 'umie wyrażać upływ czasu w różnych jednostkach (K –P)', 'umie obliczać upływ czasu związany z zegarem (P)']",['umie rozwiązywać nietypowe zadania tekstowe związane z upływem czasu (R–W )'],"[(12, 3)]"
"Ile razy więcej, ile razy mniej","Ile razy więcej, ile razy mniej",I. Liczby naturalne w dziesiątkowym układzie pozycyjnym. Uczeń: 3) porównuje liczby naturalne. II. Działania na liczbach naturalnych . Uczeń: 6) porównuje liczby naturalne z wykorzystaniem ich różnicy lub ilorazu; 10) szacuje wyniki działań .,100.0,"['umie porównywać ilorazowo (P)', 'umie pomniejszać lub powiększać liczbę n razy (K –P)', 'umie obliczać liczbę, wiedząc, ile razy jest ona większa (mniejsza) od danej (P)', 'umie obliczać, ile razy większa (mniejsza) jest jedna liczba od drugiej (K – P)', 'umie rozwiązywać zadania tekstowe jednodziałaniowe (P)']","['umie rozwiązywać trudniejsze zadania tekstowe jednodziałaniowe (R)', 'umie rozwiązywać nietypowe zadania dotyczące własności liczb (W)']","[(1, 3), (2, 6), (2, 10)]"
Jednostki długości,Jednostki długości,"VII. Proste i odcinki. Uczeń: 4) mierzy odcinek z dokładnością do 1 mm. XII. Obliczenia praktyczne. Uczeń: 6) zamienia i prawidłowo stosuje jednostki długości: milim etr, centymetr, decymetr, metr, k ilometr .",100.0,"['zna zależności pomiędzy podstawowymi jednostkami długości (K)', 'zna możliwość stosowania różnorodnych jednostek długości (P)', 'umie zamieniać długości wyrażane w różnych jednostkach (K)', 'umie zapisywać wyrażenia dwumianowane przy pomocy jednej jednostki (P)', 'umie rozwiązywać zadania tekstowe związane z jednostkami długości (P)']","['umie porównywać odległości wyrażane w różnych jednostkach (R)', 'umie obliczać sumy i różnice odległości zapisanych w postaci wyrażeń dwumianowanych (R)', 'umie rozwiązywać zadania tekstowe związane z jednostkami długości w trudniejszych sytuacjach (R–W)']","[(7, 4), (12, 6)]"
Jednostki masy,Jednostki masy,"XII. Obliczenia praktyczne. Uczeń: 7) zamienia i prawidłowo stosuje jednostki masy: gram, dekagram, kilogram, tona .",100.0,"['zna zależności pomiędzy podstawowymi jednostkami masy (K)', 'zna możliwość stosowania różnorodnych jednostek masy (P)', 'umie zamieniać masy wyrażane w różnych jednostkach (K)', 'umie rozwiązywać zadania tekstowe związane z jednostkami masy (P)']","['zna pojęcia: masa brutto, netto, tara (R)', 'umie obliczać łączną masę produktów wyrażoną w różnych jednostkach (R–D)', 'umie porównywać masy produktów wyrażane w różnych jednostkach (R)', 'umie zapisywać wyrażenia dwumianowane przy pomocy jednej jednostki (R – D)', 'umie rozwiązywać zadania tekstowe związane pojęciami masa brutto, netto i tara (R)', 'umie rozwiązywać zadania tekstowe związane z zastosowaniem jednostek masy (W)']","[(12, 7)]"
Jednostki monetarne – złote i grosze,Jednostki monetarne – złote i grosze,I. Liczby naturalne w dziesiątkowym układzie pozycyjnym. Uczeń: 1) zapisuje i odczytuje liczby naturalne wielocyfrowe; 3) porównuje liczby naturalne; 4) zaokrągla liczby naturalne .,100.0,"['zna zależność pomiędzy złotym a groszem (K)', 'zna nominały monet i banknotów używanych w Polsce (K)']",['umie rozwiązywać trudniejsze zadania dotyczące obliczeń pieniężnych (R –W)'],"[(1, 1), (1, 3), (1, 4)]"
Jednostki pola. Pole prostokąta,Jednostki pola. Pole prostokąta,"XI. Obliczenia w geometrii. Uczeń: 4) stosuje jednostki pola: mm 2, cm2, dm 2, m2, km2, ar, hektar ( bez zamiany jednostek w trakcie obliczeń) .",100.0,"['zna jednostki pola (K)', 'zna algorytm obliczania pola prostokąta i kwadratu (K)', 'umie obliczać pola prostokątów i kwadratów (K –P)']","['umie obliczać pola figur złożonych z kilku prostokątów (D)', 'umie wskazywać wśród prostokątów ten, którego obwód jest najmniejszy itp. (W)', 'umie obliczać długość boku kwadratu, znając jego pole (R)', 'umie obliczać długość boku prostokąta, znając jego pole i długość drugiego boku (R–D)']","[(11, 4)]"
Kolejność wykonywania działań,Kolejność wykonywania działań,"II. Działania na liczbach naturalnych . Uczeń: 4) stosuje wygodne dla niego sposoby ułatwiające obliczenia , w tym przemienność i łączność dodawania i mnożenia oraz rozdzielność mnożenia względem dodawania; 9) stosuje reguły dotyczące kolejności wykonywania działań; 10) szacuje wyniki działań .",100.0,"['zna kolejność wykonywania działań, gdy nie występują nawiasy (K)', 'zna kolejność wykonywania działań, gdy występują nawiasy (P)', 'umie obliczać wartości dwudziałaniowych wyrażeń arytmetycznych zapisanych bez użycia nawiasów (K)', 'umie obliczać wartości dwudziałaniowych wyrażeń arytmetycznych zapisanych z użyciem nawiasów (K)']","['zna kolejność wykonywania działań, gdy występują nawiasy i potęgi (R)', 'umie obliczać wartości wielodziałaniowych wyrażeń arytmetycznych z uwzględnieniem kolejności działań, nawiasów i potęg (R)', 'umie zapisywać jednocyfrowe liczby za pomocą danej cyf ry, znaków działań i nawiasów (W)', 'umie tworzyć wyrażenia arytmetyczne na podstawie opisu i obliczać ich wartości (R –D)']","[(2, 4), (2, 9), (2, 10)]"
Koła i okręgi,Koła i okręgi,"IX. Wielokąty, koła i okręgi. Uczeń: 6) wskazuje na rysunku cięciwę, średnicę oraz promień koła i okręgu; 7) rysuje cięciwę koła i okręgu, a także, jeżeli dany jest środek okręgu, promień i średnicę .",100.0,"['zna pojęcia koła i okręgu (K)', 'zna elementy koła i okręgu (K - P)', 'zna zależność między długością promienia i średnicy (P)', 'zna różnicę między kołem i okręgiem (P)', 'umie wyróżniać spośród figur płaskich koła i okręgi (K)', 'umie kreślić koło i okrąg o danym promieniu (K)', 'umie kreślić promienie, cięciwy i średnice okręgów lub kół (P)']","['umie kreślić promienie, cięciwy i średnice okręgów lub kół spełniające podane warunki (R –D)', 'umie rozwiązywać zadania związane z kołem, okręgiem, prostokątem i kwadratem (D–W)', 'umie wykorzystywać cyrkiel do porównywania długości odcinków (R –W)']","[(9, 6), (9, 7)]"
Kwadraty i sześciany liczb,Kwadraty i sześciany liczb,II. Działania na liczbach naturalnych . Uczeń: 8) oblicza kwadraty i sześciany liczb naturalnych .,100.0,"['zna pojęcie potęgi (P)', 'zna zapis potęgi (K)']","['zna związek potęgi z iloczynem (R)', 'umie obliczać kwadraty i sześciany liczb (R)', 'umie zapisywać liczby w postaci potęg (D)', 'umie rozwiązywać zadania tekstowe z zastosowaniem potęg (D–W )']","[(2, 8)]"
Kąty,Kąty,"VIII. Kąty. Uczeń: 1) wskazuje w dowolnym kącie ramiona i wierzchołek; 4) rozpoznaje kąt prosty, ostry i rozwarty; 5) porównuje kąty .",100.0,"['zna pojęcie kąta (K)', 'zna elementy kąta (P)', 'zna rodzaje kątów : prosty, ostr y, rozwarty (K)', 'zna symbol kąta prostego (P)', 'umie klasyfikować kąty: prosty, ostry, rozwarty (K –P )', 'umie kreślić poszczególne rodzaje kątów : prosty, ostry, rozwarty (K –P )']","['zna rodzaje kątów : pełny, półpełny (R), wklęsł y (D)', 'umie klasyfikować kąty: pełny, półpełny, wklęsły (R)', 'umie kreślić poszczególne rodzaje kątów : pełny, półpełny, wklęsły (R)', 'umie rysować wielokąt o określonych kątach (R)', 'umie rozwiązywać zadania związane z położeniem wskazówek zegara (D –W)', 'umie rozwiązywać zadania tekstowe związane z kątami (R)']","[(8, 1), (8, 4), (8, 5)]"
Liczby mieszane,Liczby mieszane,"IV. Ułamki zwykłe i dziesiętne. Uczeń: 1) opisuje część danej całości za pomocą ułamka; 5) przedstawia ułamki niewłaściwe w postaci liczby mieszanej, a l iczbę mieszaną w postaci ułamka niewłaściwego .",100.0,"['zna pojęcie liczby mieszanej, jako sumy części całkowitej i ułamkowej (P)', 'umie zapisywać słownie ułamek zwykły i liczbę mieszaną (K)', 'za pomocą liczb mieszanych umie opisywać liczebność zbioru skończonego (P)']","['umie obliczać upływ czasu podany przy pomocy ułamka lub liczby mieszanej (R)', 'umie zamieniać jednostki długości oraz jednostki masy wyrażone częścią innej jednostki (R)', 'umie rozwiązywać zadania tekstowe z zastosowaniem zamiany długości wyrażonych częścią innej jednostki (D –W)']","[(4, 1), (4, 5)]"
Mierzenie długości,Mierzenie długości,VII. Proste i odcinki. Uczeń: 4) mierzy odcinek z dokładnością do 1 mm .,100.0,"['zna jednostki długości (K)', 'zna zależności pomiędzy jednostkami długości (K –P)', 'rozumie możliwość stosowania różnorodnych jednostek długości (K)', 'umie zamieniać jednostki długości (K –P)', 'umie mierzyć długości odcinków (K)', 'umie kreślić odcinki danej długości (K)', 'umie kreślić odcinki, których długość spełnia określone warunki (P)', 'umie rozwiązywać zadania tekstowe związane z mierzeniem odcinków (P)']","['umie mierzyć długość łamanej (R)', 'umie kreślić łamane danej długości (R)', 'umie rozwiązywać zadania tekstowe związane z mierzeniem odcinków w trudniejszych sytuacjach (R)', 'umie kreślić łamane spełniające dane warunki (R–W)']","[(7, 4)]"
