Temat,topic,skill,match_score,Cele podstawowe,Cele ponadpodstawowe,chapter_requirements
Cechy podzielności liczb,Cechy podzielności liczb,"II. Działania na liczbach naturalnych. Uczeń: 6) rozpoznaje liczby podzielne przez 2, 3, 4, 5, 9, 10, 100; 13) odpowiada na pytania dotyczące liczebności zbiorów różnych rodzajów liczb wśród liczb z pewnego niewielkiego zakresu ( np. od 1 do 200 czy od 100 do 1000 ), o ile liczba w odpowiedzi jest na tyle mała, że wszystkie rozważane liczby uczeń może wypisać .",100.0,"['zna cechy podzielności przez 2, 5, 10, 100 ( K ) oraz 3, 9, 4 (P)', 'rozumie korzyści płynące ze znajomości cech podzielnoś ci (P)', 'umie rozpoznawać liczby podzielne przez: - 2, 5, 10, 100 (K) - 3, 9 (P) - 4 (P)']","['zna cechy podzielności np. przez 12, 15 (D - W)', 'zna regułę obliczania lat przestępnych (D)', 'umie określać, czy dany rok jest przestępny (R – D)', 'umie rozwiązywać zadania tekstowe związane z cechami podzielności (P – R)', 'umie rozpoznawać liczby podzielne przez 12, 15 itp. (D – W)', 'umie rozwiązywać zadania tekstowe związane z cechami podzielności (D – W)']","[(2, 6), (2, 13)]"
Czworokąty – podsumowanie,Czworokąty – podsumowanie,"IX. Wielokąty, koła i okręgi. Uczeń: 4) rozpoznaje i nazywa: kwadrat, prostokąt, romb, równoległobok i trapez; 5) zna najważniejsze własności kwadratu, prostokąta, rombu, równoległoboku i trapezu, (…) .",100.0,['zna nazwy czworokątów (K)'],"['zna własności czworokątów (P – R)', 'rozumie klasyfikację czworokątów (R)', 'umie nazywać czworokąty, znając ich cechy (P – R)', 'umie określać zależności między czworokątami (R – D)', 'umie rysować czworokąty spełniające podane warunki (D – W)']","[(9, 4), (9, 5)]"
Dodawanie i odejmowanie ułamków dziesiętnych,Dodawanie i odejmowanie ułamków dziesiętnych,"V. Działania na ułamkach zwykłych i dziesiętnych. Uczeń: 2) dodaje, odejmuje (…) ułamki dziesiętne w pamięci (w przykładach najprostszych), pisemnie (w przypadku gdy ułamki mają raze m co najwyżej 6 cyfr różnych od zera) i za pomocą kalkulatora (w przykładach trudnych); 3) porównuje ułam ki z wykorzystaniem ich różnicy. XIV. Zadania tekstowe. Uczeń:",100.0,"['zna algorytm dodawania i odejmowania pisemnego ułamków dzie siętnych (K)', 'zna interpretację dodawania i odejmowania ułamków dziesiętnych na osi liczbowej (P)', 'rozumie porównywanie różnicowe (P)', 'umie pamięciowo i pisemnie dodawać i odejmować ułamki dziesiętne: - o takiej samej liczbie cyfr po przecinku (K)']","['um ie pamięciowo i pisemnie dodawać i odejmować ułamki dziesiętne: - o różnej liczbie cyfr po przecinku (P – R)', 'umie uzupełniać brakujące liczby w sumach i różnicach tak, aby otrzymać ustalony wynik (R)', 'umie obliczać wartości prostych wyrażeń arytmetyczny ch zawierających dodawanie i odejmowanie ułamków dziesiętnych z uwzględnieniem kolejności działań i nawiasów (R – D)', 'umie rozwiązywać zadania tekstowe z zastosowaniem dodawania i odejmowania ułamków dziesiętnych (R)', 'umie rozwiązywać zadania tekstowe na porównywanie różnicowe (P – R)', 'umie wstawiać znaki „+” i „–” w wyrażeniach arytmetycznych tak, aby otrzymać ustalony wynik (D – W)']","[(5, 2), (5, 3)]"
Dodawanie i odejmowanie ułamków o jednakowych mianownikach,Dodawanie i odejmowanie ułamków o jednakowych mianownikach,"V. Działania na ułamkach zwykłych i dziesiętnych. Uczeń: 1) dodaje, odejmuje (…) ułamki zwykłe o mianownikach jedno - lub dwucyfrowych, a także liczby mieszane .",100.0,"['zna algorytm dodawania i odejmowania ułamków zwykłych o jednakowych mianownikach (K)', 'umie dodawać i odejmować: – ułamki o tych samych mianownikach (K) – liczby mieszane o tych samych mianownikach (K – P)', 'umie odejmować ułamki od całości (K)']","['umie uzupełniać brakujące liczby w dodawaniu i odejmowaniu ułamków o jednakowych mianownikach, tak aby otrzymać ustalony wynik (P – R)', 'umie rozwiązywać zadania tekstowe z zastosowaniem dodawania i odejmowania ułamków (P – R)', 'umie rozwiązywać zadania tekstowe z zastosowaniem dodawania i odejmowania ułamków zwykłych (D – W)']","[(5, 1)]"
Dodawanie i odejmowanie ułamków o różnych m ianownikach,Dodawanie i odejmowanie ułamków o różnych mianownikach,"IV. Ułamki zwykłe i dziesiętne. Uczeń: 4) sprowadza ułamki zwykłe do wspólnego mianownika. V. Działania na ułamkach zwykłych i dziesiętnych. Uczeń: 1) dodaje, odejmuje (…) ułamki zwykłe o mianownikach jedno - lub dwucyfrowych, a także liczby mieszane .",97.24770642201834,"['zna zasadę dodawania i odejmowania ułamków zwykłych o różnych mianownikach (K)', 'umie dodawać i odejmować: – dwa ułamki zwykłe o różnych mianownikach (P) – dwie liczby mieszane o różnych mianownikach ( P – R)', 'umie rozwiązywać zadania tekstowe z zastosowaniem dodawania i odejmowania ułamków (P – R)']","['umie dodawać i odejmować: – kilka ułamków i liczb mieszanych o różnych mianownikach (R – D)', 'umie uzupełniać brakujące liczby w dodawaniu i odejmowaniu uł amków o różnych mianownikach, tak aby otrzymać ustalony wynik (R – D)', 'umie rozwiązywać zadania tekstowe z zastosowaniem dodawania i odejmowania ułamków zwykłych (D – W)']","[(4, 4), (5, 1)]"
Dodawanie i odejmowanie w pamięci,Dodawanie i odejmowanie w p amięci,"II. Działania na liczbach naturalnych. Uczeń: 1) dodaje i odejmuje w pamięci liczby naturalne dwucyfrowe lub większe, liczbę jednocyfrową dodaje do dowolnej liczby natural nej i odejmuje od dowolnej liczby naturalnej; 4) stosuje wygodne dla niego sposoby ułatwiające obliczenia, w tym przemienność i łączność dodawania (…); 5) porównuje liczby naturalne z wykorzystaniem ich różnicy (…) .",80.59701492537313,"['zna nazwy działań i ich elementów (K)', 'rozumie porównywanie różnicowe (P)', 'rozumie korzyści płynące z szybkiego liczenia (P)', 'rozumie korzyści płynące z zastąpienia rachunków pisemnych rachunkami pamięciowymi (P)', 'umie pamięciowo dodawać i odejmować liczby: - w zakresie 100 (K) - powyżej 100 (P)', 'umie dopełniać składniki do określonej sumy (P)', 'umie obliczać odjemną (odjemnik), gdy dane s ą różnica i odjemnik (odjemna) (P)', 'umie stosować prawo przemienności i łączności dodawania (R)', 'umie rozwiązywać zadania tekstowe: – jednodziałaniowe (P) – wielodziałaniowe (R)']","['umie zastępować sumę dwóch liczb sumą lub różnicą dwóch innych liczb (P – D)', 'umie rozwiązywać nietypowe zadania tekstowe wielodziałaniowe (D – W)', 'umie uzupełniać brakujące liczby w wyrażeniu arytmetycznym, tak by otrzymać ustalony wynik (R – W)', 'umie stosować poznane metody szybkiego liczenia w życiu codziennym (R – D)', 'umie proponować własne metody szybkiego liczenia (D – W)']","[(2, 1), (2, 4), (2, 5)]"
Dodawanie liczb całkowitych,Dodawanie liczb całkowitych *,III. Liczby całkowite. Uczeń: 5) wykonuje proste rachunki pamięciowe na liczbach całkowitych .,100.0,"['zna zasadę dodawania liczb o jednakowych znakach (K)', 'zna zasadę dodawania liczb o różnych znakach (P)', 'umie obliczać sumy liczb o jednakowych znakach (K)', 'umie obliczać sumy liczb o różnych znakach (P)', 'umie dopełniać składniki do określonej sumy (P)', 'umie powiększać liczby ca łkowite (P)']","['umie obliczać sumy wieloskładnikowe (R)', 'umie korzystać z przemienności i łączności dodawania (R)', 'umie określać znak sumy (R)', 'umie rozwiązywać zadania tekstowe związane z dodawaniem liczb całkowitych (D – W)']","[(3, 5)]"
Działania na ułamkach zwykłych i dziesiętnych,Działania na ułamkach zwykłych i dziesiętnych,"IV. Ułamki zwykłe i dziesiętne. Uczeń: 8) zapisuje ułamki dziesiętne skończone w postaci ułamków zwykłych; 9) zamienia ułamki zwykłe o mianownikach będących dzielnikami liczb 10, 100, 1000 itd. na ułamki dziesiętne skończone dowolna metodą (przez rozszerza nie lub skracanie ułamków zwykłych, dzielenie licznika przez mianownik w pamięci, pise mnie lub za pomocą kalkulatora). V. Działania na ułamkach zwykłych i dziesiętnych. Uczeń: 3) porównuje ułamki z wykorzystaniem ich różnicy; 6) wykonuje działania na ułamkach dziesiętnych, używając własnych, poprawnych strategii lub za pomocą kalkulatora; 7) oblicza wartości wyrażeń arytmetycznych, wymagających stosowania działań arytmetycznych (…) liczbach zapisanych za pomocą ułamków zwykłych, liczb mieszanych i ułam ków dziesiętnych (…) z uwzględnieniem reguł dotyczących kolejności wykonywania działań, (…) .",100.0,"['zna zasadę zamiany ułamków zwykłych na ułamki dziesiętne: – metodą rozszerzania ułamka (P)', 'zna zasadę zamiany ułamków dziesiętnych na ułamki zwy kłe (K)', 'umie zamieniać ułamki dziesiętne ułamki zwykłe (K)', 'umie zamieniać ułamki ½, ¼ na ułamki dziesiętne i odwrotnie (K)']","['zna zasadę zamiany ułamków zwykłych na ułamki dziesiętne: – metodą dzielenia licznika przez mianownik (R)', 'umie zamieniać ułamki zwykłe na ułamki dziesiętne i odwrotnie (P – R)', 'umie wykonywać działania na liczbach wymiernych dodatnich (P – R)', 'umie porównywać ułamki zwykłe z ułamkami dziesiętnymi (P – R)', 'umie rozwiązywać zadania związane z rozwinięciami nieskończonymi i okresowymi ułamków (W)', 'umie rozwiązywać zadania tekstowe związane z działaniami na ułamkach zwykłych i dziesiętnych (D)', 'umie obliczać wartości wyrażeń arytmetycznych zawierających działania na liczbach wymiernych dodatnich (R – W)']","[(4, 8), (4, 9), (5, 3), (5, 6), (5, 7)]"
Działania pisemne – dodawanie i odejmowanie,Działania pisemne – dodawanie i odejmowanie,II. Działania na liczbach naturalnych. Uczeń: 2) dodaje i odejmuje liczby naturalne wielocyfrowe sposobem pisemnym i za pomocą kalkulatora .,100.0,"['zna algorytm dodawania i odejmowania pisemnego (K)', 'rozumie potrzebę stosowania dodawania i odejmowania pisemnego (K)', 'umie dodawać i odejmować pisemnie liczby bez przekraczania progu dziesiątkowego i z przekraczaniem jednego progu dziesiątkowego (K)', 'umie dodawać i odejmować pisemnie liczby z przekraczaniem kolejnych progów dziesiątkowych (P)']","['umie porównywać różnicowo liczby (K – R)', 'umie rozwiązywać zadania tekstowe z zastosowaniem dodawania i odejmowania pisemnego (P – R)', 'umie odtwarzać brakujące cyfry w odejmowaniu pisemnym (D – W)', 'umie rozwiązywać zadania tekstowe z zastosowaniem dodawania i odejmowania pisemnego (D – W)']","[(2, 2)]"
Działania pisemne – mnożenie,Działania pisemne – mnożenie,"II. Działania na liczbach naturalnych. Uczeń: 3) mnoży (…) liczbę naturalną przez liczbę naturalną jednocyfrową, dwucyfrową lub trzycyfrową sposobem pisemnym, w pamięci (w najprostszych przykładach) i za pomocą kalkulatora (w trudniejszych przykładach) .",100.0,"['zna algorytmy dzielenia pisemnego (K)', 'umie dzielić pisemnie liczby wielocyfrowe przez jednocyfro we (K)', 'umie dzielić pisemnie liczby wielocyfrowe przez dwucyfrowe (P)', 'umie dzielić liczby zakończone zerami (P)']","['umie pomniejszać liczby n razy (K – R)', 'umie obliczać dzielną (dzielnik), gdy dane są iloraz i dzielnik (dzielna) (R)', 'umie rozwiązywać zadania tekstowe z zastosowaniem dzielenia pisemnego (P – R)', 'umie odtwarzać brakujące cyfry w dzieleniu pisemnym (D – W)', 'umie rozwiązywać zadania tekstowe z zastosowaniem działań pisemnych (D)']","[(2, 3)]"
