Temat,topic,skill,match_score,Cele podstawowe,Cele ponadpodstawowe,chapter_requirements
Czas,Czas,"XII. Obliczenia praktyczne. Uczeń: 3) wykonuje proste obliczenia zegarowe na godzinach, minutach i sekundach; 6) za mienia i prawidłowo stosuje jednostki długości: milimetr, centymetr, decymetr, metr, kilometr; 9) w sytuacji praktycznej oblicza: (…) czas przy danej drodze i prędkości (…).",100.0,"['umie obliczyć czas w ruchu jednostajnym, znając drogę i prędkość (P - R)']","['umie rozwiązać zadanie tekstowe związane z obliczaniem czasu (R)', 'umie rozwiązać nietypowe zadanie tekstowe związane z obliczaniem czasu (D - W)']","[(12, 3), (12, 6), (12, 9)]"
Czworokąty i inne wielokąty,Czworokąty i inne wielokąty,"IX. Wielokąty, koła i okręgi. Uczeń: 4) rozpoznaje i nazywa: kwadrat, prostokąt, romb, równoległobok i trapez; 5) zna najważniejsze własności kwadratu, prostokąta, rombu, r ównoległoboku i trapezu. (…). XI. Obliczenia w geometrii . Uczeń: 2) oblicza obwód wielokąta o danych długościach boków. XIV. Zadania tekstowe. Uczeń : 2) wykonuje wstępne czynności ułatwiające rozwiązanie zadania, w tym rysunek pomocniczy lub wygodne dla niego zapisanie infor macji i danych z treści zadania; 5) d o rozwiązywania zadań osadzonych w kontekście praktycznym stosuje poznaną wiedzę z zakresu (…) geometrii oraz nabyte umiejętności rachunkowe (…); 6) weryfikuje wynik zadania tekstowego, oceniając sensowność rozwiązania (…).",100.0,"['zna nazwy czworokątów (K)', 'zna i rozumie własności czworokątów (K - P)', 'zna definicję przekątnej oraz obwodu wielokąta (K)', 'zna i rozumie zależność między liczbą boków, wierzchołków i kątów w wielokącie (K)', 'umie sklasyfikować czworokąty (P - R)', 'umie narysować czworokąt, mając informacje o: – bokach (K - R) – przekątnych (P - R)', 'umie wskazać na rysunku wielokąt o określonych cechach (K - P)', 'umie obliczyć obwód czworokąta (K - P)', 'umie rozwiązać zadanie tekstowe związane z obwodem czworokąta (P - R)']","['umie skonstruować kopię czworokąta (R)', 'umie skonstruować równoległobok, znając dwa boki i przekątną (R)', 'umie skonstruować trapez równoramienny, znając jego podstawy i ramię (D - W)', 'umie rozwiązać nietypowe zadanie tekstowe związane z obwodem wielokąta (R - W)']","[(9, 4), (9, 5), (11, 2), (14, 2), (14, 5), (14, 6)]"
Diagramy procentowe,Diagramy procentowe,"XII. Obliczenia praktyczne. Uczeń: 1) interpretuje 100% danej wielkości jako całość, 50% – jako połowę, 25% – jako jedną czwartą, 10% – jako jedną dziesiątą, 1% – jako jedną setną części danej wielkości liczbowej. XIII. Elementy statystyki opisowej. Uczeń: 1) gromadzi i porządkuje dane; 2) odczytuje i interpretuje dane przedstawione w tekstach, tabelach, na diagramach (…).",100.0,"['zna pojęcie diagramu (K)', 'rozumie potrzebę stosowania różnych diagramów (P)', 'umie odczytać dane z diagramu (K - R)', 'umie odpowiedzieć na pytanie dotyczące znalezionych danych (K - R)', 'umie przedstawić dane w postaci diagramu słupkowego (K - R)']",['umie porównać dane z dwóch diagramów i odpowiedzieć na pytania dotyczące znalezionych danych (D - W)'],"[(12, 1), (13, 1), (13, 2)]"
Dodawanie i odejmowanie,Dodawanie i odejmowanie,III. Liczby całkowite. Uczeń:,100.0,"['zna i rozumie zasadę dodawania liczb o jednakowych znakach (K)', 'zna i rozumie zasadę dodawania liczb o różnych znakach (K)', 'zna i rozumie zasadę zastępowania odejmowania dodawaniem liczby przeciwnej (P)', 'umie obliczyć sumę i różnicę liczb :', '- całkowitych (K - P)', '- wymiernych (P - R)', 'umie korzystać z przemienności i łączności dodawania (P)', 'umie powiększyć lub pomniejszyć liczbę całkowitą o daną liczbę (K - R)', 'umie uzupełnić brakujące składniki, odjemną lub odjemnik w działaniu (P - R)']",['umie obliczyć sumę wieloskładnikową (R)'],[]
Droga,Droga,"XII. Obliczenia praktyczne. Uczeń: 6) zamienia i prawidłowo stosuje jednostki długości: milimetr, centymetr, decymetr, metr, kilometr; 9) w sytuacji praktycznej oblicza: drogę przy danej prędkości i czasie (…).",100.0,"['umie na podstawie podanej prędkości wyznaczać długość drogi przebytej w jednostce czasu (K)', 'umie obliczyć drogę, znając stałą prędkość i czas (K - R)', 'umie rozwiązać zadanie tekstowe związane z obliczaniem drogi (P - R)']",['umie rozwiązać nietypowe zadanie tekstowe związane z obliczaniem drogi w ruchu jednostajnym (D - W)'],"[(12, 6), (12, 9)]"
"Droga, prędkość, czas","Droga, prędkość, czas","XII. Obliczenia praktyczne. Uczeń: 3) wykonuje proste oblic zenia zegarowe na godzinach, minutach i sekundach; 6) zamienia i prawidłowo stosuje jednostki długości: milimetr, centymetr, decymetr, metr, kilometr; 9) w sytuacji praktycznej oblicza: drogę przy danej prędkości i czasie, prędkość przy danej drodze i czasie, czas przy danej drodze i prędkości oraz stosuje jednostki prędkości km/h i m/s.",100.0,['umie rozwiązać zadanie tekstowe typu prędkość – droga – czas (P - R)'],['umie rozwiązać nietypowe zadanie tekstowe typu prędkość – droga – czas (D- W)'],"[(12, 3), (12, 6), (12, 9)]"
Działania na ułamkach zwykłych,Działania na ułamkach zwykłych,"IV. Ułamki zwykłe i dziesiętne. Uczeń: 1) opisuje część danej całości za pomocą ułamka; 2) przedstawia ułamek jako iloraz liczb naturalnych, a iloraz liczb naturalnych jako ułamek zwykły; 3) skraca i rozszerza ułamki zwykłe; 4) sprowadza ułamki zwykłe do wspólnego mianownika; 5) przedstawia ułamki niewłaściwe w postaci liczby mieszanej, a liczbę mieszaną w postaci ułamka niewłaściwego; 7) zaznacza i odczytuje ułamki zwykłe (…) na osi liczbowej oraz odczytuje ułamki zwykłe (…) zaznaczone na osi liczbowej; 12) porównuje ułamki (zwykłe (…)). V. Działania na ułamkach zwykłych i dziesiętnych. Uczeń: 1) dodaje, odejmuje, mnoży i dzieli ułamki zwykłe o mianownikach jedno - lub dwucyfrowych, a także liczby mieszane; 4) oblicza ułamek danej liczby całkowitej; 5) oblicza kwadraty (…) ułamków zwykłych (...) oraz liczb mieszanych; 7) oblicza wartości wyrażeń arytmetycznych, wymagających stosowania działań arytmetycznych ( …) na liczbach zapisanych za pomocą ułamków zwykłych, liczb mieszanych (…) z uwzględnieniem reguł dotyczących kolejności wykonywania działań, (…). XIV. Zadania tekstowe. Uczeń: 1) czyta ze zrozumieniem tekst zawierający informacje liczbowe; 3) dostrzega zależności między podanymi informacjami; 5) do rozwiązywania zadań osadzonych w kontekście praktycznym stosuje poznaną wiedzę z zakresu arytmetyki (…) oraz nabyte umiejętności rachunkowe, a także własne poprawne metody.",100.0,"['zna i rozumie zasadę skracania i rozszerzania ułamków zwykłych (K)', 'zna i rozumie pojęcie ułamka nieskracalnego (K)', 'zna i rozumie pojęcie ułamka jako: – ilorazu dwóch liczb naturalnych (K) – części całości (K)', 'zna i rozumie algorytm zamiany liczby mieszanej na ułamek niewłaściwy i odwrotnie (K)', 'zna i rozumie algorytmy czterech działań na ułamkach zwykłych (K)', 'umie zaznaczyć i odczytać ułamek na osi liczbowej (K - R)', 'umie wyciągać całości z ułamków niewłaściwych oraz zamieniać liczby mieszane na ułamki niewłaściwe (K)', 'umie dodawać, odejmować, mnożyć i dzielić ułamki zwykłe (K - P)', 'umie obliczyć ułamek z: – liczby naturalnej (K) – ułamka lub liczby mieszanej (P - R)', 'umie obliczyć wartość wyrażenia arytmetycznego zawierającego cztery działania oraz potęgowanie ułamków zwykłych (K - P)', 'umie rozwiązać zadanie tekstowe z zastosowaniem działań na ułamkach zwykłych (K - P )']","['umie obliczyć wartość wyrażenia arytmetycznego zawierającego cztery działania oraz potęgowanie ułamków zwykłych (R - W )', 'umie obliczyć wartość ułamka piętrowego (R - D)', 'umie rozwiązać nietypowe zadanie tekstowe z zastosowaniem działań na ułamkach zwykłych (D- W)']","[(4, 1), (4, 2), (4, 3), (4, 4), (4, 5), (4, 7), (4, 12), (5, 1), (5, 4), (5, 5), (5, 7), (14, 1), (14, 3), (14, 5)]"
Działania pisemne na ułamkach dziesiętnych,Działania pisemne na ułamkach dziesiętnych,V. Działania na ułamkach zwykłych i dzi esiętnych. Uczeń:,100.0,"['zna i rozumie algorytmy czterech działań pisemnych (K)', 'rozumie potrzebę stosowania działań pisemnych (K)', 'umie pisemnie wykonać każde z czterech działań na ułamkach dziesiętnych (K - P)', 'umie obliczyć kwadrat i sześcian ułamka dziesiętnego (K - P)']","['umie rozwiązać zadanie tekstowe z zastosowaniem działań na liczbach naturalnych i ułamkach dziesiętnych (R)', 'umie rozwiązać nietypowe zadanie tekstowe z zastosowaniem działań na liczbach naturalnych i ułamkach dziesiętnych (D - W)']",[]
Graniastosłupy proste,Graniastosłupy proste,X. Bryły. Uczeń: 1) rozpoznaje graniastosłupy proste (…) i wskazuje te bryły wśród innych modeli brył; 3) rozpoznaje siatki graniastosłupów prostych (…); 5) wykorzystuje podane zależności między długościami krawędzi graniastosłupa do wyznaczania długości poszczególnych krawędzi.,100.0,"['zna cechy charakteryzujące graniastosłup prosty (K)', 'zna nazwy graniastosłupów prostych w zależności od podstawy (K)', 'umie wskazać graniastosłup prosty wśród innych brył (K)', 'umie określić liczbę ścian, wierzchołków, krawędzi danego graniastosłupa (P)', 'umie wskazać w graniastosłupie ściany i krawędzie prostopadłe lub równoległe (P)', 'umie wskazać w graniastosłupie krawędzie o jednakowej długości (K)']","['rozumie, że podstawą graniastosłupa prostego nie zawsze jes t ten wielokąt, który leży na poziomej płaszczyźnie (R)', 'umie określać cechy graniastosłupa znajdującego się na rysunku (D)', 'umie oceniać możliwość zbudowania z prostopadłościanów zadanego graniastosłupa (W)', 'umie wskazać w graniastosłupie ściany i krawędzie prostopadłe lub równoległe (R - W)']","[(10, 1), (10, 3), (10, 5)]"
Jaki to procent?,Jaki to procent?,"IV. Ułamki zwykłe i dziesiętne. Uczeń: 1) opisuje część danej całości za pomocą ułamka. V. Działania na ułamkach zwykłych i dziesiętnych. Uczeń 4) oblicza ułamek danej liczby całkowitej. XII. Obliczenia praktyczne. Uczeń: 1) inter pretuje 100% danej wielkości jako całość, 50% – jako połowę, 25% – jako jedną czwartą, 10% – jako jedną dziesiątą, 1% – jako jedną setną części danej wielkości liczbowej; 2) w przypadkach osadzonych w kontekście praktycznym oblicza procent danej wielkości w stopniu trudności typu 50%, 20%, 10%.",100.0,"['zna algorytm zamiany ułamków na procenty (K - P)', 'rozumie równoważność wyrażania części liczby ułamkiem lub procentem (P)', 'umie opisywać w procentach części skończonych zbiorów (K - R)', 'umie zamienić ułamek na procent (K - R)', 'umie określić, jakim procentem jednej liczby jest druga (P - R)', 'umie rozwiązać zadanie tekstowe związane z określeniem, jakim procentem jednej liczby jest druga (P - R)']","['umie rozwiązać nietypowe zadanie tekstowe związane z określeniem, jakim procentem jednej liczby jest druga (D - W)']","[(4, 1), (5, 4), (12, 1), (12, 2)]"
Jaki to procent? (cd.) Obliczenia za pomocą kalkulatora,Jaki to procent? (cd.) Obliczenia za pomocą kalkulatora*,"IV. Ułamki zwykłe i dziesiętne. Uczeń: 10) zapisuje ułamki zwykłe o mianownikach innych niż wymienione w pkt 9 w postaci rozwinięcia dziesiętnego nieskończonego, uzyskane w wyniku dzielenia licznika przez mianownik (...) za pomocą kalkulatora; 11) w sytuacjach praktycznych zaokrągla ułamki dziesiętne do co najwyżej drugiego miejsca po przecinku (zł, gr, m, cm, mm itp.). XII. Obliczenia praktyczne. Uczeń: 1) interpretuje 100% danej wielkości jako całość, 50% – jako połowę, 25% – jako jedną czwartą, 10% – jako jedną dziesiątą, 1% – jako jedną setną części danej wielkości liczbowej; 2) w przypadkach osadzonych w kontekście praktycznym oblicza procent d anej wielkości w stopniu trudności typu 50%, 20%, 10%.",100.0,"['zna zasady zaokrąglania liczb (P)', 'rozumie korzyści płynące z umiejętności stosowania kalkulatora do obliczeń (K)', 'umie zaokrąglić ułamek dziesiętny i wyrazić go w procentach (P)', 'umie opisywać w procentach części skończonych zbiorów (K - R)', 'umie zamienić ułamek na procent (K - R)', 'umie określić, jakim procentem jednej liczby jest druga (P - R)', 'umie rozwiązać zadanie tekstowe związane z określeniem, jakim procentem jednej liczby jest druga (P - R)']","['umie rozwiązać niety powe zadanie tekstowe związane z określeniem, jakim procentem jednej liczby jest druga (D - W)']","[(4, 10), (4, 11), (12, 1), (12, 2)]"
Jednostki długości i jednostki masy,Jednostki długości i jednostki masy,"XII. Obliczenia praktyczne . Uczeń: 6) zamienia i prawidłowo stosuje jednostki długości: milimetr, centymetr, decymetr, metr, kilometr; 7) zamienia i prawidłowo stosuje jednostki masy: gram, dekagram, kilogram, tona. XIV. Zadania tekstowe. Uczeń: 1) czyta ze zrozumieniem tekst zawierający informacje liczbowe; 3) dostrzega zależności między podanymi informacjami; 5) do rozwiązywania zadań osadzonych w kontekście praktycznym stosuje poznaną wiedzę z zakresu arytmetyki i geometrii oraz nabyte umiejętności rachunkowe (…).",100.0,"['zna jednostki długości (K)', 'zna jednostki masy (K)', 'rozumie potrzebę stosowania różnorodnych jednostek długości i masy (K)', 'umie wykonać obliczenia dotyczące długości (K -P)', 'umie wykonać obliczenia dotyczące masy (K -P)', 'umie zamienić jednostki długości i masy (K - P)', 'umie wyrażać w różnych jednostkach te same masy (P - R)', 'umie wyrażać w różnych jednostkach te same długości (P - R)', 'umie porządkować wielkości podane w różnych jednostkach (P - R)', 'umie rozwiązać zadanie tekstowe związane z jednostkami długości i masy (P - R)']",['umie rozwiązać nietypowe zadanie tekstowe związane z jednostkami długości i masy (D- W)'],"[(12, 6), (12, 7), (14, 1), (14, 3), (14, 5)]"
Kalendarz i czas,Kalendarz i czas,"I. Liczby naturalne w dziesiątkowym układzie pozycyjnym. Uczeń: 5) liczby w zakresie do 3 000 zapisane w systemie rzymskim przedstawia w systemie dziesiątkowym, a zapisane w systemie dziesiątk owym przedstawia w systemie rzymskim. XII. Obliczenia praktyczne. Uczeń:",100.0,"['zna zasady dotyczące lat przestępnych (P)', 'zna jednostki czasu (K)', 'zna i rozumie zapisywanie i odczytywanie dat w systemie rzymskim (K - P)', 'rozumie konieczność wprowadzenia lat przestępnych (P)', 'umie podać przykładowe lata przestępne (P)', 'umie obliczyć upływ czasu między wydarzeniami (K - P)', 'umie porządkować wydarzenia w kolejności chronologicznej (K)', 'umie zamienić jednostki czasu (K - R)']","['zna i rozumie jednostki w różnych systemach metrycznych (D- W )', 'umie rozwiązać nietypowe zadanie tekstowe związane z kalendarzem i czasem (D - W)']","[(1, 5)]"
Kalkulator,Kalkulator,"II. Działania na liczbach naturalnych. Uczeń: 2) dodaje i odejmuje liczby naturalne wielocyfrowe sposo bem pisemnym i za pomocą kalkulatora; 3) mnoży i dzieli liczbę naturalną przez liczbę naturalną jednocyfrową, dwucyfrową lub trzycyfrową sposobem pisemnym , w pamięci (w najprostszych przykładach) i za pomocą kalkulatora (w trudniejszych przykładach). IV. Ułamki zwykłe i dziesiętne. Uczeń: 9) zamienia ułamki zwykłe o mianownikach będących dzielnikami liczb 10, 100, 1000 itd. na ułamki dziesiętne skończone dowolną metodą ((…) lub za pomocą kalkulatora). V. Działania na ułamkach zwykłych i dziesiętnych. Uczeń: 2) dodaje, odejmuje, mnoży i dzieli ułamki dziesiętne w pamięci (w przykładach najprostszych), (…) i za pomocą kalkulatora (w pr zykładach trudniejszych); 6) wykonuje działania na ułamkach dziesiętnych, używając własnych, poprawnych strategii lub za pomocą kalkulatora. XIV. Zadania tekstowe. Uczeń: 1) czyta ze zrozumieniem tekst zawierający informacje liczbowe; 3) dostrzega zależności między podanymi informacjami; 5) do rozwiązywania zadań osadzonych w kontekście praktycznym stosuje poznaną wiedzę z zakresu arytmetyki i geometrii oraz nabyte umiejętności rachunkowe (…).",100.0,"['zna funkcje podstawowych klawiszy (K)', 'rozumie korzyści płynące z umiejętności stosowania kalkulatora do obliczeń (K)', 'umie sprawdzić, czy kalkulator zachowuje kolejność działań (P)', 'umie wykonać obliczenia za pomocą kalkulatora (K - R)', 'umie wykorzystać kalkulator do rozwiązania zadanie tekstowego (P - R)', 'umie rozwiązać zadanie, odczytując dane z tabeli i korzystając z kalkulatora (P - R)']","['zna funkcje klawiszy pamięci kalkulatora (R)', 'umie wykonać wielodziałaniowe obliczenia za pomocą kalkulatora (D - W)', 'umie wykorzystać kalkulator do rozwiązania zadanie tekstowego (D - W)']","[(2, 2), (2, 3), (4, 9), (5, 2), (5, 6), (14, 1), (14, 3), (14, 5)]"
Kąty,Kąty,"VIII. Kąty. Uczeń: 1) wskazuje w dowolnym kącie ramiona i wierzchołek; 2) mierzy z dokładnością do 1° kąty mniejsze niż 180°; 3) rysuje kąty mniejsze od 180°; 4) rozpoznaje kąt prosty, ostry i rozwarty; 5) porównuje kąty; 6) rozpoznaje kąty wierzchołkowe i przyległe oraz korzys ta z ich własności. XI. Obliczenia w geometrii. Uczeń: 7) oblicza miary kątów, stosując przy tym poznane własności kątów (…).",100.0,"['zna pojęcie kąta (K)', 'zna pojęcie wierzchołka i ramion kąta (K)', 'zna podział kątów ze względu na miarę: – prosty, ostry, rozwarty(K), – pełny, półpełny (P)', 'zna podział kątów ze względu na położenie: – przyległe, wierzchołkowe (K)', 'zna zapis symboliczny kąta i jego miary (K)', 'rozumie związki miarowe poszczególnych rodzajów kątów (K - P)', 'umie zmierzyć kąt (K)', 'umie narysować kąt o określonej mierze (K - P)', 'umie rozróżniać i nazywać poszc zególne rodzaje kątów (K - R)', 'umie obliczyć brakujące miary kątów przyległych, wierzchołkowych (P)', 'umie rozwiązać zadanie związane z zegarem (P)']","['zna podział kątów ze względu na miarę: – wypukły, wklęsły (R)', 'zna podział kątów ze względu na położenie: – odpowiadające, naprzemianległe (R)', 'umie obliczyć brakujące miary kątów odpowiadających, naprzemianległych (R)', 'umie rozwiązać zadanie związane z zegarem (D -W)', 'umie określić miarę kąta przyległego, wierzchołkowego, odpowiadającego, naprzemianległego na podstawie rysunku lub treści zadania (D- W)']","[(8, 1), (8, 2), (8, 3), (8, 4), (8, 5), (8, 6), (11, 7)]"
Kąty w trójkątach i czworokątach,Kąty w trójkątach i czworokątach,"VIII. Kąty. Uczeń: 6) rozpoznaje kąty wierzchołkowe i przyległe oraz korzysta z ich własności. IX. Wielokąty, koła i okręgi. Uczeń: 3) stosuje twierdzenie o sumie kątów wewnętrznych trójkąta; 5) zna najważniejsze własności kwadratu, prostokąta, rombu, równoległoboku i trapezu (…); 8) w trójkącie równoramiennym wyznacza przy danym jednym kącie miary p ozostałych kątów (…). XI. Obliczenia w geometrii. Uczeń: 1) oblicza miary kątów, stosując przy tym poznane własności kątów i wielokątów.",100.0,"['zna sumę miar kątów wewnętrznych trójkąta (K)', 'zna miary kątów w trójkącie równobocznym (P)', 'zna i rozumie zależność między kątami w trójkącie równoramiennym (P)', 'zna sumę miar kątów wewnętrznych czworokąta (K)', 'zna i rozumie zależność między kątami w trapezie, równoległoboku (P)', 'umie obliczyć brakujące miary kątów trójkąta (K - P)', 'umie obliczyć brakujące miary kątów czworokątów (P - R)']","['zna definicję wielokąta foremnego ( W)', 'umie obliczyć brakujące miary kątów trójkąta lub czworokąta na rysunku z wykorzystaniem miar kątów przyległych, wierzchołkowych, naprzemianległych, odpowiadających oraz własności trójkątów lub czworokątów (R - W )', 'umie rozwiązać zadanie tekstowe związane z miarami kątów w trójkątach i czworokątach (D - W)']","[(8, 6), (9, 3), (9, 5), (9, 8), (11, 1)]"
Liczba spełniająca równanie,Liczba spełniająca równanie,"VI. Elementy algebry. Uczeń: 3) rozwiązuje równania pierwszego stopnia z jedną niewiadomą występującą po jednej stronie równania (poprzez zgadywanie, dopełnianie lub wykonanie działania odwrotnego) (…).",100.0,"['zna pojęcie rozwiązania równania (K)', 'zna pojęcie liczby spełniającej równanie (K)', 'umie odgadnąć rozwiązanie równania (K - P)', 'umie podać rozwiązanie prostego równania (K - R)', 'umie sprawdzić, czy liczba spełnia równanie (K - P)']","['umie uzupełnić równanie tak, aby spełniała je podana liczba (R)', 'umie wskazać równanie, które nie ma roz wiązania (D)', 'umie zapisać zadanie tekstowe za pomocą równania i odgadnąć jego rozwiązanie (D - W)']","[(6, 3)]"
Mnożenie i dzielenie,Mnożenie i dzielenie,"III. Liczby całkowite. Uczeń: 5) wykonuje proste rachunki pamięciowe na liczbach całkowitych V. Działania na ułamkach zwykłych i dziesiętnych. Uczeń: 7) oblicza wartości wyrażeń arytmetycznych, wymagających stosowania działań na liczbach całkowitych lub liczbach zapisanych z a pomocą ułamków zwykłych, lub mieszany ch i ułamków dziesiętnych, także wymiernych.",100.0,"['zna zasadę ustalania znaku iloczynu i ilorazu (K)', 'umie obliczyć iloczyn i iloraz liczb całkowitych (K)', 'umie obliczyć kwadrat i sześcian liczb całkowitych (P - R)', 'umie ustalić znak iloczynu i ilorazu kilku liczb wymiernych (P)']","['umie ustalić znak wyrażenia arytmetycznego zawierającego k ilka liczb wymiernych (R)', 'umie obliczyć potęgę liczby wymiernej ( W )']","[(3, 5), (5, 7)]"
Objętość graniastosłupa prostego*,Objętość graniastosłupa,Umiejętności nieujęte w podstawie programowej.,83.63636363636364,"['zna pojęcie objętości figury (K)', 'zna jednostki objętości (K)', 'zna i rozumie zależności pomiędzy jednostkami objętości (P - R)', 'zna wzór na obliczanie objętości prostopadłościanu i sześcianu (K)', 'zna wzór na obliczanie objętości graniastosłupa prostego (P)', 'rozumie pojęcie miary objętości jako liczby sześcianów jednostkowych (K)']","['umie rozwiązać nietypowe zadanie tekstowe związane z objętością graniastosłupa prostego (D- W)', 'umie obliczać objętości graniastosłupów prostych o podanych siatkach (R – D)']",[]
