Temat,topic,skill,match_score,Cele podstawowe,Cele ponadpodstawowe,chapter_requirements
Czytanie diagramów,Czytanie diagramów,"V. Obliczenia procentowe. Uczeń: 1) przedstawia część wielkości jako procent tej wielkości; 2) oblicza liczbę a równą p procent danej liczby b ; 3) oblicza, jaki procent danej liczby b stanowi liczba a ; 4) oblicza liczbę b , której p procent jest równe a . XIII. Odczytywanie danych i elementy statystyki opisowej. Uczeń: 1) interpretuje dane przedstawione za pomocą tabel, diagramów słupkowych i kołowych, wykresów, w tym także wykresów w układzi e współrzędnych.",100.0,"['zna pojęcie diagramu (K)', 'rozumie pojęcie diagramu (K)', 'umie odczytać informacje przedstawion e na diagramie (K)', 'umie analizować informacje odczytane z diagramu (P)', 'umie przetwarzać informacje odczytane z diagramu (P)', 'umie interpretować informacje odczytane z diagramu (K - P)', 'umie wykorzystać informacje w praktyce (K - P)']","['umie porównać informacje odczy tane z różnych diagramów (R)', 'umie analizować informacje odczytane z różnych diagramów (R - W)', 'umie przetwarzać informacje odczytane z różnych diagramów (R - W)', 'umie interpretować informacje odczytane z różnych diagramów (R -W)', 'umie wykorzystać informacje w prak tyce (R- W)']","[(5, 1), (5, 2), (5, 3), (5, 4), (13, 1)]"
Dowodzenie w geometrii,Dowodzenie w geometrii,VIII. Własności figur geometrycznych na płaszczyźnie. Uczeń: 8) przeprowadza dowody geometryczne nie trudniejsze niż w przykładach.,100.0,"['zna podstawowe własności figur geometrycznych (K)', 'umie wykonać rysunek ilustrujący zadanie (P)', 'umie wprowadzić na rysunku dodatkowe oznaczenia (P)', 'umie dostrzegać zależn ości pomiędzy dowodzonymi zagadnieniami a poznaną teorią (P)', 'umie podać argumenty uzasadniające tezę (P - R)', 'umie przedstawić zarys, szkic dowodu (P - R)', 'umie przeprowadzić prosty dowód (P - R)']","['umie zapisać dowód, używając matematycznych symboli (R - D)', 'umie przeprowadzić dowód (R- D)']","[(8, 8)]"
Dwusieczna kąta,Dwusieczna kąta,XV. Symetrie. Uczeń: 1) rozpoznaje symetralną odcinka i dwusieczn ą kąta; 2) zna i stosuje w zadaniach podstawowe własności symetralnej odcinka i dwusiecznej kąta.,100.0,"['zna pojęcie dwusiecznej kąta i jej własności (K - P)', 'rozumie pojęcie dwusiecznej kąta i jej własności (K - P)', 'umie konstruować dwusieczną kąta (K)']","['umie dzielić kąt na 2 n równych części (R)', 'wykorzystuje własności dwusiecznej kąta w zadaniach (D- W)', 'umie konstruować kąty o miarach 15 0 , 30 0, 600, 90 0,45 0 oraz 22,5 0 (R- D)']","[(15, 1), (15, 2)]"
Dział ania na liczbach,Działania na liczbach,"Powtórzenie i utrwalenie umiejętności z zakresu podstawy programowej dla klas IV -VI oraz II. Pierwiastki. Uczeń: 1) oblicza wartości pierwiastków kwadratowych i sześciennych z liczb, które są odpowiednio kwadratami lub sześcianami liczb w ymiernych.",97.67441860465115,"['zna algorytmy działań na ułamkach (K)', 'zna reguły dotyczące kolejności wykonywania działań (K)', 'zna zasadę zamiany jednostek (P)', 'umie zamieniać jednostki (K - P)', 'umie wykonać działania łączne na liczbach (K - P)', 'umie rozwiązać zadania tekstowe związane z działaniami na liczbach (P)', 'umie oszacować wynik działania (K - R)', 'umie zaokrąglić liczby do podanego rzędu (K - P)']","['umie wykonać działania łączne na liczbach (R - D)', 'umie porównać liczby przedstawione na różne sposoby (R - D)', 'umie rozwiązać zadania tekstowe dotyczące różnych sposobów zapisywania liczb (R - D)', 'umie rozwiązać zadania tekstowe związane z działaniami na liczbach (R - D)']","[(2, 1)]"
Działania na potęgach,Działania na potęgach i pierwiastkach,"I. Potęgi o podstawach wymiernych. Uczeń: 2) mnoży i dzieli p otęgi o wykładnikach całkowitych dodatnich; 3) mnoży potęgi o różnych podstawach i jednakowych wykładnikach; 4) podnosi potęgę do potęgi; 5) odczytuje i zapisuje liczby w notacji wykładniczej∙ 10 , gdy 1 ≤< 10 , k jest liczbą całkowitą. II. Pierwiastki. Uczeń: 1) oblicza wartości pierwiastków kwadratowych i sześciennych z liczb, które są odpowiednio kwadratami lub sześcianami liczb w ymiernych; 2) szacuje wielkość danego pierwiastka kwadratowego lub sześciennego oraz wyrażenia arytmetycznego zawierającego pierwiastki; 3) porównuje wartość wyrażenia arytmetycznego zawierającego pierwiastki z daną liczbą wymierną oraz znajduje liczby wymierne większe lub mniejsze od takiej wartości; 4) oblicza pierwiastek z iloczynu i ilorazu dwóc h liczb, wyłącza liczbę przed znak pierwiastka i włącza liczbę pod znak pierwiastka; 5) mnoży i dzieli pierwiastki tego samego stopnia.",72.41379310344827,['zna własności działań na potęgach i pierwiastkach (K)'],['umie oszacować wartość wyrażenia zawierającego pierwiastki'],"[(1, 2), (1, 3), (1, 4), (1, 5), (2, 1), (2, 2), (2, 3), (2, 4), (2, 5)]"
Ile jest możliwości?,Ile jest możliwości?,Umiejętności nieujęte w podstawie programowej.,100.0,"['wie, że wyniki doświadczeń losowych można przedstawić w różny sposób (P)', 'umie opisać wyniki doświadczeń losowych lub przedstawić je za pomocą tabeli (P)', 'umie obliczyć liczbę możliwych wyników, wykorzystując spo rządzony przez siebie opis lub tabelę (P)', 'umie obliczyć liczbę możliwych wyników przy dokonywaniu dwóch wyborów, stosując regułę mnożenia (P - R)']","['umie obliczyć liczbę możliwych wyników przy dokonywaniu trzech i więcej wyborów, stosując regułę mnożenia (R - D)', 'umie obliczyć liczbę możliwych wyników, stosując regułę mnożenia oraz regułę dodawania (R- D)', 'umie obliczyć liczbę możliwych wyników, stosując własne metody (R - W)']",[]
Liczba . Długość okręgu,Liczba . Długość okręgu,XIV. Długość okręgu i pole koła. Uczeń: 1) oblicza długość okręgu o danym promieniu lub danej średnicy; 2) oblicza promień lub średnicę okręgu o danej długości okręgu.,100.0,"['zna wzór na obliczanie długości okręgu (K)', 'zna liczbę \uf070 (K)', 'umie obliczyć długość okręgu, znając jego promień lub średnicę (K - P)', 'umie wyznaczyć promień lub średnicę okręgu, znając jego długość (P)', 'umie obliczyć obwód figury składającej się wielokrotności ćwiartek okręgu (P)', 'umie rozwiązać zadania tekstowe związane z porównywaniem obwodów figur (P)']","['rozumie sposób wyznaczenia liczby \uf070 (R)', 'umie rozwiązać zadania tekstowe związane z długością okręgu (R - D)', 'umie rozwiązać zadania tekstowe związane z porównywaniem obwodów figur (R - D)']","[(14, 1), (14, 2)]"
Objętość ostrosłupa,Objętość ostrosłupa,"XI. Geometria przestrzenna. Uczeń: 1) rozpoznaje graniastosłupy i ostrosłupy – w tym proste i prawidłowe; 3) oblicza objętości ostrosłupów i pola powierzchni ostrosłupów prawidłowych i takich, które nie są prawidłowe w zadaniach nie trudniejszych niż w przykładzie.",100.0,"['zna wzór na obli czanie objętości ostrosłupa (K)', 'rozumie pojęcie objętości figury (K)', 'umie obliczyć objętość ostrosłupa (K – P)']","['umie obliczyć objętość ostrosłupa (R)', 'umie rozwiązać zadanie tekstowe związa ne z objętością ostrosłupa (R – W)', 'umie rozwiązać zadanie tekstowe związane z objętością ostrosłupa']","[(11, 1), (11, 3)]"
Obliczanie prawdopodobieństw,Obliczanie prawdopodobieństw,"XII. Wprowadzenie do kombinatoryki i rachunku prawdopodobieństwa. Uczeń: 1) wyznacza zbiory obiektów, analizuje i oblicza, ile jest obiektów, mających daną własność, w przypadkach niewymagających stosowania reguł mnożenia i dodawania;",100.0,"['zna pojęcie zdarzenia losowego (K)', 'zna wzór na obliczanie prawdopodobieństwa (K)', 'umie określić zdarzenia losowe w doświadczeniu (K - P)', 'umie obliczyć prawdopodobieństwo zdarzenia (P)']","['zna pojęcie prawdopodobieństwa zdarzenia losowego (R)', 'umie określić zdarzenia losowe w doświadczeniu (R)', 'umie obliczyć prawdopodobieństwo zdarzenia (R - W)']","[(12, 1)]"
Obliczanie prawdopodobieństw (cd.),Obliczanie prawdopodobieństw (cd.),Umiejętności nieujęte w podstawie programowej.,100.0,"['zna wzór na obliczanie prawdopodobieństwa (K)', 'zna sposoby obliczania liczby zdarzeń losowych (P)', 'umie wykorzystać tabelę do obliczenia prawdopodobieństwa zdarzenia (P)', 'umie obliczyć prawdopodobieństwo zdarzenia składającego się z dwóch wyborów (P)']",['umie obliczyć prawdopodobieństwo zdarzenia składającego s ię z dwóch wyborów (R- W)'],[]
